"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"A2M",0.268701727739307,0.00577736583518462,0.0383217752158119,0.688147750197061,0.677639536715611,0.00506559078079516,0.762923127336363,0.50033626000307,0.317915507122102,0.112827169811717,0.202830583752001,0.286303476326331
"A4GALT",1,1,1,1,1,1,1,1,1,1,1,1
"AAAS",0.0527092285326995,0.821077008827258,0.544747251505091,0.800564377708983,0.129299511898538,0.560824996181352,0.0422663922143278,0.756456395677934,0.693456248313842,0.539479084840687,0.979896438968851,0.31896916125431
"AAK1",0.101227469162103,0.988287327717325,0.0193016149674566,0.172572739190286,0.776073472475009,0.594706593404758,0.256182542028237,0.609765188574743,0.0699701085699587,0.809454612714739,0.286090950519236,0.269286181318178
"AAMDC",0.770452403822188,0.19234913029255,0.497509598553224,0.261020551412413,0.478391212786924,0.55720361176011,0.660732037228028,0.977482803031846,0.691506600636955,0.281607872642705,0.189458061348247,0.450000131097613
"AAMP",0.0550859341276009,0.263059245549344,0.537678596239476,0.976857337240451,0.920971129159434,0.10778891286152,0.793653245839164,0.0922906103712797,0.376456797961012,0.190660374129091,0.950912667813598,0.110391859004618
"AARS",0.0328471315646072,0.540977834276727,0.228943768722497,0.602017892881941,0.0177298810789565,0.70372026803995,0.0413854787408555,0.617239557021033,0.959997047314296,0.520822509559297,0.410503157420104,0.297705880608754
"AATF",0.792243134504001,0.170434253471331,0.37368410558845,0.156722168922673,0.717285349353508,0.959864771385919,0.710026813468683,0.293087102951863,0.884167694781834,0.589358524923849,0.130876645223927,0.19318499349034
"ABCA2",0.677481999190584,0.590553415607743,0.827894869479306,0.142221560197244,0.0353212853435014,0.762960379810818,0.519288233888796,0.0617087179621021,0.373276290811705,0.128701912774975,0.10243153315488,0.981268082708603
"ABCA7",0.63301292916298,0.0564058643344436,0.287658427514821,0.539530640993413,0.816621333907827,0.153849499574874,0.838491241711418,0.0321367420232894,0.8165858093137,0.285009320724657,0.856584586228555,0.0300194608167692
"ABCA8",0.862648269734786,0.0141458919958992,0.919850675192077,0.718528885671353,0.157621860903279,0.984865302728311,0.85574679995436,0.734369344628127,0.430604233167361,0.958573865985303,0.336712219895605,0.00332588881894891
"ABCB8",0.834615623264642,0.0751222663981775,0.603223813630218,0.326039502593064,0.00482647683080173,0.0356157444086552,0.926798906129527,0.983645688151493,0.0692043484898023,0.53722816342397,0.360440885780652,0.116263281127122
"ABCC3",0.144322754502513,0.107166460891973,0.504872882993528,0.0278054575500153,0.0288676525174318,0.000137179737049076,0.919916347652135,0.818810596958951,0.506813546258989,0.152154664698902,0.245318619032193,0.0506260955717811
"ABCD1",1,1,1,1,1,1,1,1,1,1,1,1
"ABCF1",0.0457826816128303,0.192138682898845,0.225851991992318,0.99951207003284,0.273265917981026,0.163087116319186,0.286310340359534,0.815430038862329,0.817087113686733,0.691457643046218,0.613391825770886,0.948925868623855
"ABCF2",0.27188762213268,0.909657069522305,0.391612555908881,0.12622296533152,0.181093512197215,0.636501123674411,0.374140505580532,0.188346471250945,0.0772898444958817,0.574251556436392,0.264001626733651,0.969355056299864
"ABCF3",0.893089654134483,0.44315839500409,0.723853177701054,0.328477841638022,0.486806362873456,0.362614300737045,0.458548940955626,0.541141916401349,0.0810164625289207,0.122788524316371,0.195545097364954,0.535066084975527
"ABCG1",0.417385838117033,0.916598992087083,0.453471986975593,0.401519473137203,0.0401836566663554,0.475496902934638,0.888749673259652,0.241383613139424,0.118300571643752,0.748289046803467,0.46262203580213,0.788579471480424
"ABHD10",0.766007277011577,0.688502778624325,0.668243834694126,0.820363312639682,0.319766877649354,0.757920399029662,0.513732811607044,0.631743951828689,0.357864342225804,0.757809553894908,0.589198556455028,0.409565467931233
"ABHD11",0.73574380803432,0.141231221104089,0.000855862894376891,0.645712612668721,0.000107157923774803,0.0860060186429055,0.375179454102017,0.0234534413035048,0.293429382056761,0.768289946207855,0.263026135096808,0.481093642866829
"ABHD12",0.734420251929754,0.156099949888229,0.568489248239325,0.189139470246307,0.738798645544588,0.155742935980666,0.350307128410835,0.0533195561633214,0.0101400534222766,0.343431777164559,0.918342432006196,0.191508390871283
"ABHD14B",0.388052808161067,0.949940206243434,0.113280398020423,0.594849655574555,0.405230760137524,0.61821043580677,0.970107026567108,0.297180071259725,0.0298759010688744,0.851580053546544,0.0132731890244946,0.581151046768702
"ABHD17A",0.105844446269883,0.276563437929476,0.75709525160526,0.109866868135126,0.784961974687961,0.988832756330107,0.406464006141769,0.615429100825406,0.672909894745876,0.940868655841256,0.122254546512898,0.190002667097977
"ABHD17AP3",1,1,1,1,1,1,1,1,1,1,1,1
"ABHD17C",0.194683216064346,0.738269207648729,0.348384306278293,0.429722634175911,0.39016621072442,0.6288963154415,0.00922470899829464,0.550636918906974,0.0161174320641571,0.910228612940228,0.0037877851109871,0.928928727326445
"ABHD2",1,1,1,1,1,1,1,1,1,1,1,1
"ABHD4",0.516466713869281,0.397583097633697,0.103283356161834,0.0151183053440418,0.199993176079942,0.980954558582545,0.849748428657931,0.770891342236254,0.700554330257248,0.0379578071903203,0.335047804106297,0.940554138694877
"ABI2",0.469971139658405,0.788981389942085,0.104712052032288,0.317451853161012,0.638755716649025,0.917523287892786,0.826523987062921,0.495642118878133,0.11834969376874,0.825860856054339,0.0262380051796893,0.0969257751777981
"ABI3",0.549281963450313,0.917782822116544,0.596514268101159,0.237687101128211,0.815506930338268,0.0783923937596133,0.854446756117375,0.552176667918136,0.753295310813903,0.477533535394921,0.371993690378296,0.0937935264332481
"ABL1",0.403247217637952,0.00802706448978974,0.0785619622558973,0.506697394674685,0.94634177406368,0.890686093275813,0.560461639379757,0.698182513536792,0.0396657151835694,0.466167669032314,0.61004686472031,0.25830445642424
"ABLIM1",0.22459558299198,0.944127723785635,0.915273558772797,0.838266064631502,0.790487688823856,0.381486793167054,0.677460516558353,0.346293575623294,0.162162643261056,0.214614288276924,0.828413846705571,0.52739307821633
"ABR",0.877648142878666,0.841816526035274,0.806051892738938,0.184465623356303,0.160663160132685,0.883492590397784,0.749186842389742,0.813558078493228,0.807752988993792,0.282706771880882,0.773692325225842,0.125494731940039
"ABT1",0.645052572086399,0.448410978509407,0.673638699574462,0.665509326918023,0.0109409764799009,0.0435188022743931,0.385923581511689,0.528573927096543,0.902063019928342,0.121695047052319,0.10040504836264,0.407659866255511
"ABTB1",0.974823967861359,0.526801929862892,0.776621451974196,0.789270378868269,0.408695598837928,0.143623713982855,0.000511710046698477,0.758158622957164,0.403740160825989,0.206543556848045,0.245533124274108,0.996463112734096
"AC000081.1",0.930609162021282,0.17473405154768,0.930967550689922,0.966253022993693,0.23851668092844,0.877297521924371,0.409965512529749,0.656223077560231,0.858561931455621,0.498387368838675,0.637417750821587,0.907122770013557
"AC000089.1",0.560405836738896,0.714996507255703,0.504017147673902,0.420456153260222,0.118945561182745,0.372897236065121,0.0244409552017496,0.100000421990414,0.116469587577335,0.48716400709188,0.230189124652883,0.95294928571484
"AC002075.2",0.316653521886529,0.308770061629426,0.092373094368623,0.82312800781436,0.396661197443127,0.815363679063716,0.778558796840017,0.350934306782158,0.12849838771065,0.358004194894203,0.252295175023018,0.787977460313407
"AC002350.1",0.094311678608618,0.344044940729004,0.547622167747299,0.183811505269167,0.832202853281081,0.825487954246444,0.993956187008476,0.254583107055789,0.840316552671864,0.39346962244573,0.161469199627572,0.37741431102017
"AC002558.1",0.0171751709330907,0.416204843099789,0.924728262692546,0.157320672450398,0.99238714058702,0.12973790357613,0.908512924835759,0.694931597280271,0.387029905814777,0.414203455445182,0.00384379576390037,0.258235958859047
"AC004057.1",0.725608803088456,0.00247406013790363,0.920491604724337,0.292804384997025,0.264575638106052,0.563201586204559,0.487780012823933,0.801903550157779,0.660091791920318,0.771121090170984,0.175806223249692,0.426095672750167
"AC004069.1",0.435688927348972,0.845731948551138,0.435953616176093,0.685946759702132,0.302164702609613,0.315763923382267,0.158968479237431,0.9570805530732,0.424448131041468,0.391143495987655,0.203594121209555,0.135124385632148
"AC004217.1",0.789484116532203,0.670580570253007,0.665815044913341,0.947323873756948,0.209505525581759,0.812738322841665,0.157498167745422,0.945191757751228,0.416221987313916,0.603495649122838,0.0467103771888253,0.961616170656978
"AC004223.1",1,1,1,1,1,1,1,1,1,1,1,1
"AC004386.1",0.361428979554714,0.0185621226736055,0.031175994873995,0.396661505152907,0.00846769735430231,0.487950057417429,0.32662750852382,0.00142054770956768,0.136217168431999,0.0795667483478721,0.235678798045088,0.0335104491884124
"AC004448.1",0.0307949414344848,0.00122903927419071,0.888093108423626,0.5714460305071,0.132084365005694,0.241408775130457,0.161092714901316,0.877636987743417,0.443750311069205,0.482603065360341,0.233729143620208,0.248870127085105
"AC004448.2",0.430978203743773,0.0229391488495105,0.00234340011960255,0.0537499633160773,0.171229726090501,0.00412999133695036,0.143589757797824,0.295554251368005,0.0931538382444835,0.777327846910772,0.713727469939842,0.528384817143328
"AC004453.1",0.230849054810336,0.0615862608890019,0.813320955587904,0.355199714698064,0.191835891146211,0.97383219547819,0.139269452252794,0.0599281176018966,0.653175618016486,0.0197521071912066,0.0462290134101494,0.0735427581320205
"AC004552.1",0.481861570951777,0.00774400700585076,0.43559093362716,0.482575352810588,0.75632156422677,0.129086888224822,0.137998469820845,0.394688342631741,0.42060884567465,0.849219421838589,0.52802079743279,0.430797793663317
"AC004556.1",0.193342576688153,0.759470195780952,0.0010418059380648,0.329005700699871,0.054935390250751,0.171563267364601,0.752198970961238,0.172302032863082,0.175407792585903,0.30329512088173,0.537871158919842,0.292545685746432
"AC004692.1",0.724090494316988,0.90122775930904,0.239912677565552,0.745471801182447,0.445834208904677,0.0298938634232916,0.267418582720224,0.0974086589471502,0.357620614707964,0.846887014504017,0.836012250414532,0.259240886768563
"AC004801.2",0.545842073871415,0.695656156009034,0.809888825382706,0.916018525048856,1,0.4001931752202,0.346143789081962,0.208794255544906,1,0.629631487878202,1,1
