"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1",0.880055819661195,0.359677981397332,0.605903367283993,1,1,0.350204561216148,1,1,0.912964326432576,0.747729390665008,0.835464623603317,0.893415744176279,0.880055819661195,0.359677981397332,0.605903367283993,1,1,0.350204561216148,1,1,0.912964326432576,0.747729390665008,0.835464623603317,0.893415744176279,0.880055819661195,0.359677981397332,0.605903367283993,1,1,0.350204561216148,1,1,0.912964326432576,0.747729390665008,0.835464623603317,0.893415744176279
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",0.648343064501518,1,1,1,0.768706558528274,1,0.618773600784619,1,1,1,1,0.913667504113211,0.648343064501518,1,1,1,0.768706558528274,1,0.618773600784619,1,1,1,1,0.913667504113211,0.648343064501518,1,1,1,0.768706558528274,1,0.618773600784619,1,1,1,1,0.913667504113211
"4",0.734479130294603,1,0.513261736618567,0.812348950548535,1,1,0.872843903678182,1,0.689239160136255,1,0.893415744176279,0.88085281230265,0.734479130294603,1,0.513261736618567,0.812348950548535,1,1,0.872843903678182,1,0.689239160136255,1,0.893415744176279,0.88085281230265,0.734479130294603,1,0.513261736618567,0.812348950548535,1,1,0.872843903678182,1,0.689239160136255,1,0.893415744176279,0.88085281230265
"5",1,0.82762814936826,1,0.87615001518607,0.997663141732279,1,1,1,1,0.889690697966862,0.825775129465445,0.985605022772654,1,0.82762814936826,1,0.87615001518607,0.997663141732279,1,1,1,1,0.889690697966862,0.825775129465445,0.985605022772654,1,0.82762814936826,1,0.87615001518607,0.997663141732279,1,1,1,1,0.889690697966862,0.825775129465445,0.985605022772654
"6",0.65357255561216,0.87691768919863,1,1,1,0.74147026949956,1,0.724633414158165,0.948761459602004,0.826321393196391,1,0.746173805993277,0.65357255561216,0.87691768919863,1,1,1,0.74147026949956,1,0.724633414158165,0.948761459602004,0.826321393196391,1,0.746173805993277,0.65357255561216,0.87691768919863,1,1,1,0.74147026949956,1,0.724633414158165,0.948761459602004,0.826321393196391,1,0.746173805993277
"7",0.584640636157221,1,0.855005233269065,1,0.504973312659106,1,0.616427807777793,1,1,1,0.966895348788495,0.899251094721935,0.584640636157221,1,0.855005233269065,1,0.504973312659106,1,0.616427807777793,1,1,1,0.966895348788495,0.899251094721935,0.584640636157221,1,0.855005233269065,1,0.504973312659106,1,0.616427807777793,1,1,1,0.966895348788495,0.899251094721935
"8",1,0.81106975928479,0.948361186251343,0.799048336740103,1,1,1,0.897396659028839,1,1,0.771423527967248,0.827975645288883,1,0.81106975928479,0.948361186251343,0.799048336740103,1,1,1,0.897396659028839,1,1,0.771423527967248,0.827975645288883,1,0.81106975928479,0.948361186251343,0.799048336740103,1,1,1,0.897396659028839,1,1,0.771423527967248,0.827975645288883
"9",1,1,1,0.783995211261087,0.595007026006054,1,1,0.666709282549176,0.948361186251343,0.768073815153872,0.735800028359652,1,1,1,1,0.783995211261087,0.595007026006054,1,1,0.666709282549176,0.948361186251343,0.768073815153872,0.735800028359652,1,1,1,1,0.783995211261087,0.595007026006054,1,1,0.666709282549176,0.948361186251343,0.768073815153872,0.735800028359652,1
"10",1,0.655030022205194,0.893887993880758,1,1,0.797117986379343,1,0.582612650489033,1,0.893100215038782,1,0.573296490103863,1,0.655030022205194,0.893887993880758,1,1,0.797117986379343,1,0.582612650489033,1,0.893100215038782,1,0.573296490103863,1,0.655030022205194,0.893887993880758,1,1,0.797117986379343,1,0.582612650489033,1,0.893100215038782,1,0.573296490103863
"11",1,0.480945821857167,1,1,0.799455800557302,1,1,1,0.976155420262465,1,0.925929936880796,0.310585869823068,1,0.480945821857167,1,1,0.799455800557302,1,1,1,0.976155420262465,1,0.925929936880796,0.310585869823068,1,0.480945821857167,1,1,0.799455800557302,1,1,1,0.976155420262465,1,0.925929936880796,0.310585869823068
"12",1,0.698394685707756,1,0.919226999171346,0.344259137783,0.596124589901514,1,1,0.688754414400524,1,0.940622086478917,0.751243234307777,1,0.698394685707756,1,0.919226999171346,0.344259137783,0.596124589901514,1,1,0.688754414400524,1,0.940622086478917,0.751243234307777,1,0.698394685707756,1,0.919226999171346,0.344259137783,0.596124589901514,1,1,0.688754414400524,1,0.940622086478917,0.751243234307777
"13",0.787900317666682,0.740307255578324,1,0.559236146952701,0.565541977116475,0.0614665904355675,1,1,1,0.797117986379343,0.866392095003551,0.641765761669374,0.787900317666682,0.740307255578324,1,0.559236146952701,0.565541977116475,0.0614665904355675,1,1,1,0.797117986379343,0.866392095003551,0.641765761669374,0.787900317666682,0.740307255578324,1,0.559236146952701,0.565541977116475,0.0614665904355675,1,1,1,0.797117986379343,0.866392095003551,0.641765761669374
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",0.630399258520054,0.827444958361659,0.852854184514152,1,0.883919957228511,0.806436646859273,0.893415744176279,1,1,1,1,1,0.630399258520054,0.827444958361659,0.852854184514152,1,0.883919957228511,0.806436646859273,0.893415744176279,1,1,1,1,1,0.630399258520054,0.827444958361659,0.852854184514152,1,0.883919957228511,0.806436646859273,0.893415744176279,1,1,1,1,1
"16",0.882762417249044,1,0.958522463194835,0.764215533577637,0.819354947929939,1,0.948543344993374,0.825775129465445,0.701520359618117,1,0.87720823927528,1,0.882762417249044,1,0.958522463194835,0.764215533577637,0.819354947929939,1,0.948543344993374,0.825775129465445,0.701520359618117,1,0.87720823927528,1,0.882762417249044,1,0.958522463194835,0.764215533577637,0.819354947929939,1,0.948543344993374,0.825775129465445,0.701520359618117,1,0.87720823927528,1
"17",1,0.981299825456802,1,0.921473738403274,1,0.941731025254649,0.989770198270773,1,0.704040009528509,0.759593607043899,0.829811093947305,1,1,0.981299825456802,1,0.921473738403274,1,0.941731025254649,0.989770198270773,1,0.704040009528509,0.759593607043899,0.829811093947305,1,1,0.981299825456802,1,0.921473738403274,1,0.941731025254649,0.989770198270773,1,0.704040009528509,0.759593607043899,0.829811093947305,1
"18",0.970735341559977,1,0.987093156001116,0.96270055319745,0.611616199352039,0.99653573375076,1,0.865016671922071,0.753396781729146,1,0.991686132281393,1,0.970735341559977,1,0.987093156001116,0.96270055319745,0.611616199352039,0.99653573375076,1,0.865016671922071,0.753396781729146,1,0.991686132281393,1,0.970735341559977,1,0.987093156001116,0.96270055319745,0.611616199352039,0.99653573375076,1,0.865016671922071,0.753396781729146,1,0.991686132281393,1
"19",1,1,1,1,0.914314987670187,1,1,1,0.939841233101599,1,1,0.966590500131602,1,1,1,1,0.914314987670187,1,1,1,0.939841233101599,1,1,0.966590500131602,1,1,1,1,0.914314987670187,1,1,1,0.939841233101599,1,1,0.966590500131602
"20",1,0.783695066685734,0.170774207050595,1,0.0528645757289029,0.711509063673611,0.948745571632662,0.538536000593876,0.897812615037907,1,0.87691768919863,0.998689106246515,1,0.783695066685734,0.170774207050595,1,0.0528645757289029,0.711509063673611,0.948745571632662,0.538536000593876,0.897812615037907,1,0.87691768919863,0.998689106246515,1,0.783695066685734,0.170774207050595,1,0.0528645757289029,0.711509063673611,0.948745571632662,0.538536000593876,0.897812615037907,1,0.87691768919863,0.998689106246515
"21",1,0.798826682768537,1,0.825775129465445,1,0.798572064472668,0.934947600890163,0.650056695710588,0.437491350833914,0.930153860957285,1,0.826750278870429,1,0.798826682768537,1,0.825775129465445,1,0.798572064472668,0.934947600890163,0.650056695710588,0.437491350833914,0.930153860957285,1,0.826750278870429,1,0.798826682768537,1,0.825775129465445,1,0.798572064472668,0.934947600890163,0.650056695710588,0.437491350833914,0.930153860957285,1,0.826750278870429
"22",0.955893435748551,1,0.747729390665008,1,0.964345878590398,1,1,0.898958791387374,0.572106696549201,1,0.476870878555091,1,0.955893435748551,1,0.747729390665008,1,0.964345878590398,1,1,0.898958791387374,0.572106696549201,1,0.476870878555091,1,0.955893435748551,1,0.747729390665008,1,0.964345878590398,1,1,0.898958791387374,0.572106696549201,1,0.476870878555091,1
"23",0.738840167689398,0.88478605866408,1,0.745497428028694,1,1,0.964741243145051,1,1,1,0.758999391511867,0.825819192049941,0.738840167689398,0.88478605866408,1,0.745497428028694,1,1,0.964741243145051,1,1,1,0.758999391511867,0.825819192049941,0.738840167689398,0.88478605866408,1,0.745497428028694,1,1,0.964741243145051,1,1,1,0.758999391511867,0.825819192049941
