,g,pval,qval
4046,MMP11,0.00442940195569641,0.8983836729030311
115,AC063943.2,0.8983836674530307,0.8983836729030311
986,COG4,0.8983836674563277,0.8983836729030311
94,AC021443.1,0.8983836674579899,0.8983836729030311
1749,HDGFL2,0.8983836674639896,0.8983836729030311
2364,MT.RNR2,0.8983836674646941,0.8983836729030311
329,AKT1S1,0.8983836674666481,0.8983836729030311
406,AL591623.2,0.8983836674684095,0.8983836729030311
1308,EHD2,0.8983836674690755,0.8983836729030311
1089,CU639417.2,0.8983836674705947,0.8983836729030311
2108,LMF2,0.8983836674707598,0.8983836729030311
1172,DEFB1,0.8983836674708369,0.8983836729030311
805,CCDC106,0.8983836674710131,0.8983836729030311
1401,ERO1A,0.8983836674713322,0.8983836729030311
391,AL445363.3,0.8983836674717836,0.8983836729030311
1751,HDHD5,0.8983836674718056,0.8983836729030311
6,ABCA8,0.8983836674731926,0.8983836729030311
1496,FGFR4,0.8983836674733303,0.8983836729030311
2183,MAP3K6,0.8983836674751302,0.8983836729030311
2115,LPCAT1,0.898383667477585,0.8983836729030311
247,ACHE,0.8983836674813059,0.8983836729030311
2036,KRT18P35,0.8983836674873276,0.8983836729030311
1573,GABBR1,0.8983836674880872,0.8983836729030311
887,CEBPD,0.8983836674913236,0.8983836729030311
281,ADCY6,0.8983836674934703,0.8983836729030311
1957,JOSD1,0.8983836674954297,0.8983836729030311
698,BX248409.1,0.8983836674979067,0.8983836729030311
2541,NFKBIA,0.8983836674983801,0.8983836729030311
795,CAVIN3,0.8983836674520289,0.8983836729030311
1919,INTS3,0.8983836674518032,0.8983836729030311
2218,MCM5,0.8983836674513904,0.8983836729030311
2288,MLST8,0.8983836674507795,0.8983836729030311
1404,ESRP2,0.8983836673979995,0.8983836729030311
1494,FGF23,0.8983836673980324,0.8983836729030311
27,AC004448.1,0.8983836674053861,0.8983836729030311
1814,HNRNPUL1,0.8983836674055512,0.8983836729030311
2452,NARFL,0.8983836674080227,0.8983836729030311
2516,NEDD4L,0.8983836674090795,0.8983836729030311
2013,KLHDC2,0.8983836674108078,0.8983836729030311
1547,FTH1P23,0.8983836674120517,0.8983836729030311
2543,NFKBIE,0.8983836674129544,0.8983836729030311
232,AC215219.1,0.8983836674130645,0.8983836729030311
1450,FAM193B,0.8983836674139342,0.8983836729030311
1783,HLA.DRB6,0.8983836674143194,0.8983836729030311
2527,NEPRO,0.8983836674158552,0.8983836729030311
1586,GANAB,0.8983836674986112,0.8983836729030311
239,ACAD9,0.898383667416356,0.8983836729030311
1961,JUNB,0.8983836674227134,0.8983836729030311
2361,MT.ND4L,0.8983836674227355,0.8983836729030311
599,ATP6V0E1,0.8983836674253829,0.8983836729030311
1398,ERLIN2,0.8983836674274526,0.8983836729030311
2455,NAV1,0.898383667431256,0.8983836729030311
835,CCT2,0.898383667434465,0.8983836729030311
1189,DHRS3,0.898383667439705,0.8983836729030311
1566,FYCO1,0.8983836674407287,0.8983836729030311
567,ATG12,0.8983836674428534,0.8983836729030311
36,AC005336.2,0.8983836674436294,0.8983836729030311
1326,EIF3G,0.8983836674488475,0.8983836729030311
1251,DUSP22,0.8983836674503392,0.8983836729030311
1851,ICMT,0.8983836674505262,0.8983836729030311
2423,MYO10,0.8983836674216896,0.8983836729030311
1633,GLT8D1,0.8983836674988974,0.8983836729030311
2131,LSM12,0.8983836675045007,0.8983836729030311
292,AEN,0.8983836675064052,0.8983836729030311
2450,NAP1L1,0.8983836675534334,0.8983836729030311
1003,COPA,0.898383667554325,0.8983836729030311
1016,COQ8A,0.8983836675562845,0.8983836729030311
1624,GIGYF2,0.8983836675598732,0.8983836729030311
844,CD164,0.8983836675611392,0.8983836729030311
2462,NBPF14,0.8983836675617998,0.8983836729030311
2577,NOTCH4,0.8983836675655756,0.8983836729030311
2310,MPND,0.8983836675662307,0.8983836729030311
293,AES,0.898383667566737,0.8983836729030311
1524,FOXA3,0.898383667568636,0.8983836729030311
834,CCS,0.8983836675705955,0.8983836729030311
1004,COPB2,0.898383667573876,0.8983836729030311
1603,GCNT3,0.8983836675749934,0.8983836729030311
2333,MRPL52,0.8983836675522223,0.8983836729030311
