"","combinedPval","adjustedPval"
"A2M",1.3526056363844e-07,1.25792876105652e-05
"A4GALT",0.000709473476360079,0.0175439060616754
"AAAS",0.550576494141937,1
"AAK1",0.0511091425341772,0.623182865506398
"AAMDC",0.0239686660653859,0.334536356777677
"AAMP",0.019842912934616,0.287676968141851
"AARS",0.147722978801388,1
"AATF",0.0131095802555197,0.202765013156621
"ABCA2",0.173221954872911,1
"ABCA7",0.132737710209048,1
"ABCA8",0.0200821531643401,0.290606097057857
"ABCB8",9.89608259771568e-05,0.00359089419189546
"ABCC3",2.23711385669567e-05,0.00106771006712832
"ABCD1",0.00658666397474428,0.113958291778252
"ABCF1",0.000765413998770614,0.0186971665947706
"ABCF2",0.00140223552719809,0.0310648482809333
"ABCF3",0.000316399441497306,0.00902715521828623
"ABCG1",0.18042537591715,1
"ABHD10",0.149036260219376,1
"ABHD11",0.120133557494564,1
"ABHD12",0.00133273865130745,0.0297254609941461
"ABHD14B",0.0010073515814979,0.0235572838136194
"ABHD17A",0.001170998124435,0.0267108354470002
"ABHD17AP3",0.0152408152428658,0.230505598745471
"ABHD17C",0.00593590466701088,0.10421157642079
"ABHD2",0.0579166774955746,0.690593551354176
"ABHD4",0.565552097981275,1
"ABI2",0.0463933791215339,0.572435416251805
"ABI3",0.00229093207835529,0.0465614682223675
"ABL1",0.00197563880699159,0.0412423535554135
"ABLIM1",0.112654117372378,1
"ABR",0.0100653054606452,0.162270121793556
"ABT1",0.00648572771421496,0.112265646406533
"ABTB1",0.00328355342189068,0.063185975180106
"AC000081.1",7.39146555073233e-09,1.33280408798608e-06
"AC000089.1",8.97980578784541e-11,3.73406734875494e-08
"AC002075.2",1.37543865186274e-08,2.05617613348422e-06
"AC002350.1",5.11076458153958e-07,3.87616229543932e-05
"AC002558.1",0.00010917810923039,0.00389138304172438
"AC004057.1",1.53601975583229e-09,3.83233313913712e-07
"AC004069.1",0.00151336125799439,0.0331812790573625
"AC004217.1",0.00128197951738829,0.0288243483454128
"AC004223.1",2.02426838624703e-06,0.00012521506590447
"AC004386.1",1.74178449441342e-10,6.42987899244398e-08
"AC004448.1",1.70012995570623e-07,1.50749684478827e-05
"AC004448.2",1.50623127304073e-08,2.18840031515038e-06
"AC004453.1",3.15101855719035e-09,6.71853467644271e-07
"AC004552.1",1.90683246970025e-10,6.89837809257879e-08
"AC004556.1",0.023627695048372,0.330926393404285
"AC004692.1",0.00774468813664231,0.131048087944446
"AC004801.2",0.00144363405742076,0.0318843580230606
"AC004884.1",0.000681669176111788,0.0169840592181834
"AC004890.1",9.93587268016682e-08,9.61100649894783e-06
"AC004910.1",0.0106311840462301,0.170104393063572
"AC004938.1",4.55346591987649e-07,3.52744024304197e-05
"AC005019.1",1.32163798149953e-06,8.67751488908651e-05
"AC005099.1",2.51129967969721e-05,0.00118142636057568
"AC005165.2",1.26717639159502e-06,8.39612480883919e-05
"AC005253.1",0.00220206721414751,0.0451357139591762
"AC005262.1",0.00259025650676048,0.0515704615019368
"AC005336.2",0.000474840967492618,0.0125941327360486
"AC005519.1",0.002532715982001,0.0506783562478433
"AC005521.1",0.000533154954140747,0.0138862717084631
"AC005534.2",0.00164155825139378,0.0353493532282304
"AC005550.2",4.10114531758099e-05,0.00178067928063249
"AC005786.1",7.71674972739333e-05,0.00297622686310439
"AC005840.1",8.0640002453336e-09,1.44422087557136e-06
"AC005912.1",7.65692143023244e-08,7.93712498442183e-06
"AC005944.1",0.0666635318898452,0.780484522527111
"AC006064.4",0.0191057702752711,0.27893159156037
"AC006122.1",1.44036060247821e-05,0.000732885430980654
"AC006463.2",2.9879272278599e-08,3.69075092157287e-06
"AC006483.1",0.00593689683075094,0.10421157642079
"AC006511.3",6.53628690838737e-07,4.71984608747375e-05
"AC006534.1",1.1941342581423e-08,1.85552295123009e-06
"AC006970.1",4.87422503174795e-05,0.00205999547492965
"AC007016.1",0.0733013114229669,0.848858251724083
"AC007066.1",1.42242070344523e-08,2.10781635010704e-06
"AC007160.1",5.06257807786348e-07,3.86391752532434e-05
"AC007182.2",3.24168947241077e-09,6.79689773897212e-07
"AC007279.1",6.98647358410298e-07,5.0049656199493e-05
"AC007283.2",0.00086185037048736,0.0206896467509571
"AC007325.2",2.6970908348467e-05,0.00125254278868474
"AC007365.2",8.58739723774704e-09,1.50080982095744e-06
"AC007387.1",1.27252046511206e-06,8.41611971702871e-05
"AC007389.2",3.67205155171746e-10,1.196796322948e-07
"AC007537.1",0.000310670857039064,0.00890585491881865
"AC007537.2",2.00693268670449e-08,2.7398159383075e-06
"AC007683.1",0.000438780188648957,0.0118108783719159
"AC007686.1",0.0506793193436521,0.61856740221609
"AC007688.1",2.44490640062267e-05,0.00115771946246934
"AC007690.1",5.29403313234145e-05,0.00220648706157641
"AC007969.1",1.21608170644549e-07,1.14568700316156e-05
"AC008021.1",1.98660395200889e-06,0.000123699976769894
"AC008026.1",3.25029203551708e-09,6.79689773897212e-07
"AC008026.2",2.6932306940175e-08,3.44287753749283e-06
"AC008038.1",2.02499783164001e-07,1.74011087840717e-05
"AC008065.1",8.94720630917334e-09,1.541354775368e-06
"AC008155.1",0.0611117698869461,0.722897032604906
"AC008158.1",2.91956724518538e-06,0.000170632710256546
"AC008412.1",0.000853542771917404,0.0205310853334913
"AC008446.1",2.79996928176374e-06,0.000164975461144043
"AC008481.1",6.21616313978279e-10,1.72987015840562e-07
"AC008481.2",0.584861556429907,1
"AC008494.1",0.00517387881271292,0.0924327086674897
"AC008677.2",2.19696154601934e-08,2.95884377222548e-06
"AC008753.1",6.92689960846149e-06,0.00037514303388405
"AC008799.1",1.81295645163004e-09,4.37250755461493e-07
"AC008802.1",3.36500804998252e-09,6.99634657174035e-07
"AC008953.1",7.50357497691923e-07,5.3227063328293e-05
"AC009041.2",0.00970147118481035,0.157669210672437
"AC009078.2",6.55586696041155e-13,5.51564278214963e-10
"AC009088.4",0.0317547267556219,0.419115574692207
"AC009220.1",1.12744702462919e-10,4.53198110760545e-08
"AC009245.1",2.47483966653306e-09,5.62285821439909e-07
"AC009362.1",2.45062076065228e-06,0.000148255010438935
"AC009413.1",5.7648001927646e-09,1.08621922715679e-06
"AC009961.3",0.000308658967115072,0.00886926485021746
"AC010099.1",2.8375030916683e-05,0.00130601526388118
"AC010234.1",0.0840890551901219,0.953039817348755
"AC010301.1",0.000203246489072439,0.00638177084035514
"AC010323.2",0.000202974166332748,0.00638177084035514
"AC010343.1",5.26622967456092e-10,1.53642924870559e-07
"AC010468.1",8.45473691057919e-11,3.61059992984969e-08
"AC010503.4",0.379565231564186,1
"AC010677.1",2.68112149215405e-06,0.00015953183847558
"AC010733.1",3.89828280766835e-10,1.25872945466082e-07
"AC011444.4",5.7046601514843e-05,0.00234838012064712
"AC011495.1",3.63842955763971e-10,1.19661857846086e-07
"AC011506.1",2.59745336350647e-09,5.80052361867397e-07
"AC011825.1",0.0166201400671671,0.247701802529097
"AC011933.1",1.11565943150538e-08,1.7780347286774e-06
"AC011979.1",3.70414066086511e-08,4.36499298509223e-06
"AC012181.1",2.39198443274802e-08,3.13533335147138e-06
"AC012354.2",0.880862897149648,1
"AC012498.2",0.0711254012935062,0.826570810232152
"AC012618.1",4.29270852198016e-08,4.88358482945367e-06
"AC012618.2",0.00174640289090822,0.0370991747439907
"AC012671.1",2.91855201650648e-05,0.00133314292373408
"AC013248.2",1.4469429987507e-07,1.31842323892964e-05
"AC013268.5",0.107713700304885,1
"AC013356.1",7.99458443911938e-06,0.000429749405981733
"AC013787.1",3.30274442461587e-07,2.67301810492965e-05
"AC015720.2",0.0357954280330244,0.461390315810367
"AC015911.1",1.46773021751923e-05,0.000743673796224266
"AC015983.1",2.10352908425193e-08,2.85017623864658e-06
"AC016596.1",1.81738863958003e-08,2.54136301434414e-06
"AC016638.1",1.67057856437225e-09,4.09876380254215e-07
"AC016687.1",1.47291130982996e-05,0.000745255192298283
"AC016691.1",8.12867464703437e-05,0.00309549845222568
"AC016700.2",1.11075484121592e-06,7.54852811799179e-05
"AC016712.1",1.29417068358562e-05,0.00066694327980599
"AC016734.1",0.0193937554208885,0.282338417791215
"AC016739.1",1.65173568034138e-06,0.000105017757268746
"AC018475.1",1.08128342386493e-05,0.00056528557884541
"AC018523.1",7.11886137306772e-05,0.00283011184464381
"AC018695.1",0.0543327423372203,0.655638506908159
"AC018738.1",3.2507441183327e-10,1.07892372436695e-07
"AC018868.1",5.53458889829272e-09,1.06503032485535e-06
"AC019084.1",1.17554245102625e-05,0.000612792303218299
"AC019181.1",2.30150161151244e-08,3.06139754564299e-06
"AC019205.3",0.00025949878967868,0.00773943025899918
"AC020656.1",0.238518269200657,1
"AC020658.1",3.99743713038747e-05,0.00174574118619323
"AC020898.1",1.07933662008008e-10,4.38734069961392e-08
"AC020899.1",2.86222285872384e-08,3.58405992032054e-06
"AC020916.1",0.0231606254715521,0.326152442174078
"AC020917.1",3.80768061747361e-07,3.02198030800099e-05
"AC020978.1",2.52122371035002e-05,0.00118455468000555
"AC020983.1",0.000764651241274006,0.0186911549512357
"AC021016.1",0.000835207163300211,0.0201570527806775
"AC021074.1",3.92766782875142e-07,3.10244241212181e-05
"AC021443.1",1.21445832812483e-06,8.10620880188569e-05
