"","combinedPval","adjustedPval"
"A2M",0.093559353501857,1
"A4GALT",0.333530303037252,1
"AAAS",0.684165554318806,1
"AAK1",0.760590039231839,1
"AAMDC",0.0121201979070491,1
"AAMP",0.305160665240882,1
"AARS",0.557509644338912,1
"ABCA2",0.296515343519483,1
"ABCA7",0.504840624975097,1
"ABCA8",0.300404996190352,1
"ABCB8",0.0547771564983286,1
"ABCC3",0.217120478677152,1
"ABCD1",0.557325456214959,1
"ABCF1",0.622871648213449,1
"ABCF2",0.444970970242475,1
"ABCF3",0.572412725853903,1
"ABCG1",0.775708272126992,1
"ABHD10",0.852503252003664,1
"ABHD11",0.557325456214959,1
"ABHD12",0.327760442055967,1
"ABHD14B",0.251673826699,1
"ABHD17A",0.639683666014198,1
"ABHD17AP3",0.305631789704106,1
"ABHD17C",0.557509644338912,1
"ABHD2",0.889733431595857,1
"ABI2",0.446017955945801,1
"ABI3",0.0944251944777246,1
"ABL1",0.182169006738539,1
"ABLIM1",0.645674754626093,1
"ABR",0.504840624975097,1
"ABT1",0.333530303037252,1
"ABTB1",0.0694496400052045,1
"AC000081.1",0.913834426962508,1
"AC000089.1",0.0783284176134905,1
"AC002075.2",0.151043490042569,1
"AC002350.1",0.426563901577002,1
"AC002558.1",0.124870983026542,1
"AC004057.1",0.197590275054606,1
"AC004069.1",0.101498181763767,1
"AC004217.1",0.910620746428145,1
"AC004223.1",0.138984760804739,1
"AC004386.1",0.183067875485753,1
"AC004448.1",0.208932539144774,1
"AC004448.2",0.14947209696664,1
"AC004453.1",0.197956613393871,1
"AC004552.1",0.167144319084929,1
"AC004556.1",0.37338069267179,1
"AC004692.1",0.333530303037252,1
"AC004884.1",0.282319222849716,1
"AC004890.1",0.206081771249188,1
"AC004910.1",0.22061750828942,1
"AC004938.1",0.498031149770422,1
"AC005019.1",0.557509644338912,1
"AC005099.1",0.333530303037252,1
"AC005165.2",0.116110586114838,1
"AC005253.1",0.215185459766761,1
"AC005262.1",0.215185459766761,1
"AC005336.2",0.163340427554638,1
"AC005519.1",0.692991875245814,1
"AC005521.1",0.692991875245814,1
"AC005550.2",0.372209872723924,1
"AC005786.1",0.49920673335887,1
"AC005840.1",0.501117853794442,1
"AC005912.1",0.117330890271595,1
"AC005944.1",0.622075933199495,1
"AC006064.4",0.0947508159035887,1
"AC006122.1",0.655889347335603,1
"AC006463.2",0.155901103046911,1
"AC006483.1",0.256183841422072,1
"AC006511.3",0.166733403239433,1
"AC006534.1",0.0872667413494255,1
"AC006970.1",0.352489616047073,1
"AC007016.1",0.557509644338912,1
"AC007066.1",0.272038196032001,1
"AC007160.1",0.107812373950242,1
"AC007182.2",0.258599599723271,1
"AC007279.1",0.155423275944801,1
"AC007283.2",0.557509644338912,1
"AC007365.2",0.0477531366015491,1
"AC007387.1",0.49920673335887,1
"AC007389.2",0.178720092945511,1
"AC007537.1",0.0694496400052045,1
"AC007537.2",0.165287617986389,1
"AC007683.1",0.442820830974007,1
"AC007686.1",0.241440510210749,1
"AC007688.1",0.124205664515356,1
"AC007690.1",0.786157639733289,1
"AC007969.1",0.15215632627015,1
"AC008021.1",0.233276995713516,1
"AC008026.1",0.141596477308962,1
"AC008026.2",0.148650207977146,1
"AC008038.1",0.0837804120207036,1
"AC008065.1",0.139147616038619,1
"AC008155.1",0.0315278359122106,1
"AC008158.1",0.163340427554638,1
"AC008412.1",0.49920673335887,1
"AC008446.1",0.141490868715515,1
"AC008481.1",0.18774181939023,1
"AC008494.1",0.444870313072532,1
"AC008677.2",0.979723177736506,1
"AC008753.1",0.205169134347062,1
"AC008799.1",0.10187247823839,1
"AC008802.1",0.153678031665243,1
"AC008953.1",0.134544863300383,1
"AC009041.2",0.450779980586333,1
"AC009078.2",0.0992501024145986,1
"AC009088.4",0.426761610550605,1
"AC009220.1",0.110923838335074,1
"AC009245.1",0.975697745681503,1
"AC009362.1",0.0950645414741054,1
"AC009413.1",0.263740089799855,1
"AC009961.3",0.333530303037252,1
"AC010099.1",0.695366324704931,1
"AC010234.1",0.282319222849716,1
"AC010301.1",0.384864349953147,1
"AC010323.2",0.652687568782843,1
"AC010343.1",0.0803718487106888,1
"AC010468.1",0.22050426579153,1
"AC010503.4",0.512413274765354,1
"AC010677.1",0.388480068052873,1
"AC010733.1",0.196917169327259,1
"AC011444.4",0.215185459766761,1
"AC011495.1",0.164878469647561,1
"AC011506.1",0.382891975350601,1
"AC011825.1",0.425307213530717,1
"AC011933.1",0.369332285772637,1
"AC011979.1",0.106868664761713,1
"AC012181.1",0.174676944306582,1
"AC012354.2",0.333530303037252,1
"AC012498.2",0.333530303037252,1
"AC012618.1",0.208501472513383,1
"AC012618.2",0.152277700422838,1
"AC012671.1",0.657103116630713,1
"AC013248.2",0.101944486274478,1
"AC013356.1",0.953896816894479,1
"AC013787.1",0.383405129917089,1
"AC015720.2",0.557325456214959,1
"AC015911.1",0.49920673335887,1
"AC015983.1",0.358735835743458,1
"AC016596.1",0.457795722646016,1
