"","combined_pvalue","adjusted_pvalue"
"A2M",1.43393495966038e-07,1.05011523567953e-05
"A4GALT",0.0459531516275971,1
"AAAS",0.502722266271215,1
"AAK1",0.884150055958587,1
"AAMDC",0.506036053029012,1
"AAMP",0.581660535424493,1
"AARS",0.581447083943978,1
"AATF",0.0134759006209568,0.375882649020347
"ABCA2",0.0449484059319896,1
"ABCA7",0.00057444083668734,0.0238869394588581
"ABCA8",0.709246795783796,1
"ABCB8",0.00297759630988437,0.102689203368263
"ABCC3",0.00376609641661441,0.125804864129495
"ABCD1",0.148525868076378,1
"ABCF1",0.107353674031893,1
"ABCF2",0.044451769380746,1
"ABCF3",0.953360478843362,1
"ABCG1",0.11389207379245,1
"ABHD10",0.592920826429208,1
"ABHD11",5.16360695312912e-08,4.02596181804014e-06
"ABHD12",0.523234294013908,1
"ABHD14B",0.722340728961505,1
"ABHD17A",0.112607206781488,1
"ABHD17AP3",0.410653968613845,1
"ABHD17C",7.32192084740291e-12,9.5973294455442e-10
"ABHD2",0.26915537730864,1
"ABHD4",0.23465673834045,1
"ABI2",0.348167619360756,1
"ABI3",0.175090765011295,1
"ABL1",0.553883014685373,1
"ABLIM1",0.0274230118422308,0.6879935175043
"ABR",0.584578058566144,1
"ABT1",0.143997640353151,1
"ABTB1",2.97356805845084e-10,3.12718731516851e-08
"AC000081.1",6.68354260824344e-14,1.07462925248829e-11
"AC000089.1",5.83002535137211e-11,6.93795238586073e-09
"AC002075.2",1.4250711721786e-10,1.57660629956884e-08
"AC002350.1",3.52828877225875e-13,5.34073066759165e-11
"AC002558.1",0.397570339550251,1
"AC004057.1",1.03259178985127e-10,1.1784301919123e-08
"AC004069.1",0.630648650148915,1
"AC004217.1",0.574854643858806,1
"AC004223.1",1.09506229530876e-05,0.000623993025673464
"AC004386.1",5.55e-17,1.55645915461595e-14
"AC004448.1",0.0124960224752055,0.351259198574634
"AC004448.2",1.68225655627907e-09,1.61003339839311e-07
"AC004453.1",2.22044604925031e-16,4.72526053957133e-14
"AC004552.1",1.98547844831864e-11,2.52031470097039e-09
"AC004556.1",5.02745721719933e-07,3.47761219406178e-05
"AC004692.1",0.94248585573703,1
"AC004801.2",0.00209474487957984,0.0752907081237403
"AC004884.1",0.69815233125946,1
"AC004890.1",3.02646796512818e-13,4.61978953427879e-11
"AC004910.1",0.590005107466284,1
"AC004938.1",3.14426262804091e-11,3.8690642238102e-09
"AC005019.1",1.07267065350136e-05,0.000613051761383315
"AC005099.1",0.0625182771965516,1
"AC005165.2",7.2418552359288e-06,0.000427389472042404
"AC005253.1",0.163493206396878,1
"AC005262.1",0.315368188451952,1
"AC005336.2",0.0348751195643953,0.842244817203531
"AC005519.1",0.567764568417786,1
"AC005521.1",0.614473131463814,1
"AC005534.2",0.0113679590019751,0.325364285789722
"AC005550.2",5.95518656609784e-09,5.29340859120398e-07
"AC005786.1",0.00952898930318213,0.280726187742116
"AC005840.1",2.22044604925031e-16,4.72526053957133e-14
"AC005912.1",0.00240359006457846,0.0852500581230288
"AC005944.1",0.000996685630199057,0.0387712411253079
"AC006064.4",0.042502020700691,0.986274758940586
"AC006122.1",0.0601250649622657,1
"AC006463.2",7.24612614355635e-08,5.55390372171933e-06
"AC006483.1",0.00767933557145883,0.234840694760136
"AC006511.3",3.31822791466152e-10,3.46948144414492e-08
"AC006534.1",8.88898954443107e-10,8.73854308936185e-08
"AC006970.1",0.934407577648128,1
"AC007016.1",0.346455655777822,1
"AC007066.1",0.00068268279478767,0.0279700156608498
"AC007160.1",0.00557598290622607,0.177417078863885
"AC007182.2",1.06495844365284e-08,9.30607986853218e-07
"AC007279.1",0.0511435926051864,1
"AC007283.2",0.128810281782643,1
"AC007325.2",1.22923893286497e-12,1.77172796772963e-10
"AC007365.2",2.59017252091098e-11,3.24239039530315e-09
"AC007387.1",0.000410027801236001,0.0175546045545341
"AC007389.2",8.29574187122262e-11,9.65004406589378e-09
"AC007537.1",0.0346876626914804,0.838277273964343
"AC007537.2",0.0474265843087748,1
"AC007683.1",0.384693034213075,1
"AC007686.1",0.845381434649105,1
"AC007688.1",1.78658108218599e-06,0.000115623304816302
"AC007690.1",0.115100423075091,1
"AC007969.1",6.57969343809128e-06,0.000391504299173363
"AC008021.1",0.0267597802036493,0.675099592732358
"AC008026.1",5.55e-17,1.55645915461595e-14
"AC008026.2",1.84131110358976e-09,1.74380638910664e-07
"AC008038.1",0.740912507451887,1
"AC008065.1",2.744301519364e-08,2.23103441946121e-06
"AC008155.1",0.148738870487969,1
"AC008158.1",0.00261358332078898,0.0914429580729383
"AC008412.1",0.0696512141873924,1
"AC008446.1",0.00260821473189798,0.091343464041586
"AC008481.1",5.55e-17,1.55645915461595e-14
"AC008481.2",0.411598017874634,1
"AC008494.1",0.37485608320024,1
"AC008677.2",0.0857999825060867,1
"AC008753.1",0.359927724685273,1
"AC008799.1",0.165047186627563,1
"AC008802.1",4.82027207593383e-07,3.34068482773175e-05
"AC008953.1",0.00142447006394497,0.0532368590990906
"AC009041.2",0.465470697285608,1
"AC009078.2",5.55e-17,1.55645915461595e-14
"AC009088.4",3.05178105008963e-12,4.23006771858147e-10
"AC009220.1",5.55e-17,1.55645915461595e-14
"AC009245.1",3.80584452841504e-12,5.15672814988875e-10
"AC009362.1",0.160749109526975,1
"AC009413.1",5.56027890397104e-10,5.65042394623532e-08
"AC009961.3",0.0147927048310116,0.405730121835815
"AC010099.1",1.3407563441592e-05,0.000753179426699414
"AC010234.1",0.664184797793777,1
"AC010301.1",0.256287960946275,1
"AC010323.2",0.0311387218430081,0.765812700700153
"AC010343.1",5.55e-17,1.55645915461595e-14
"AC010468.1",1.11022302462516e-16,2.6080983497634e-14
"AC010503.4",0.0851151578632027,1
"AC010677.1",0.00428780058377787,0.141533250289462
"AC010733.1",5.55e-17,1.55645915461595e-14
"AC011444.4",0.781227842582908,1
"AC011495.1",0.0683847076029724,1
"AC011506.1",0.265654604795756,1
"AC011825.1",0.607031078546009,1
"AC011933.1",8.6464613247017e-11,1.00257821726643e-08
"AC011979.1",0.0135113235242631,0.376290450942987
