,g,pval,qval
3512,LAMC2,0.0,0.0
3577,MUC5B,0.0,0.0
3578,MUC6,0.0,0.0
3510,KRT19,0.0,0.0
2003,AC009078.2,0.0,0.0
3316,CPA2,0.0,0.0
2417,CEL,0.0,0.0
3298,CLPS,0.0,0.0
3317,CPA5,0.0,0.0
2181,AL034369.1,0.0,0.0
2421,CELP,0.0,0.0
3783,KRT17,0.0,0.0
2864,KLK1,0.0,0.0
2500,CTRB2,0.0,0.0
2501,CTRC,0.0,0.0
2508,CUZD1,0.0,0.0
3329,CTRB1,0.0,0.0
3304,COL3A1,0.0,0.0
2419,CELA2B,1.1102230246251565e-16,2.2593038551121936e-14
3284,CELA3A,1.1102230246251565e-16,2.2593038551121936e-14
3975,KRT17P1,2.220446049250313e-16,4.303435914499416e-14
3315,CPA1,5.551115123125783e-16,1.0269562977782698e-13
3701,CRP,6.661338147750939e-16,1.1787672287541878e-13
2280,APOL1,1.3322676295501878e-15,2.2593038551121936e-13
2964,MMP11,1.5543122344752192e-15,2.5304203177256566e-13
3961,IFI27,1.6653345369377348e-15,2.6068890635909923e-13
3694,COL1A2,2.3314683517128287e-15,3.514472663507857e-13
1835,C7,4.9960036108132044e-15,7.262048105717765e-13
3735,FN1,6.5503158452884236e-15,9.193029479422029e-13
3713,DMBT1,7.993605777301127e-15,1.084465850453853e-12
3444,GP2,1.3877787807814457e-14,1.8220192379937044e-12
3478,IFI6,1.8540724511240114e-14,2.358148398773352e-12
2420,CELA3B,2.6756374893466273e-14,3.299952903527507e-12
3318,CPB1,4.796163466380676e-14,5.4223292522692645e-12
2418,CELA2A,4.75175454539567e-14,5.4223292522692645e-12
3901,CHPF,4.574118861455645e-14,5.4223292522692645e-12
3908,COL12A1,5.762057497804562e-14,6.338263247585019e-12
1890,GPRC5A,2.282618538629322e-13,2.4448045926898262e-11
3905,CLU,3.632649736573512e-13,3.7909960071421014e-11
3912,COL6A2,3.8968828164342995e-13,3.9650782657219e-11
3997,MFGE8,5.371258993136507e-13,5.331957098064777e-11
1849,CRISP3,5.646594303243546e-13,5.471818765286008e-11
3270,C4A,9.090506125630782e-13,8.604269751469135e-11
3979,LAMB3,9.879874696139268e-13,9.138884093928823e-11
3368,ECM1,1.2176926134088717e-12,1.1013353192386906e-10
2999,MT1G,1.2975176488794204e-12,1.1288828028394629e-10
2467,COL1A1,1.3036238755148588e-12,1.1288828028394629e-10
1816,AMY1B,1.9395596240201485e-12,1.6445849312004176e-10
4061,MROH6,2.1834756225302954e-12,1.8136215885098576e-10
2834,ITGB4,6.442402167294858e-12,5.244115364178015e-10
2270,AP001330.4,9.2166274612282e-12,7.355230150431132e-10
3686,CES1,1.0740741629433614e-11,8.406695852268233e-10
3889,C19orf33,1.952116246428659e-11,1.4990779477291778e-09
3269,C3,2.0903279107642447e-11,1.5754878882982364e-09
3817,MSLN,2.554256806064359e-11,1.8901500364876256e-09
1939,MT1F,4.434386191576323e-11,3.222848535663506e-09
3476,ID1,4.864553204697586e-11,3.473461674231434e-09
2229,AL513043.1,5.074107800595584e-11,3.5606239221420737e-09
2256,AMY1C,5.282441151166495e-11,3.583255914207939e-09
3585,MYL9,5.2719717480442796e-11,3.583255914207939e-09
3528,LTF,5.812006431682448e-11,3.877846914253699e-09
3813,MMP14,8.308376209242851e-11,5.454046963164259e-09
1897,HLA.DQA1,1.1684375689213766e-10,7.548477627793655e-09
4030,AHNAK2,1.680549033267198e-10,1.0687241508433587e-08
1898,HLA.DRB6,1.871353072502302e-10,1.1717549238591337e-08
2810,IGHA1,1.9580759236248468e-10,1.2074801529019888e-08
3002,MT1X,2.202708015985877e-10,1.3380629291138088e-08
3857,AEBP1,2.2405743926867672e-10,1.341049673269874e-08
4056,LOXL2,2.307618540697831e-10,1.361160501542054e-08
3213,AMBP,2.3411150795737967e-10,1.361191196266479e-08
3113,AC002350.1,2.7221025433732393e-10,1.5387440766012617e-08
3431,FXYD3,2.718999470019412e-10,1.5387440766012617e-08
2963,MMP1,4.382586515916387e-10,2.443442071202698e-08
1901,HMGN3,5.067477548692523e-10,2.7820525438926325e-08
2365,C4B,5.1266324518906e-10,2.7820525438926325e-08
3967,ITGA11,5.881228837267827e-10,3.108649528270137e-08
3484,IL1RN,5.863972640796078e-10,3.108649528270137e-08
3505,KRT18,6.082285786135344e-10,3.173705531996263e-08
1795,AD000090.1,9.219475183286363e-10,4.7497802526551265e-08
2008,AC010468.1,1.1030033553183216e-09,5.611529570181961e-08
1932,MIR6087,1.319400810828597e-09,6.629581851941223e-08
3504,KRT16,1.745857236556958e-09,8.665413357057097e-08
2017,AC015983.1,2.7974577099243447e-09,1.3717654071556728e-07
1776,AC091179.1,3.394356351549277e-09,1.644646470333995e-07
2811,IGHA2,3.457980901622193e-09,1.6557626199532146e-07
3467,HMGA1,3.637166012815385e-09,1.721309961878909e-07
2576,EEF1A1P25,3.823733440988519e-09,1.7888040350371578e-07
2234,AL591846.1,4.276255904933635e-09,1.955546239671898e-07
2425,CFTR,4.2648606868311845e-09,1.955546239671898e-07
2065,AC090602.1,4.510183226891229e-09,2.0396050814941447e-07
3774,ISLR,4.870662650979796e-09,2.1784172515920626e-07
1779,AC092431.2,5.012340098531354e-09,2.2174156740241968e-07
3229,AQP3,5.300006433728299e-09,2.3194651812122773e-07
2002,AC008802.1,5.501540112362591e-09,2.356975606033236e-07
3301,COL14A1,5.4863049658848695e-09,2.356975606033236e-07
3653,APCS,6.034507005203693e-09,2.5583795324144826e-07
4049,GSTP1,7.07711034220182e-09,2.969467947707362e-07
1817,AMY2A,7.863820150610934e-09,3.2658926543863775e-07
2054,AC079193.1,9.975916537285912e-09,4.1012101319953194e-07
3195,AL034374.1,1.0192928057151107e-08,4.148521719260501e-07
