"","Emark","markcorr","markvario","Vmark"
"A2M",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"A4GALT",0.309623430962343,0.127674258109041,0.206358059118795,0.250762453405625
"AAAS",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AAK1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AAMDC",0.226023213194869,0.207340991874475,0.206358059118795,0.250762453405625
"AAMP",0.226023213194869,0.127674258109041,0.1184,0.250762453405625
"AARS",0.39288558534643,0.375634517766497,0.1184,0.328694107195736
"AATF",0.473024801840961,0.127674258109041,0.29110936270653,0.563451776649746
"ABCA2",0.473024801840961,0.291185729275971,0.29110936270653,0.563451776649746
"ABCA7",0.226023213194869,0.207340991874475,0.376974019358125,0.250762453405625
"ABCA8",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"ABCB8",0.641724479682854,0.127674258109041,0.29110936270653,0.645241654210264
"ABCC3",0.226023213194869,0.127674258109041,0.1184,0.164371390493114
"ABCD1",0.226023213194869,0.127674258109041,0.206358059118795,0.328694107195736
"ABCF1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"ABCF2",0.226023213194869,0.127674258109041,0.1184,0.164371390493114
"ABCF3",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"ABCG1",0.309623430962343,0.375634517766497,0.206358059118795,0.328694107195736
"ABHD10",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"ABHD11",0.473024801840961,0.127674258109041,0.206358059118795,0.250762453405625
"ABHD12",0.39288558534643,0.127674258109041,0.206358059118795,0.328694107195736
"ABHD14B",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"ABHD17A",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"ABHD17AP3",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"ABHD17C",0.226023213194869,0.127674258109041,0.1184,0.250762453405625
"ABHD2",0.141113653699466,0.291185729275971,0.1184,0.164371390493114
"ABHD4",0.556949322629202,0.207340991874475,0.29110936270653,0.485055060304143
"ABI2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"ABI3",0.141113653699466,0.207340991874475,0.1184,0.164371390493114
"ABL1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"ABLIM1",0.141113653699466,0.291185729275971,0.29110936270653,0.164371390493114
"ABR",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"ABT1",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"ABTB1",0.309623430962343,0.127674258109041,0.1184,0.328694107195736
"AC000081.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC000089.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC002075.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC002350.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC002558.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004057.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004069.1",0.141113653699466,0.207340991874475,0.1184,0.164371390493114
"AC004217.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004223.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004386.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004448.1",0.141113653699466,0.127674258109041,0.1184,0.328694107195736
"AC004448.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004453.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004552.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004556.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004692.1",0.141113653699466,0.207340991874475,0.1184,0.164371390493114
"AC004801.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004884.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004890.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC004910.1",0.141113653699466,0.207340991874475,0.1184,0.164371390493114
"AC004938.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005019.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005099.1",0.309623430962343,0.127674258109041,0.1184,0.407264722069345
"AC005165.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005253.1",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"AC005262.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005336.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005519.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005521.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005534.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005550.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005786.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005840.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005912.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC005944.1",0.141113653699466,0.459741550695825,0.1184,0.164371390493114
"AC006064.4",0.141113653699466,0.207340991874475,0.1184,0.164371390493114
"AC006122.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC006463.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC006483.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC006511.3",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC006534.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC006970.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007016.1",0.226023213194869,0.375634517766497,0.206358059118795,0.328694107195736
"AC007066.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007160.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007182.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007279.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007283.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007325.2",0.141113653699466,0.127674258109041,0.206358059118795,0.164371390493114
"AC007365.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007387.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007389.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007537.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007537.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007683.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007686.1",0.141113653699466,0.207340991874475,0.1184,0.164371390493114
"AC007688.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC007690.1",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"AC007969.1",0.141113653699466,0.127674258109041,0.1184,0.563451776649746
"AC008021.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008026.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008026.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008038.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008065.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008155.1",0.226023213194869,0.127674258109041,0.1184,0.250762453405625
"AC008158.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008412.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008446.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008481.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008481.2",0.556949322629202,0.207340991874475,0.29110936270653,0.563451776649746
"AC008494.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008677.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008753.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008799.1",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"AC008802.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC008953.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC009041.2",0.556949322629202,0.127674258109041,0.376974019358125,0.485055060304143
"AC009078.2",0.226023213194869,0.127674258109041,0.1184,0.164371390493114
"AC009088.4",0.729064039408867,0.127674258109041,0.1184,0.563451776649746
"AC009220.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC009245.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC009362.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC009413.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC009961.3",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC010099.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC010234.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC010301.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC010323.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC010343.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC010468.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC010503.4",0.141113653699466,0.207340991874475,0.1184,0.164371390493114
"AC010677.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC010733.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC011444.4",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC011495.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC011506.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC011825.1",0.141113653699466,0.127674258109041,0.206358059118795,0.164371390493114
"AC011933.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC011979.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC012181.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC012354.2",0.141113653699466,0.291185729275971,0.1184,0.164371390493114
"AC012498.2",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"AC012618.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC012618.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC012671.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC013248.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC013268.5",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC013356.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC013787.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC015720.2",0.141113653699466,0.207340991874475,0.1184,0.164371390493114
"AC015911.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC015983.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC016596.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC016638.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC016687.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC016691.1",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"AC016700.2",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC016712.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC016734.1",0.141113653699466,0.291185729275971,0.1184,0.164371390493114
"AC016739.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC018475.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC018523.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC018695.1",0.226023213194869,0.127674258109041,0.206358059118795,0.164371390493114
"AC018738.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC018868.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC019084.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC019181.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC019205.3",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC020656.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC020658.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC020898.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC020899.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC020916.1",0.39288558534643,0.127674258109041,0.206358059118795,0.250762453405625
"AC020917.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC020978.1",0.309623430962343,0.127674258109041,0.1184,0.250762453405625
"AC020983.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC021016.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC021074.1",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"AC021443.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC021723.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC021739.1",0.141113653699466,0.127674258109041,0.1184,0.250762453405625
"AC022018.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC022034.3",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
"AC022210.1",0.141113653699466,0.127674258109041,0.1184,0.164371390493114
