"","x","y","total_counts"
"PDAC-A-ST1_10x10",10,10,8019
"PDAC-A-ST1_10x13",10,13,1692
"PDAC-A-ST1_10x14",10,14,1384
"PDAC-A-ST1_10x15",10,15,898
"PDAC-A-ST1_10x16",10,16,785
"PDAC-A-ST1_10x17",10,17,1281
"PDAC-A-ST1_10x19",10,19,3591
"PDAC-A-ST1_10x20",10,20,2548
"PDAC-A-ST1_10x24",10,24,3056
"PDAC-A-ST1_10x25",10,25,1626
"PDAC-A-ST1_10x26",10,26,1622
"PDAC-A-ST1_10x27",10,27,1013
"PDAC-A-ST1_10x28",10,28,1672
"PDAC-A-ST1_10x29",10,29,324
"PDAC-A-ST1_10x30",10,30,611
"PDAC-A-ST1_10x31",10,31,310
"PDAC-A-ST1_10x32",10,32,154
"PDAC-A-ST1_10x33",10,33,405
"PDAC-A-ST1_11x11",11,11,3173
"PDAC-A-ST1_11x13",11,13,962
"PDAC-A-ST1_11x14",11,14,1081
"PDAC-A-ST1_11x15",11,15,643
"PDAC-A-ST1_11x16",11,16,671
"PDAC-A-ST1_11x17",11,17,1231
"PDAC-A-ST1_11x19",11,19,2806
"PDAC-A-ST1_11x21",11,21,2400
"PDAC-A-ST1_11x22",11,22,1795
"PDAC-A-ST1_11x23",11,23,1762
"PDAC-A-ST1_11x24",11,24,1237
"PDAC-A-ST1_11x25",11,25,567
"PDAC-A-ST1_11x26",11,26,613
"PDAC-A-ST1_11x27",11,27,846
"PDAC-A-ST1_11x28",11,28,1149
"PDAC-A-ST1_11x29",11,29,1326
"PDAC-A-ST1_11x30",11,30,811
"PDAC-A-ST1_11x31",11,31,835
"PDAC-A-ST1_11x32",11,32,567
"PDAC-A-ST1_11x33",11,33,1452
"PDAC-A-ST1_11x34",11,34,3761
"PDAC-A-ST1_12x13",12,13,425
"PDAC-A-ST1_12x14",12,14,667
"PDAC-A-ST1_12x15",12,15,983
"PDAC-A-ST1_12x16",12,16,1002
"PDAC-A-ST1_12x17",12,17,1494
"PDAC-A-ST1_12x19",12,19,1740
"PDAC-A-ST1_12x20",12,20,1464
"PDAC-A-ST1_12x21",12,21,3576
"PDAC-A-ST1_12x22",12,22,1248
"PDAC-A-ST1_12x23",12,23,1708
"PDAC-A-ST1_12x24",12,24,760
"PDAC-A-ST1_12x25",12,25,614
"PDAC-A-ST1_12x26",12,26,618
"PDAC-A-ST1_12x27",12,27,595
"PDAC-A-ST1_12x28",12,28,1150
"PDAC-A-ST1_12x29",12,29,646
"PDAC-A-ST1_12x30",12,30,305
"PDAC-A-ST1_12x31",12,31,214
"PDAC-A-ST1_12x32",12,32,732
"PDAC-A-ST1_12x33",12,33,944
"PDAC-A-ST1_12x34",12,34,2970
"PDAC-A-ST1_13x13",13,13,3587
"PDAC-A-ST1_13x14",13,14,2926
"PDAC-A-ST1_13x15",13,15,4124
"PDAC-A-ST1_13x16",13,16,4502
"PDAC-A-ST1_13x17",13,17,3542
"PDAC-A-ST1_13x19",13,19,1072
"PDAC-A-ST1_13x20",13,20,673
"PDAC-A-ST1_13x21",13,21,1203
"PDAC-A-ST1_13x22",13,22,1040
"PDAC-A-ST1_13x23",13,23,1361
"PDAC-A-ST1_13x24",13,24,1034
"PDAC-A-ST1_13x25",13,25,620
"PDAC-A-ST1_13x26",13,26,232
"PDAC-A-ST1_13x27",13,27,272
"PDAC-A-ST1_13x28",13,28,280
"PDAC-A-ST1_13x29",13,29,261
"PDAC-A-ST1_13x30",13,30,568
"PDAC-A-ST1_13x31",13,31,965
"PDAC-A-ST1_13x32",13,32,584
"PDAC-A-ST1_13x33",13,33,661
"PDAC-A-ST1_13x34",13,34,1168
"PDAC-A-ST1_14x13",14,13,9720
"PDAC-A-ST1_14x14",14,14,7917
"PDAC-A-ST1_14x15",14,15,11069
"PDAC-A-ST1_14x16",14,16,11381
"PDAC-A-ST1_14x17",14,17,8311
"PDAC-A-ST1_14x18",14,18,6811
"PDAC-A-ST1_14x19",14,19,841
"PDAC-A-ST1_14x20",14,20,465
"PDAC-A-ST1_14x21",14,21,759
"PDAC-A-ST1_14x22",14,22,720
"PDAC-A-ST1_14x23",14,23,1250
"PDAC-A-ST1_14x24",14,24,969
"PDAC-A-ST1_14x25",14,25,1386
"PDAC-A-ST1_14x26",14,26,434
"PDAC-A-ST1_14x27",14,27,279
"PDAC-A-ST1_14x28",14,28,1302
"PDAC-A-ST1_14x29",14,29,1348
"PDAC-A-ST1_14x30",14,30,830
"PDAC-A-ST1_14x31",14,31,1376
"PDAC-A-ST1_14x32",14,32,311
"PDAC-A-ST1_14x33",14,33,426
"PDAC-A-ST1_14x34",14,34,356
"PDAC-A-ST1_15x13",15,13,6561
"PDAC-A-ST1_15x14",15,14,6718
"PDAC-A-ST1_15x15",15,15,14004
"PDAC-A-ST1_15x16",15,16,15249
"PDAC-A-ST1_15x17",15,17,7627
"PDAC-A-ST1_15x18",15,18,3993
"PDAC-A-ST1_15x19",15,19,633
"PDAC-A-ST1_15x20",15,20,622
"PDAC-A-ST1_15x21",15,21,405
"PDAC-A-ST1_15x22",15,22,630
"PDAC-A-ST1_15x23",15,23,714
"PDAC-A-ST1_15x24",15,24,857
"PDAC-A-ST1_15x25",15,25,1080
"PDAC-A-ST1_15x26",15,26,392
"PDAC-A-ST1_15x27",15,27,375
"PDAC-A-ST1_15x28",15,28,401
"PDAC-A-ST1_15x29",15,29,739
"PDAC-A-ST1_15x30",15,30,1501
"PDAC-A-ST1_15x31",15,31,568
"PDAC-A-ST1_15x32",15,32,3365
"PDAC-A-ST1_15x33",15,33,707
"PDAC-A-ST1_15x34",15,34,127
"PDAC-A-ST1_16x13",16,13,16260
"PDAC-A-ST1_16x14",16,14,21991
"PDAC-A-ST1_16x15",16,15,9114
"PDAC-A-ST1_16x16",16,16,8543
"PDAC-A-ST1_16x17",16,17,15356
"PDAC-A-ST1_16x18",16,18,4413
"PDAC-A-ST1_16x19",16,19,348
"PDAC-A-ST1_16x20",16,20,357
"PDAC-A-ST1_16x21",16,21,284
"PDAC-A-ST1_16x22",16,22,508
"PDAC-A-ST1_16x23",16,23,339
"PDAC-A-ST1_16x24",16,24,487
"PDAC-A-ST1_16x25",16,25,455
