"","x","y","total_counts"
"Spot1",-1.67385011083681,-1.64613544544849,31125
"Spot2",-1.67385011083681,-1.47285803013812,29838
"Spot3",-1.67385011083681,-1.29958061482776,29692
"Spot4",-1.67385011083681,-1.12630319951739,30116
"Spot5",-1.67385011083681,-0.953025784207022,30417
"Spot6",-1.67385011083681,-0.779748368896654,30053
"Spot7",-1.67385011083681,-0.606470953586286,29958
"Spot8",-1.67385011083681,-0.433193538275919,28818
"Spot9",-1.67385011083681,-0.259916122965551,30068
"Spot10",-1.67385011083681,-0.0866387076551838,30804
"Spot11",-1.67385011083681,0.0866387076551838,30655
"Spot12",-1.67385011083681,0.259916122965551,29921
"Spot13",-1.67385011083681,0.433193538275919,29826
"Spot14",-1.67385011083681,0.606470953586286,30746
"Spot15",-1.67385011083681,0.779748368896654,30070
"Spot16",-1.67385011083681,0.953025784207022,30482
"Spot17",-1.67385011083681,1.12630319951739,30922
"Spot18",-1.67385011083681,1.29958061482776,30409
"Spot19",-1.67385011083681,1.47285803013812,29156
"Spot20",-1.67385011083681,1.64613544544849,30136
"Spot21",-1.55841217215841,-1.64613544544849,29937
"Spot22",-1.55841217215841,-1.47285803013812,29431
"Spot23",-1.55841217215841,-1.29958061482776,30692
"Spot24",-1.55841217215841,-1.12630319951739,30158
"Spot25",-1.55841217215841,-0.953025784207022,30369
"Spot26",-1.55841217215841,-0.779748368896654,30789
"Spot27",-1.55841217215841,-0.606470953586286,30058
"Spot28",-1.55841217215841,-0.433193538275919,29712
"Spot29",-1.55841217215841,-0.259916122965551,29686
"Spot30",-1.55841217215841,-0.0866387076551838,29869
"Spot31",-1.55841217215841,0.0866387076551838,30546
"Spot32",-1.55841217215841,0.259916122965551,30203
"Spot33",-1.55841217215841,0.433193538275919,29713
"Spot34",-1.55841217215841,0.606470953586286,30417
"Spot35",-1.55841217215841,0.779748368896654,31187
"Spot36",-1.55841217215841,0.953025784207022,30704
"Spot37",-1.55841217215841,1.12630319951739,29369
"Spot38",-1.55841217215841,1.29958061482776,29974
"Spot39",-1.55841217215841,1.47285803013812,29215
"Spot40",-1.55841217215841,1.64613544544849,30530
"Spot41",-1.44297423348001,-1.64613544544849,30070
"Spot42",-1.44297423348001,-1.47285803013812,29329
"Spot43",-1.44297423348001,-1.29958061482776,30300
"Spot44",-1.44297423348001,-1.12630319951739,29826
"Spot45",-1.44297423348001,-0.953025784207022,30019
"Spot46",-1.44297423348001,-0.779748368896654,30195
"Spot47",-1.44297423348001,-0.606470953586286,30275
"Spot48",-1.44297423348001,-0.433193538275919,30278
"Spot49",-1.44297423348001,-0.259916122965551,30017
"Spot50",-1.44297423348001,-0.0866387076551838,30222
"Spot51",-1.44297423348001,0.0866387076551838,30366
"Spot52",-1.44297423348001,0.259916122965551,29662
"Spot53",-1.44297423348001,0.433193538275919,29569
"Spot54",-1.44297423348001,0.606470953586286,30547
"Spot55",-1.44297423348001,0.779748368896654,30517
"Spot56",-1.44297423348001,0.953025784207022,30507
"Spot57",-1.44297423348001,1.12630319951739,30574
"Spot58",-1.44297423348001,1.29958061482776,29190
"Spot59",-1.44297423348001,1.47285803013812,31339
"Spot60",-1.44297423348001,1.64613544544849,29790
"Spot61",-1.3275362948016,-1.64613544544849,29692
"Spot62",-1.3275362948016,-1.47285803013812,30424
"Spot63",-1.3275362948016,-1.29958061482776,30357
