"","x","y","total_counts"
"Spot1",-1.67385011083681,-1.64613544544849,32051
"Spot2",-1.67385011083681,-1.47285803013812,31330
"Spot3",-1.67385011083681,-1.29958061482776,31474
"Spot4",-1.67385011083681,-1.12630319951739,31362
"Spot5",-1.67385011083681,-0.953025784207022,31678
"Spot6",-1.67385011083681,-0.779748368896654,31780
"Spot7",-1.67385011083681,-0.606470953586286,32404
"Spot8",-1.67385011083681,-0.433193538275919,30876
"Spot9",-1.67385011083681,-0.259916122965551,31895
"Spot10",-1.67385011083681,-0.0866387076551838,32500
"Spot11",-1.67385011083681,0.0866387076551838,32188
"Spot12",-1.67385011083681,0.259916122965551,32055
"Spot13",-1.67385011083681,0.433193538275919,31821
"Spot14",-1.67385011083681,0.606470953586286,33081
"Spot15",-1.67385011083681,0.779748368896654,31334
"Spot16",-1.67385011083681,0.953025784207022,32258
"Spot17",-1.67385011083681,1.12630319951739,31923
"Spot18",-1.67385011083681,1.29958061482776,32555
"Spot19",-1.67385011083681,1.47285803013812,31048
"Spot20",-1.67385011083681,1.64613544544849,31818
"Spot21",-1.55841217215841,-1.64613544544849,32149
"Spot22",-1.55841217215841,-1.47285803013812,31592
"Spot23",-1.55841217215841,-1.29958061482776,32729
"Spot24",-1.55841217215841,-1.12630319951739,31939
"Spot25",-1.55841217215841,-0.953025784207022,32088
"Spot26",-1.55841217215841,-0.779748368896654,33295
"Spot27",-1.55841217215841,-0.606470953586286,32592
"Spot28",-1.55841217215841,-0.433193538275919,32910
"Spot29",-1.55841217215841,-0.259916122965551,32710
"Spot30",-1.55841217215841,-0.0866387076551838,32174
"Spot31",-1.55841217215841,0.0866387076551838,33036
"Spot32",-1.55841217215841,0.259916122965551,33067
"Spot33",-1.55841217215841,0.433193538275919,32758
"Spot34",-1.55841217215841,0.606470953586286,33278
"Spot35",-1.55841217215841,0.779748368896654,33472
"Spot36",-1.55841217215841,0.953025784207022,32358
"Spot37",-1.55841217215841,1.12630319951739,31631
"Spot38",-1.55841217215841,1.29958061482776,31659
