"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.357948554701302,0.0891255881673164,0.236262974430225,0.992420753161867,0.0835251109427604,0.382340210305137,0.280481337877014,0.68269239431683,0.590549944823838,0.818424557240582,0.63919707024143,0.126919961388079
"Gene2",0.0823075278026122,0.319256334921862,0.955024179027129,0.334562020381141,0.337874059837992,0.823633933572759,0.934407478890317,0.798665005832604,0.208844448812337,0.68483831328035,0.339211784134052,0.126431343850748
"Gene3",0.132749420589222,0.638961705342347,0.480894305317186,0.791186606310876,0.307639686894371,0.99901970200784,0.297576273659144,0.760145127436994,0.183204176136902,0.331972880022787,0.563450716336576,0.748818799828896
"Gene4",0.100136999277325,0.678717232610736,0.0581258930562452,0.586144385410583,0.643964247093823,0.485551538188243,0.497938385191032,0.248654507513819,0.364266959679011,0.822457194822666,0.699419353473604,0.307654876798442
"Gene5",0.346809604779503,0.321311542068688,0.83563351968788,0.35638038390627,0.798142358770072,0.885965174581556,0.0971168793610321,0.0998894809726649,0.232035427238203,0.638299638366699,0.354672893960337,0.117161836056014
"Gene6",0.459066787492627,0.961587484714659,0.979738981325073,0.792140065432425,0.75106326495787,0.310625995355368,0.898685690801143,0.369385604454829,0.981617498279247,0.819191083102672,0.323209355531504,0.384085565120196
"Gene7",0.509049822860137,0.775960146458021,0.768176904056104,0.693603913707179,0.0772103187174511,0.0238308633659806,0.272772600493568,0.800522637870049,0.907314739715401,0.37876404003223,0.284358707937054,0.387282394371774
"Gene8",0.0570130613333131,0.0750864569202854,0.797935473472669,0.26559535894266,0.291127050098982,0.0466065507353126,0.431199744042346,0.0762484060383679,0.592957571816506,0.208039644382122,0.691698274578369,0.603147189811398
"Gene9",0.376801541059156,0.818364532238841,0.55429057626973,0.748424874189115,0.734927567677057,0.596288033025044,0.802675584929606,0.560778594564173,0.49102426802267,0.179197233454975,0.145189060588811,0.262506970198271
"Gene10",0.532297625278939,0.521092926513614,0.676595867681972,0.807992349030061,0.680405254338607,0.393988103106252,0.849391445356761,0.692408128057506,0.809824404793588,0.981463746002003,0.880530154881183,0.856310221467363
"Gene11",0.895944515093073,0.397147004852532,0.563310574258124,0.582900865115351,0.501389095855906,0.953534849203944,0.0593271212423235,0.342641777135785,0.814466473938716,0.599200766513268,0.76716763065856,0.587972591051665
"Gene12",0.963018642763154,0.51754717236146,0.0392241610984079,0.561800383801163,0.312827983112332,0.550321696719533,0.759144910262366,0.916537687824626,0.825606995588257,0.195175801132697,0.0978874889814979,0.731644040421579
"Gene13",0.683218343717466,0.669549398246405,0.667297158185763,0.308943009241176,0.310872921678541,0.259034687441302,0.851867035884879,0.613825190801467,0.843097441125657,0.712189988798143,0.33218811865427,0.219187354720866
"Gene14",0.458776260798234,0.972009960243893,0.232202766371691,0.0376231452339042,0.752518770840855,0.511692240489883,0.826315071355678,0.42727257417108,0.252576102996765,0.728069989475076,0.696103220997339,0.298588688632301
"Gene15",0.943995556995152,0.0343337053869234,0.294507833854971,0.843646533997473,0.142498143075582,0.402648485650449,0.283699817075148,0.279577135703829,0.214262733709501,0.874341383607236,0.205794438969632,0.528110590814511
"Gene16",0.0302424584932997,0.813617487578567,0.813327410807498,0.805930158996121,0.129194667192601,0.157674846092781,0.825472787344194,0.391573572835077,0.835601252245294,0.0381799958107202,0.0110193877864718,0.128405993227319
"Gene17",0.125392893146217,0.731565535530442,0.971904372918213,0.692502896573055,0.717176580960886,0.672227767059396,0.176505972773673,0.415022395673128,0.285664447870112,0.569205883290715,0.933660869933525,0.919737545563892
