"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.943583810354976,0.480959239068745,0.46733831956873,0.0020575314907012,0.649485754000292,0.703334520948671,0.139450600035099,0.81336013493757,0.573640550690344,0.668075494220828,0.739877425270662,0.7805336099612
"Gene2",0.130156087300618,0.852085090503129,0.831720569648299,0.0215582041860698,0.700731433417591,0.343065015028415,0.426297268659143,0.484547471224451,0.423489257728553,0.562753964011673,0.131578084501889,0.676396898511113
"Gene3",0.288767331792766,0.875105078247124,0.503417316976296,0.768450362230333,0.896537094171912,0.919283145947884,0.0973709403947824,0.0333162522426473,0.267389977372944,0.693095424062725,0.581742435429194,0.256098545491572
"Gene4",0.637116538049523,0.547101318027015,0.0307054098548453,0.0451858628931965,0.991623955151801,0.794472414309717,0.768445005495949,0.758505635739281,0.240330850611462,0.872290671383772,0.499027764952569,0.689763109134822
"Gene5",0.784664340478837,0.709109025269012,0.148518804250912,0.852713252938497,0.796361300369077,0.00195346697689103,0.706190442898099,0.996060143906801,0.819933373758016,0.0146870002229247,0.394778831052264,0.0270361236691272
"Gene6",0.274245041620778,0.829394227917217,0.019830700861635,0.247429280182792,0.736851488124602,0.657069849146837,0.334294289413027,0.714089643224239,0.371136307589692,0.807229743149192,0.88988410088147,0.0875470434751635
"Gene7",0.0541860261821994,0.733672738251154,0.443046564123121,0.551819801192495,0.980662476565768,0.386780570415579,0.809383700454967,0.765501821590677,0.280076929160895,0.56279121640187,0.326554984159395,0.421849887109925
"Gene8",0.529130949886623,0.14616616809507,0.0846283372296368,0.859169401446967,0.502410557644289,0.232653122636715,0.435701458866917,0.629114277186259,0.510679208713561,0.13657078044376,0.503471676737907,0.130772848455083
"Gene9",0.512169763499008,0.561447391021949,0.182142591625479,0.0312185743073661,0.366623822554291,0.307512382860354,0.050280880364014,0.420498894017522,0.469918696840142,0.14968699600821,0.38511204153064,0.906134570306868
"Gene10",0.337357226098753,0.111995441790685,0.303030269815957,0.668120425861192,0.584250794115478,0.608858686589909,0.0574299725298563,0.319686841484584,0.158136718690764,0.939693630488131,0.105418020975682,0.1055506272794
"Gene11",0.930387759465779,0.613024039371775,0.113539586294941,0.644020495684496,0.407231768662896,0.40685632056224,0.0532278890407517,0.672807179071392,0.39753982099377,0.50466792674784,0.962163008064843,0.210008499626449
"Gene12",0.729304136655914,0.74258344705852,0.534818471273857,0.524563857387372,0.89402081601777,0.0478168958384769,0.606926732618619,0.642534357465712,0.848722417715549,0.0217221263004513,0.930832528539319,0.531878101912003
"Gene13",0.34578489876589,0.45176531534163,0.863014968480957,0.108348900117134,0.360213034876875,0.982310094715078,0.950005038957089,0.613488147875265,0.981886897583524,0.538480534331545,0.492096216898698,0.792109253918901
"Gene14",0.923467560943444,0.195863103173188,0.143398679306387,0.272642576632459,0.712223019506651,0.466561004716745,0.485554065178784,0.975687608774204,0.655808111203375,0.403967185360766,0.900357147053094,0.624822182363357
"Gene15",0.436034955089744,0.0219451068508713,0.933655809961222,0.0524104809187561,0.348586745536299,0.236396025763547,0.674047657680684,0.976350714386498,0.818539288943789,0.371199266479224,0.772074811469932,0.451499120761847
"Gene16",0.889136268451351,0.0493136884186876,0.80811058229955,0.66774492141531,0.132174760446561,0.0730983453350331,0.746843704702282,0.403485057311663,0.929563818049367,0.674989242203792,0.314986337137334,0.691217408437047
"Gene17",0.458463138892258,0.603429250560138,0.526297988117293,0.49292728309933,0.036844539722812,0.00711513285434395,0.729592232272107,0.673739068972196,0.933192112902021,0.413177740146173,0.918070242345113,0.550873295715784
"Gene18",0.65411787138256,0.0377126782379364,0.127259124681778,0.82627862413776,0.0467114576636218,0.801212914476377,0.640656999871916,0.744580254921204,0.102378758030422,0.344002293458965,0.910357281302416,0.57977114501376
"Gene19",0.215821224960932,0.906533011810762,0.790624211493543,0.772312316002346,0.826991077623165,0.655358768929153,0.916328980222493,0.0634789627366683,0.129232858658253,0.361579608566875,0.339381481682605,0.944991555101223
"Gene20",0.303156205537826,0.390186561099165,0.868948670081497,0.943413902529668,0.984816049803759,0.216929447908143,0.0956553794372539,0.00651873239534739,0.749509590687617,0.612721794834472,0.643291394259951,0.67389972032291
"Gene21",0.11319130430166,0.58856953898778,0.00183367051201899,0.946976669934303,0.291001756210275,0.00791619877246164,0.676931794639717,0.860928321329475,0.950885852281426,0.571562163488136,0.898482980388988,0.6766006995598
"Gene22",0.559319131729213,0.329656343456981,0.806854405756956,0.325545184885009,0.521154503119578,0.681478402656658,0.803049863595893,0.0702263215451153,0.674086683848675,0.66496084407441,0.184101821876872,0.927075422838541
"Gene23",0.364525509443895,0.595343508871006,0.79479419860097,0.271132222539011,0.431750826154343,0.942215308260238,0.375329769857499,0.48088761912169,0.533865225007166,0.396907340629293,0.426906319999531,0.931961866566544
"Gene24",0.144982435918021,0.0336061714524412,0.690536604722233,0.286966839618857,0.89863086287167,0.500977613070541,0.378323282591755,0.177606979562388,0.137077741935309,0.42848885904962,0.630406865632098,0.309411683101193
"Gene25",0.161521157621529,0.160390938160175,0.0337535999749624,0.906922659300485,0.599074193846322,0.672262363318518,0.0012228044352407,0.341402655265568,0.743973851489266,0.313149894634311,0.19501934335696,0.0372140470208204
"Gene26",0.0264119215590485,0.846773746508765,0.801206636981651,0.57349675228367,0.949561682120925,0.566076476398731,0.171972186765436,0.513292114113414,0.879242573159916,0.729154119342723,0.56368264635683,0.478781231876878
"Gene27",0.283745124717295,0.806666167226078,0.611996776845654,0.0539954466988128,0.942288111208922,0.4546361134405,0.0451890718802717,0.198382470759985,0.21541372053811,0.0873955015962125,0.912765975375602,0.353979838601446
"Gene28",0.573402040272863,0.377272518596593,0.493094077395736,0.356972729638229,0.0803092044209992,0.141128715170544,0.900046358148552,0.466010600833802,0.0430420460043091,0.17838743754977,0.141303243062215,0.151006769540777
"Gene29",0.36892531625666,0.0394175366901161,0.521674716632265,0.790018136803577,0.58697091451991,0.235574068645304,0.878246303259893,0.422172406705777,0.276797700055521,0.996856799533296,0.651160180521053,0.380741362640232
"Gene30",0.734518962535876,0.100764039559447,0.0757551615294452,0.0319341433367686,0.613081071956454,0.0353040949788392,0.58575556264602,0.679545119942765,0.533805522403886,0.934420394608578,0.00476195411938141,0.513651043546937
"Gene31",0.749298174909865,0.055140538357267,0.0774345590644687,0.0905031082882943,0.709223453447977,0.975497071973697,0.932583429013121,0.831429974623253,0.000407591216193381,0.279248477572663,0.351090975743076,0.664476253503494
"Gene32",0.86609620220713,0.988592190906295,0.705027226896488,0.486295005229042,0.874139771195924,0.598901003668934,0.417893775855587,0.755019646010844,0.00494609233764598,0.0535304130089995,0.58284974044226,0.0461791706243606
"Gene33",0.292800570186929,0.777976169012142,0.313692149896488,0.521105660111868,0.627239202442679,0.242408337227351,0.464008954963349,0.143517905653849,0.185300466214435,0.673002812842298,0.173111812498876,0.921748049924214
"Gene34",0.50335432847842,0.258751938602596,0.0870390028922026,0.579329741839507,0.280334969736729,0.0362882737970409,0.0125677534414999,0.0370035687306456,0.352026313994727,0.150676246015474,0.0666651478612155,0.49476935215346
"Gene35",0.0268409937199878,0.451203576925897,0.853255523016823,0.355284045701181,0.499625618578497,0.655367162725976,0.605466935878754,0.112059675166993,0.00158754877867828,0.675483781120803,0.922382144216852,0.995861329538436
"Gene36",0.388300157974822,0.0440669380831243,0.799234186966275,0.931473586785792,0.735999492875588,0.121857525098075,0.151431190120162,0.730800660661766,0.485079489784175,0.670496571134938,0.789820041369145,0.676698768848051
"Gene37",0.0312006695648281,0.0764475752791458,0.41169779070589,0.684505248850087,0.966762051807248,0.787664427354716,0.16144411362005,0.29017174086093,0.212393617773503,0.0717365944534618,0.989359279214493,0.435422344449871
"Gene38",0.708198921729844,0.944052651549445,0.671046120819609,0.536317551254307,0.299050732575591,0.533205349706706,0.272574568362098,0.0359620282568835,0.456052259864571,0.991315220899574,0.341152274512298,0.883701768200062
"Gene39",0.0659705543298905,0.0331569766125601,0.678242401525396,0.201209577953585,0.996203482441899,0.399057376080936,0.959444027934499,0.168237673991903,0.838875875304944,0.162335385168546,0.605235065497834,0.68234256164113
"Gene40",0.137634933467411,0.190778792974606,0.981876327651963,0.116892632220429,0.174855737412604,0.498224598771866,0.732344369716317,0.7479624432606,0.514059973383493,0.359338080651479,0.789131141333599,0.260863397065118
"Gene41",0.145261853217987,0.222470618122849,0.145558556292627,0.0811381952193901,0.371670273456163,0.249273649258695,0.916297775100864,0.999537488459389,0.335741519404111,0.22275169123094,0.575824074947802,0.352853778907415
"Gene42",0.398057581765311,0.788147566938444,0.0733564661364056,0.965728914609616,0.0542040833554442,0.73917794066849,0.948211323354181,0.437951296758319,0.696578331534771,0.126977011892023,0.697678231977758,0.487935544078877
"Gene43",0.441089615355587,0.858580067685483,0.862967170715367,0.702838084727985,0.574402271804408,0.098314741428029,0.176304689476155,0.537960373352201,0.572043923840804,0.267329166891867,0.836908639073278,0.905533526291977
"Gene44",0.871845024754355,0.847032087912544,0.580250165764802,0.931975909391618,0.507455313738503,0.936397996267084,0.946257075182574,0.296370320821268,0.883582131681736,0.234651219825166,0.467332902226046,0.0741835883867459
"Gene45",0.246155292654057,0.0997303472461784,0.288632217151193,0.309991977882474,0.592884937559874,0.209363103452387,0.573935456940136,0.854507602853453,0.448426416613391,0.807594163155894,0.0574563828567651,0.887309747144993
