"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Gene1",1,0.951299091592509,0.947624975332627,0.132104750606819,0.986459847365257,0.994303806962189,0.777143615928061,1,0.97137238383108,0.989136173646265,0.998726965497333,1
"Gene2",0.768148705067168,1,1,0.488755809999693,0.99370515462408,0.904683831227833,0.935299748226982,0.951917062150938,0.934539937066683,0.969131980214517,0.769842574005528,0.990654166457613
"Gene3",0.879262356617675,1,0.955910948313511,1,1,1,0.725791219788427,0.559075691388293,0.867438836138529,0.992582326537144,0.973121980377501,0.860152502409005
"Gene4",0.985189750022224,0.966388858469552,0.546359605958101,0.605751633783802,1,1,1,1,0.851205751700819,1,0.955544654922593,0.992463091902086
"Gene5",1,0.995321639426512,0.787520434102138,1,1,0.127123664439763,0.994786347720006,1,1,0.42143357132635,0.923634744795296,0.523158610799289
"Gene6",0.871142476872527,1,0.47309823129149,0.855618488765054,0.998149869243638,0.987647479530129,0.9018479320775,0.995771898135978,0.914845900585943,1,1,0.706974779072653
"Gene7",0.633322600746462,0.998052583046739,0.941141239876909,0.966937595349207,1,0.921217972512209,1,1,0.873980994237893,0.969131980214517,0.898445480996134,0.933864380120483
"Gene8",0.962074542106129,0.784456780400916,0.702034870646303,1,0.955634007519415,0.846885929889527,0.938629131577993,0.983787370257878,0.958001464275124,0.775908876445801,0.955927405165006,0.769149493979161
"Gene9",0.958313186736867,0.96898282736981,0.814381145995406,0.548748740351128,0.913350018619153,0.889149581785033,0.623255645152228,0.933446531323229,0.948044064497038,0.78890566286152,0.920614874644691,1
"Gene10",0.903144234386354,0.74592600768646,0.88708050173134,0.989146388410919,0.973686844273288,0.979213584458534,0.643713871757268,0.895391675560979,0.796512118556778,1,0.736845440184168,0.737055515160201
"Gene11",1,0.980401054214908,0.748396269178291,0.985994000820554,0.927987180197621,0.927730750341444,0.631522129854667,0.990113945876004,0.924536390899495,0.95611050160604,1,0.83231829470748
"Gene12",0.997563549406253,0.99915343953323,0.963438006151473,0.960949796111879,1,0.614786969320017,0.978705651043816,0.985994000820554,1,0.490249230027113,1,0.96291428915799
"Gene13",0.906362636288128,0.942593073830077,1,0.740793452260579,0.911514959175677,1,1,0.980446231328984,1,0.964111784309645,0.954037855824683,1
"Gene14",1,0.823587378564167,0.781680049015796,0.870168716046975,0.99551277012531,0.947412142584134,0.952361257630343,1,0.987444340985174,0.926937725745108,1,0.9826619146556
"Gene15",0.938787500109268,0.491510626675488,1,0.629225493858399,0.90753959616091,0.848918393837738,0.99025513210502,1,1,0.914845900585943,1,0.942593073830077
"Gene16",1,0.620720644909709,1,0.989073298433209,0.771032256837055,0.683301031902906,0.999459366492022,0.926559223130245,1,0.990320798839666,0.892706341105331,0.992463091902086
"Gene17",0.944752230416875,0.977575224361681,0.961499090437944,0.954203995408877,0.5745619560841,0.29878506673813,0.997563549406253,0.99025513210502,1,0.930422578975042,1,0.966896376169511
"Gene18",0.987007944973452,0.579498867747217,0.765816613344091,1,0.610812996815325,1,0.985824451469815,0.999282275034469,0.732010841264427,0.905348609857789,1,0.972649358108763
"Gene19",0.836050068406577,1,1,1,1,0.987235720065954,1,0.660493846215226,0.767033213699514,0.912250004590354,0.903719019693171,1
"Gene20",0.887171131872224,0.922394438333116,1,1,1,0.836579152929198,0.723437046097418,0.284764429356275,0.999739592238873,0.980401054214908,0.985994000820554,0.99025513210502
"Gene21",0.747961376080726,0.974269431491468,0.120664617893019,1,0.880533706745932,0.315217558981982,0.990654166457613,1,1,0.970992092119225,1,0.990654166457613
"Gene22",0.968394362028814,0.90018165903852,1,0.897989160664257,0.960390956954554,0.990956436771661,1,0.677655144976045,0.99025513210502,0.988862538972177,0.815623407626446,1
"Gene23",0.912776779175748,0.975599109779786,1,0.869477998521681,0.937860214983357,1,0.916572454627982,0.95124809268434,0.963233978262084,0.924209100904176,0.935606385185334,1
"Gene24",0.783371762807221,0.560276992211386,0.992463091902086,0.878918344927587,1,0.955584592917077,0.9172354752987,0.810472448550855,0.776091453380869,0.93660853447313,0.984203373220558,0.89043776647317
"Gene25",0.799578636359616,0.798958596065629,0.561056245491621,1,0.976332689689569,0.990076392696015,0.0890932193253697,0.904062146135978,0.999282275034469,0.891614562618452,0.823294846925322,0.576812922048366
"Gene26",0.520928005237969,1,1,0.971356127454734,1,0.969801112702253,0.80700709421286,0.958605248241222,1,0.997563549406253,0.969349418271503,0.950491007841853
"Gene27",0.876995685501546,1,0.980359810785466,0.633000485197087,1,0.943586539194427,0.605751633783802,0.824989130715908,0.836035557311101,0.706737202379134,1,0.909849433501213
"Gene28",0.971342507470884,0.917094553035416,0.954300231467639,0.91106318894852,0.695859943659278,0.778949525984438,1,0.947007851166892,0.599801935796015,0.811322833484464,0.779173040168211,0.789990947113664
"Gene29",0.914147552984692,0.584685340273662,0.960425676364827,1,0.974037210306342,0.848722464488739,1,0.933939021691832,0.872059750061521,1,0.986803296514448,0.918205018525851
"Gene30",0.998147861982595,0.730540295396658,0.688747456161306,0.553103377652355,0.980407305432696,0.568915836294959,0.973854865370881,0.990654166457613,0.963229116244117,1,0.2351582281176,0.958612985576438
"Gene31",0.999739592238873,0.637622220475911,0.690531524875512,0.713137631794295,0.995321639426512,1,1,1,0.0368860829134282,0.873705810253195,0.908441959537258,0.988840735895671
"Gene32",1,1,0.994647665342725,0.952656212709173,1,0.976275951114903,0.932309316591405,1,0.241076799560324,0.632000153589133,0.973398698282152,0.609198753587225
"Gene33",0.881655187594697,1,0.892180480030051,0.960390956954554,0.983118092261074,0.853257913337122,0.946282622330555,0.781680049015796,0.816368493887633,0.990134709018278,0.807630327145269,1
"Gene34",0.955910948313511,0.861897373540934,0.706294316139052,0.972451272513825,0.87427091762585,0.573876955664403,0.392088024057931,0.575557776756639,0.909042551980203,0.789778524769608,0.669394948410304,0.954631029655838
"Gene35",0.522706791041632,0.942593073830077,1,0.910388085660232,0.955544654922593,0.987235720065954,0.978398627674113,0.74592600768646,0.108736217717691,0.990428357461322,1,1
"Gene36",0.921779131018505,0.601801817454754,1,1,0.998149869243638,0.758228028730538,0.790186131161767,0.997563549406253,0.952119528682263,0.989849050181413,1,0.990654166457613
"Gene37",0.548621541827803,0.689689559349846,0.93012773952192,0.991695702129037,1,1,0.799578636359616,0.880097980128102,0.83417243387444,0.680021434111337,1,0.938531730904948
"Gene38",0.995303872188867,1,0.989899970121558,0.963844973341587,0.884143965249649,0.963095356831764,0.870168716046975,0.572274598510784,0.944102707501442,1,0.903934132824213,1
"Gene39",0.667999875081163,0.558462531379766,0.990654166457613,0.827004751562869,1,0.925094447313634,1,0.80377672567072,1,0.800089673582724,0.978315793256016,0.991248697362544
"Gene40",0.776284480730968,0.820103567993565,1,0.752269436556175,0.808512146555164,0.955453800803653,0.997756008954176,0.999523949137455,0.958710122440886,0.911466521764939,1,0.862928868888911
"Gene41",0.783371762807221,0.839775846956336,0.783604167766716,0.697765339911869,0.915031327545388,0.85641266298247,1,1,0.902428449721796,0.839832944191052,0.971776893614976,0.909622941003129
"Gene42",0.924651068618193,1,0.68397637423222,1,0.63346631420143,0.998520172062874,1,0.939851737016523,0.993137450356701,0.765344388318992,0.993462773504117,0.952938806221819
"Gene43",0.940718381560146,1,1,0.994183584027138,0.971474821649511,0.727719339402669,0.809499656090153,0.963924063252991,0.971045246579031,0.867398863105296,1,1
"Gene44",1,1,0.972694755624486,1,0.956969434376532,1,1,0.882924746439071,1,0.848452796010282,0.947624975332627,0.685985549927642
"Gene45",0.854890235774917,0.728978599594408,0.879145293336252,0.890563196036823,0.975099863997849,0.831601143296576,0.971427913399133,1,0.942149322685337,1,0.643713871757268,1
"Gene46",0.989899970121558,0.999321808009249,0.949149966075904,0.959817934837167,0.951972478044108,0.981605562944906,0.995321639426512,1,0.823611459791901,1,0.914435206428799,0.884112556498845
"Gene47",1,0.681004113923847,0.958449632378248,1,0.9597034476149,0.411358597582552,0.995907426439019,0.989899970121558,1,0.874558235009539,1,1
"Gene48",0.955584592917077,0.974515655581781,0.916045388335727,1,0.947624975332627,0.737055515160201,1,0.997837301306927,0.850867820596093,0.990113945876004,1,0.992463091902086
"Gene49",0.939747867075178,0.760120823281349,1,0.84512161523567,0.915939974704331,0.904424829510918,0.8803570386222,0.839307092648718,0.947834212913921,0.978564435111251,1,1
"Gene50",0.927238289277865,0.99915343953323,1,0.924450078775691,1,0.767444865203077,0.785956111972417,0.773400083117307,0.873161066765828,0.940718381560146,0.865542553604495,0.912754847070035
"Gene51",0.0647810020056246,1,0.460943556133038,0.664081074162088,0.839009797373344,0.9646003250288,0.716277378192421,0.997563549406253,1,1,0.946282622330555,0.848255296337577
"Gene52",1,0.989482095414397,0.9188974903154,0.958725737178458,0.994537573964265,0.858491474503898,1,0.973121980377501,0.949994320957631,0.892584614742057,1,1
"Gene53",0.184093801834827,0.893566911472903,0.942593073830077,0.975463520044881,0.982394207869367,0.998149869243638,0.637622220475911,1,0.986459847365257,0.984432525298888,0.988727286708593,0.820103567993565
"Gene54",0.661794646862401,0.921217972512209,0.98215334681629,0.955544654922593,1,1,0.99665553754649,0.957660879628394,1,0.791359020991725,0.693307934210285,0.903921185019834
"Gene55",0.954023405912772,0.334835369644047,1,1,0.688553811795692,0.699216813117128,0.903719019693171,0.882873011256426,0.968546491407634,0.820949646918972,1,0.919005123265686
"Gene56",0.956742587979081,0.82636692848712,0.988456863988739,0.854558236256434,0.830468592343395,0.94497921671166,0.95640963120882,1,0.841000410783147,0.695795657944618,0.937399500936073,1
"Gene57",0.95447311968913,0.916045388335727,0.921901309961483,1,0.923634744795296,0.787602896709937,0.998149869243638,0.937860214983357,0.983619369206838,0.93528970133269,0.687861071404251,0.890625789357458
"Gene58",1,0.983796716059371,0.971008996107607,0.97544599541281,0.955607053686751,0.954696462047981,0.583620391313346,0.690652676152926,0.765173712902925,0.960474224264833,0.927226684289165,0.990176187595306
"Gene59",1,0.800959055832398,0.839790884126512,0.678390083697216,0.824486126252486,0.804772441355757,0.914740870359981,0.740917834162945,0.968731048229501,1,1,0.95611050160604
"Gene60",0.973686844273288,0.850775650648066,0.987456597418875,0.999721152989953,0.708539731030349,0.673159703940308,0.982425958165744,1,1,0.967420254552069,1,1
"Gene61",0.968174408349898,0.735310800236967,0.98292774552857,0.985861884380649,0.862177628018903,0.904631865215613,1,0.94078207920868,1,0.965131158726279,0.568301713805153,0.790179643347633
