"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.0174871622076527,0.142993626743522,0.307826013689762,0.845815354204449,0.166105895782808,0.113323044950804,0.0336912981964078,0.412780141470168,0.69157320941074,0.613907582883235,0.232487096468211,0.322400282832653
"Gene2",0.78437836061734,0.206738914870875,0.469633352326442,0.080918151587251,0.977848651362683,0.1741417183567,0.749826902133863,0.749888194573793,0.400776646578591,0.196335508682447,0.270326103004666,0.10841072439528
"Gene3",0.0432439061866272,0.0557512178048805,0.205843277755285,0.839460552256122,0.155229580537678,0.819052157033097,0.0156648840826752,0.0150183806950318,0.95099471862356,0.462039989732929,0.413102417979646,0.0785497223503324
"Gene4",0.490774146676483,0.102355533048392,0.00428913565337397,0.772131186850923,0.962676804192903,0.0268998788516097,0.200679555328249,0.280767654549915,0.792257331360643,0.980268237176981,0.553946552728759,0.75731290187717
"Gene5",0.365250079442017,0.497298935970778,0.085637303069782,0.178000526697809,0.13383574113549,0.885535124411586,0.730049258691661,0.0884696142350274,0.665911162485997,0.402622199487871,0.735960762666259,0.122428065248988
"Gene6",0.198474435444268,0.182103798893412,0.674552184278551,0.659222745882379,0.882012948788234,0.631188971082716,0.341089091808702,0.373699727024945,0.562412498964715,0.986730652590633,0.326893219698277,0.95632435072995
"Gene7",0.214861441500718,0.281528076693074,0.278978793291526,0.88363327678569,0.924017491323058,0.838709300910509,0.910724050558492,0.851435224024264,0.342906415250762,0.151644810686156,0.96484943052685,0.954959590202855
"Gene8",0.142286425745058,0.145171315545067,0.498841147563326,0.511595571400499,0.732758653675577,0.452170662907546,0.0301852107566951,0.656161562243185,0.345153129969577,0.500467395667548,0.0220852776340472,0.871783224166433
"Gene9",0.0215182844409707,0.388751377726874,0.808193021356077,0.920303319051228,0.968213661943798,0.751132638109869,0.818142840278706,0.382535025049793,0.549886184741729,0.629538194280081,0.872886073215533,0.869556639493224
"Gene10",0.810426271491706,0.940459579544531,0.789363322399494,0.327947127629666,0.0398615397874809,0.490901056395872,0.451104672014438,0.126447384678885,0.27139997014329,0.751635333368805,0.675723552654008,0.409107797196048
"Gene11",0.2242583442337,0.583890181205122,0.169691900751096,0.277216430419177,0.27448475278826,0.15880079178729,0.203516297108957,0.759266394230912,0.302768274908984,0.171367259514728,0.669268675151318,0.226656596479559
"Gene12",0.678136852292584,0.955270639061389,0.198670318102705,0.595901290020116,0.563560167403214,0.743588322587512,0.824049204548972,0.334517029857959,0.939670288681466,0.401261506644378,0.371123506751171,0.586130349513481
"Gene13",0.625206709638126,0.0931971172591972,0.297815637780016,0.93485039383765,0.272907495223846,0.182740988436546,0.320578943270221,0.961880886708191,0.384538449898099,0.633113782405885,0.0556189233139391,0.0641372001619337
"Gene14",0.755369541152119,0.140847772006442,0.358910462825108,0.221082019757576,0.70153212223465,0.998458973919444,0.167858717584698,0.518122359724295,0.90205188835826,0.773119407556469,0.993310922369519,0.680045335567279
"Gene15",0.361638821379754,0.335865220099896,0.0457577813377437,0.75998963803681,0.801763989603722,0.799112570374196,0.74480477000722,0.807936730693979,0.13219207536599,0.833471735235695,0.377405950148145,0.137143722006588
"Gene16",0.00390760416615299,0.0211238580791948,0.107521418031481,0.808611667194479,0.755285304527074,0.35661088241643,0.0520730909602058,0.536150328130338,0.88207372516699,0.741065236787605,0.327116865424336,0.412373534720933
"Gene17",0.221495534801824,0.394528720935852,0.694442359718747,0.291158904402242,0.187657388014935,0.0702647802745983,0.790967016443696,0.497189880164435,0.675951520140589,0.235018567740393,0.394935178316928,0.146960850540946
"Gene18",0.300814529625095,0.482934295988116,0.815339033754567,0.982982186430511,0.827165815354593,0.152466806645025,0.868733670186035,0.605132477598661,0.567830460233412,0.714284799475064,0.763312093564096,0.742952645396968
"Gene19",0.815639184601511,0.756193138770577,0.320459214235673,0.106570912009908,0.144667443815223,0.136917575785823,0.840411333339592,0.172839795616971,0.818063371192259,0.0752843131113339,0.0716140439675146,0.477781233339835
"Gene20",0.82469478647026,0.966801855515958,0.370775794115228,0.194627657639529,0.0834363245138199,0.569174466437439,0.395348639537188,0.180893431570974,0.650781317934758,0.722202405686984,0.467777510308967,0.636734393325772
"Gene21",0.593729162616505,0.867694674493923,0.813557749348367,0.419863717475992,0.661799855647735,0.347654692959256,0.452310969309139,0.818524803663637,0.468981572480978,0.577661160161962,0.541687252727848,0.974956970870068
"Gene22",0.112336348312482,0.890812423941677,0.82845669714673,0.0078804865340576,0.639426942781154,0.0813309470265597,0.0464567750403826,0.105017636156126,0.915873938571511,0.0234310752189869,0.923664742957515,0.466734966339817
"Gene23",0.955692558282168,0.0896149469838445,0.845664175215498,0.953994960331008,0.50427943129697,0.534892773193185,0.519744256381523,0.694318510389394,0.494166255893675,0.70566260965554,0.866903443619402,0.211223170288477
"Gene24",0.376454524335623,0.00602011742989339,0.130274032447237,0.0235753310542872,0.435938675016641,0.0995372944501443,0.788179280017953,0.269352522848228,0.256911953832882,0.281907448141016,0.0633018237698115,0.055310836099367
"Gene25",0.38509696782795,0.58364066450753,0.354801189703104,0.805840500187648,0.76455919983423,0.569591900683694,0.010435412980589,0.0446494705759555,0.247679190252651,0.488707118103898,0.662337102347505,0.12749867200734
"Gene26",0.870697319924824,0.454218135226476,0.692648099071572,0.383115016899197,0.983692358844007,0.221000392571703,0.245440927939414,0.14271667627169,0.815286938722152,0.947067325084331,0.633469373975381,0.666710497788024
"Gene27",0.659768125378996,0.108251535052044,0.0215978358241133,0.727483119620185,0.941791834887493,0.707810538898874,0.0149557076668448,0.157551972831787,0.44452623917088,0.817493422115216,0.134874133615537,0.782956706162124
"Gene28",0.237377842475456,0.523041369529241,0.855040366486615,0.889972974177732,0.237768551143647,0.751812248025586,0.704207132875075,0.366056152502352,0.0885407058490497,0.0514380559035313,0.721726564915992,0.418317323645562
"Gene29",0.650800196540105,0.152960060584023,0.463969976068152,0.831884046639993,0.555921278818438,0.252540661136436,0.207544305048042,0.858964574728631,0.327764334496003,0.309421683017374,0.394659762877051,0.674978148189248
"Gene30",0.877134598814245,0.91918554742607,0.377210081508583,0.176834706479053,0.0860716750467383,0.502693863589748,0.805818353503617,0.649891697147583,0.781726006910433,0.00226076328304337,0.407174993672151,0.526782527665652
"Gene31",0.0199792696936818,0.295258760993259,0.72089020983681,0.448914156071737,0.415970402136452,0.0743984903334121,0.136317009428958,0.974918310603833,0.886502950735484,0.930610295401204,0.0241781556409306,0.0843316682525771
"Gene32",0.00844893710947137,0.0173346160342649,0.0882959665269187,0.304054373567785,0.335686271944855,0.718588224684073,0.233564307442808,0.405965998985109,0.0298654601929882,0.996156015002938,0.572496196272562,0.674550509645941
"Gene33",0.109586116496471,0.497597028419425,0.599796226407923,0.50411079510282,0.00803946343665751,0.0443733873014314,0.572723897572378,0.439522374438519,0.365019050678542,0.783144512360033,0.706238243880292,0.82482728145865
"Gene34",0.856321882119768,0.735318874400783,0.844970935477312,0.681957163803696,0.0592226540756267,0.90598858458702,0.531534451765951,0.0682860876979052,0.26217898742116,0.620810893426838,0.620848088358215,0.649312197695063
"Gene35",0.202508732612459,0.870196339689095,0.947003350181818,0.0453951523263028,0.0193110607255795,0.79558136575372,0.38630391512351,0.161828043997353,0.117030157929159,0.452572034795788,0.250592536458963,0.596898300609918
"Gene36",0.292875639573831,0.360037001553795,0.587546466912067,0.806387582571419,0.702581684340881,0.613927576628406,0.696212444663868,0.105784493101859,0.141259273793195,0.408655041672124,0.631173508418444,0.585793246946119
"Gene37",0.229144391410862,0.260569651030794,0.135363884809922,0.779060115690924,0.00240723916851193,0.330542933482169,0.12419223316159,0.00824460366252078,0.213689454143314,0.658434676500233,0.225237179750721,0.282931132112645
"Gene38",0.574773863348215,0.999798337889877,0.167729744020594,0.29484454204062,0.631657790021703,0.463069183788996,0.308628922234857,0.907334032466071,0.0988817428537059,0.582424008034858,0.0845866755412948,0.49108869734124
"Gene39",0.664802265361735,0.141240270149192,0.837124738449414,0.810678664544447,0.559858305520269,0.0498525460541417,0.451930162494774,0.717293905184182,0.537867810622517,0.16289497098282,0.146861665423052,0.436653763045443
"Gene40",0.105648252643313,0.48782599447929,0.906272962637124,0.945608131152148,0.93755101893469,0.0752994434386731,0.112520658094702,0.0452910591963946,0.119984645738383,0.527283235311565,0.886761345092025,0.915006130159738
"Gene41",0.218526906288824,0.303080137632063,0.79656775655427,0.8367442462243,0.483222388396307,0.429226323374259,0.340464765128738,0.222606545825575,0.129208245495615,0.683101820446648,0.0528096866447538,0.394433595542405
"Gene42",0.297275256418394,0.597580173719371,0.35804992746467,0.0814884671384746,0.618640025308408,0.00315842117236187,0.855175544924207,0.974032007757172,0.628336169058009,0.994926918724875,0.44109538497589,0.381243923645619
"Gene43",0.205291549887324,0.164291044541569,0.233691346531146,0.0414138988412621,0.883783205546912,0.875883415974718,0.550829287020243,0.53294662884838,0.781564194346403,0.954920328181068,0.418335915835534,0.648630245721445
"Gene44",0.0126905503347807,0.394916850588709,0.0240515206053807,0.283142334418664,0.757100386404828,0.830002994375475,0.0513514117865246,0.780254004075148,0.89686701936788,0.436335388152812,0.981900071997165,0.918269553879898
"Gene45",0.218657680675852,0.106228682983111,0.982944508317776,0.297542589290347,0.066340814928135,0.120387151482031,0.83646836895271,0.71045808462053,0.978245874809395,0.00533881030926187,0.0235198628509176,0.575749509305858
"Gene46",0.129331156373407,0.180587975443931,0.18178927419438,0.0705788984045131,0.736508349198921,0.172968309044489,0.52127423191354,0.132501870434543,0.435688478764599,0.535924598683857,0.155439856521054,0.0535843213656352
