"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Gene1",0.387079840767443,0.754184175175902,0.872445390452958,0.999772395355074,0.776726333571646,0.718680676708877,0.508322167442646,0.918445764600241,0.986330648265475,0.972744600619671,0.82743755291944,0.878634396148222
"Gene2",0.997115229958184,0.810317147390418,0.93815655273215,0.661726740525427,0.999772395355074,0.784399297495617,0.993450109590844,0.993459050912571,0.912509100229452,0.801914943563432,0.851644325559461,0.708906294071044
"Gene3",0.549709703544983,0.593835091122462,0.809541335279009,0.999772395355074,0.76635562408465,0.999772395355074,0.367864205463997,0.359291404187364,0.999772395355074,0.9357745048574,0.918568793171502,0.657411541500899
"Gene4",0.943788032883022,0.700964665572097,0.172312111953423,0.995843046978259,0.999772395355074,0.466135084793237,0.805587113691605,0.858384221310726,0.997403784389567,0.999772395355074,0.959129548073677,0.994320964879085
"Gene5",0.898237010032965,0.94534051355122,0.671314108203151,0.78822659331691,0.744105123442314,0.999772395355074,0.991320016167864,0.677063374247659,0.98232787122251,0.913866333704086,0.991885706560096,0.731792107077991
"Gene6",0.804029595728114,0.791668819843448,0.983544712033985,0.981182189029701,0.999772395355074,0.975487166498287,0.886598167851757,0.901017760327301,0.961608057046704,0.999872896158204,0.880756544572073,0.999772395355074
"Gene7",0.815832565845282,0.85886534020558,0.857191033145802,0.999772395355074,0.999772395355074,0.999772395355074,0.999772395355074,0.999772395355074,0.887943212214089,0.762449293264288,0.999772395355074,0.999772395355074
"Gene8",0.753535949927487,0.756428912957361,0.945681478037612,0.949656105065431,0.991651442819415,0.932373099645824,0.486315403047472,0.980394254507879,0.888442643974232,0.946145852311397,0.429512790633649,0.999772395355074
"Gene9",0.425375184107014,0.90695554333978,0.998923266150643,0.999772395355074,0.999772395355074,0.993518030962934,0.999772395355074,0.904955971640965,0.958487567726521,0.974888052456429,0.999772395355074,0.999772395355074
"Gene10",0.999107559957977,0.999772395355074,0.997216667833126,0.881065134902608,0.537092106711769,0.943788032883022,0.932231094961091,0.736796669582982,0.852586675320176,0.993518030962934,0.983918126944033,0.916977529497862
"Gene11",0.822287447918966,0.966315053094187,0.780613998267201,0.855939578311874,0.854302467662778,0.770285582055653,0.808307045236294,0.994544515957909,0.87031181297892,0.781873198730412,0.982890853459703,0.823824327609106
"Gene12",0.984211112883396,0.999772395355074,0.804144806253331,0.968970657836248,0.961733240262806,0.992607061641127,0.999772395355074,0.884027469531081,0.999772395355074,0.912742188705899,0.90056137959649,0.966821060635541
"Gene13",0.974386082010664,0.685356910841014,0.868251228021717,0.999772395355074,0.853077293419651,0.792117579334134,0.878050396678636,0.999772395355074,0.905941995927351,0.975989081794284,0.593065681704332,0.622549271355928
"Gene14",0.99384099441176,0.752157564895776,0.895547991446524,0.819979741924384,0.987922672223229,1,0.778738864959859,0.950985262224367,0.999772395355074,0.995846546133225,1,0.984354168175795
"Gene15",0.896551081843865,0.884545132666168,0.558787138026555,0.994674741280346,0.998476094113227,0.998156891254151,0.992773247099609,0.998923266150643,0.742159248247432,0.999772395355074,0.902979190446761,0.747229476374408
"Gene16",0.16113831613002,0.421836015633223,0.708411490210224,0.998951199287125,0.99382953950985,0.894259274262059,0.57998616254174,0.954803418728045,0.999772395355074,0.992409836473099,0.8807791422394,0.918298057229689
"Gene17",0.820121589078214,0.909475876926007,0.986631224080261,0.864829398663971,0.796254961344797,0.639909206444206,0.997216667833126,0.94534051355122,0.983918126944033,0.829144031704249,0.909642515418015,0.758378050420019
"Gene18",0.86976963674397,0.941957989306408,0.999550976124087,0.999838481123577,0.999772395355074,0.763400136580156,0.999772395355074,0.970743990646325,0.96318593268753,0.989686476910513,0.994908718250355,0.992477431441752
"Gene19",0.999558303161503,0.993992670167764,0.878050396678636,0.707231742135428,0.755936107385773,0.747162760086346,0.999772395355074,0.783176596215186,0.999772395355074,0.649693213448431,0.642995186495668,0.94054975606595
