"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.289890165425997,0.548294468083228,0.66745353126863,0.274097042418426,0.376913612031783,0.135158072320231,0.905675334626857,0.607542647075814,0.803427774231785,0.149867600283412,0.412846052851835,0.026736310458546
"Gene2",0.293175010113907,0.23304599438544,0.740171611247208,0.254331382971641,0.819953793195227,0.630372457918724,0.447218467286415,0.831991651688685,0.30966418199037,0.947142376744567,0.500895038549313,0.812304441060166
"Gene3",0.701390338696304,0.631387821097698,0.0979561589984132,0.754546682113606,0.285872949274438,0.0178762393359293,0.135986268545535,0.966494955334889,0.227592248534973,0.756477215295273,0.552030357873286,0.250268457719219
"Gene4",0.888556178264264,0.390708164978746,0.796249363913173,0.827283908972798,0.243054927129832,0.255019279618297,0.15936781586848,0.331924873642151,0.067790467169947,0.275582504398854,0.572245590863827,0.517804941470504
"Gene5",0.0909425099190257,0.323079147976256,0.329223652465798,0.141734528420876,0.125253935410592,0.343236520826825,0.0495135125722798,0.139363358787931,0.534336938193944,0.388773810922887,0.149443515135955,0.203296684798466
"Gene6",0.109986583000862,0.366776789105841,0.281569746460506,0.858317239476669,0.932933713327114,0.750350752268864,0.74163894842838,0.229295893740738,0.115575180033949,0.893826487442171,0.318350171004679,0.191408325074173
"Gene7",0.901175039907719,0.337326586886335,0.11384980429415,0.202690398046932,0.572511927639448,0.0339344509807039,0.445938942473562,0.679500368873196,0.802968690028845,0.795426008985468,0.801455725843027,0.936816795807367
"Gene8",0.306417516377034,0.059428315990731,0.563958807446056,0.841505731062135,0.0770105196737918,0.559634990707061,0.533113896944275,0.33714463202869,0.485189607846112,0.0550684343555147,0.181668892591308,0.369983275775193
"Gene9",0.0931210028619104,0.191370584353923,0.262135890705356,0.730091024830098,0.767428380688056,0.56797416798473,0.686668840027368,0.135393416144725,0.473639070456985,0.896580284912527,0.0578538888180233,0.114376246010667
"Gene10",0.424020691083872,0.171518658902137,0.872427065853234,0.18273515836574,0.530806826261687,0.381227549058633,0.952975674292,0.761517644473083,0.264140391538744,0.59623069737569,0.0751879519806328,0.972436739807657
"Gene11",0.46461512962023,0.0962803700246662,0.779093489233814,0.536519973969141,0.636653573773635,0.991922866932552,0.311852492543572,0.129307086173284,0.556313235466886,0.336406455303214,0.929953084805876,0.598915321675154
"Gene12",0.91457462762212,0.515697548744074,0.228149795212056,0.539348544733341,0.967037872150925,0.185036720486361,0.931158435937435,0.365497388865974,0.903566478920336,0.272566895047282,0.214026567270884,0.169920808863738
"Gene13",0.202538892837459,0.827041801231058,0.0809486104010845,0.320675286751928,0.233665705135267,0.0574063411355129,0.302394007438531,0.111944716044102,0.398941026644226,0.499280463480228,0.0555416667814697,0.0419481170154262
"Gene14",0.0915507876940218,0.925222463689775,0.435108280705496,0.903739309926275,0.904464680533743,0.624123118771007,0.712051859142322,0.459945041483703,0.167012109802001,0.44505609492698,0.42971267432206,0.128072616766856
"Gene15",0.984785923868379,0.14572712073627,0.3020975831505,0.89556026581104,0.35438856521022,0.100738645025584,0.195518166303687,0.603947449215933,0.585557519615338,0.608067844642129,0.361755143082841,0.371703781476015
"Gene16",0.00589954711142316,0.77480063486901,0.400804660774678,0.204207603885314,0.0261303718708295,0.240655080890808,0.37930515922611,0.23574970307377,0.614299703606508,0.00838881679490388,0.002108454334556,0.32777188809815
"Gene17",0.109381341456609,0.941424763120914,0.589391012668296,0.52466350670523,0.537776905305517,0.506509941117215,0.296865438285878,0.28685910053563,0.320104727088071,0.508751512221762,0.266523737334114,0.790748997970147
"Gene18",0.83093178714512,0.0648276705350458,0.985339850724619,0.249975391156335,0.278176481707177,0.789448169322709,0.18771235374058,0.026973058522377,0.720249347522316,0.601892394544046,0.855155907545754,0.523818434747422
"Gene19",0.973932372535646,0.195011291300872,0.97839753423718,0.646491873781132,0.00372701992611665,0.234602486287909,0.26423329952342,0.883209598027711,0.627635733458912,0.834968149465308,0.689394858936395,0.719471227318289
"Gene20",0.173400833006386,0.499879583784126,0.179540826372439,0.110633593706173,0.894154901746626,0.810849709033308,0.731964182432426,0.490153285934645,0.878102819968339,0.800781430428782,0.193782192393564,0.622304497422131
"Gene21",0.672448438454601,0.310225652657375,0.0270918865266294,0.164371219735336,0.213791387778478,0.894293002408242,0.569518411708806,0.814764102032478,0.371725787165666,0.816341250971419,0.277442310966235,0.379263279018653
"Gene22",0.370608373789307,0.375443249533637,0.637674137572186,0.77915336453761,0.198093912942325,0.694556257210598,0.108791361274219,0.828638019877257,0.313804248928718,0.635016487907643,0.49673843877084,0.164821813622451
"Gene23",0.815292635369292,0.17030463679759,0.186083372212145,0.572027488530072,0.540840347126199,0.800069480439023,0.413484470435101,0.550848886378723,0.626104179908776,0.260014575398323,0.0316172729363098,0.640298824498849
"Gene24",0.952892038546174,0.957161033219914,0.161135688183287,0.0420610425643508,0.0555331552874313,0.0488109673727921,0.0615527645567309,0.58976745212782,0.177114820856492,0.183021612504164,0.531919383172745,0.935059193782454
