"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.623913372749818,0.0610014789586663,0.0967439349357277,0.502635578701548,0.0410495766272672,0.397668886696605,0.150789541872427,0.634547749646376,0.946927022032148,0.497407018415362,0.149763114869755,0.541803689738299
"Gene2",0.0357296091125436,0.316174930090868,0.9891549258698,0.436180411210676,0.166348393759146,0.127194893309702,0.955308202535315,0.664467632376808,0.479750453097525,0.123813121064345,0.103854781973705,0.455549889486911
"Gene3",0.320877193676268,0.82726701707134,0.645798377665704,0.878815754267477,0.470981622835469,0.999803936108586,0.262574766696751,0.357869881329276,0.896125679274254,0.191888996350562,0.7839710712858,0.905708950852632
"Gene4",0.03652826019719,0.746974685205106,0.567747560136827,0.200747491815946,0.220936970437544,0.794450362884833,0.639192348856181,0.398251256040922,0.617423272521705,0.80637029483958,0.610943558953973,0.207909760164638
"Gene5",0.536623221571134,0.159596524781862,0.533225812864663,0.436844975791737,0.342820584761572,0.973463392981276,0.54678344439938,0.797644318916825,0.695731274356595,0.891122123088672,0.439325706195205,0.687461649602288
"Gene6",0.324137800807058,0.173858055550727,0.708967185692254,0.539966161132211,0.863797188342249,0.481142286162664,0.967817978718008,0.467443995940566,0.815212849779912,0.914134553141988,0.315441657840008,0.448759108749812
"Gene7",0.61395139299413,0.827043695195511,0.821914789207084,0.36584885926987,0.0352000283697534,0.0125207829910119,0.803807439515197,0.525314470817637,0.73116312274106,0.304052807818082,0.723799615146371,0.13122271391299
"Gene8",0.484697419407849,0.0506398292520232,0.760354689990624,0.266418485085099,0.503745902037151,0.263693881567414,0.182055107053261,0.044559253607903,0.564648067119415,0.563320398413597,0.623377996594508,0.276955150595004
"Gene9",0.888509809154856,0.967070613395203,0.934580330973335,0.868243928873005,0.63387881980233,0.138242164319227,0.772232833754273,0.33078308749984,0.477042082403425,0.458923647742915,0.551372389861909,0.532806325802623
"Gene10",0.660309248535034,0.0537473338024907,0.544477081496158,0.825900988170129,0.741777056029068,0.270171784985785,0.632107600663365,0.620846164053625,0.872836716361991,0.960263285628258,0.881907589291873,0.451709458567992
"Gene11",0.606634934652007,0.267580776811143,0.375088460275782,0.665005542499296,0.651551162022906,0.470903005093654,0.0293417485070175,0.847513110481462,0.813941578699255,0.607486624370379,0.341692585710985,0.455942807319396
"Gene12",0.504497564206289,0.792165507262546,0.0161356076295289,0.159960412237818,0.0504242652282733,0.829291638831921,0.823149483327786,0.849157011436852,0.843489887737836,0.150299746472994,0.585439344862477,0.798019242422042
"Gene13",0.776655191377933,0.601738686455171,0.921356123177538,0.522365020361182,0.711456153782976,0.323980424757976,0.946516408177584,0.73497318742248,0.955967813847848,0.439039481591315,0.409381857127049,0.619501607603565
"Gene14",0.775175874094681,0.91895283161018,0.22696618083097,0.212579108475248,0.445787579124725,0.729248481230415,0.809366564814902,0.856800878372493,0.612903733930825,0.66717724506403,0.591616384202054,0.14477162091357
"Gene15",0.934065287968114,0.0853100172707587,0.236946601480197,0.345457132189483,0.0807452339862913,0.760121281736418,0.292420716183998,0.193542997696475,0.0530393138103891,0.694556618637322,0.0773268915819384,0.428354977174616
"Gene16",0.519043506414641,0.853727687758657,0.915567241142822,0.762093368202578,0.689185783115582,0.503216088535233,0.923016856420217,0.262306534195647,0.872380277463902,0.228389751617776,0.884738175011483,0.0425126354611633
"Gene17",0.0636533383934551,0.438169604460641,0.99028922701105,0.71897366095544,0.831201569201,0.752501930061947,0.311437684073504,0.181646976756608,0.613828495733279,0.460356361539377,0.171352376059227,0.362584325252587
"Gene18",0.806986539784764,0.330385368736234,0.658088663436527,0.379213422533235,0.189480018715536,0.203648721138715,0.530318502210663,0.350427883066698,0.192345931712208,0.504008505670103,0.0788844045301708,0.164223688938129
