"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.153125486730849,0.0358395016326733,0.857843000124092,0.718486390511983,0.785213851218506,0.580696956732826,0.396517916279202,0.434178495955714,0.128616998235116,0.970810405894903,0.953757381990223,0.257624252350027
"Gene2",0.123487315786308,0.40108283952856,0.896057242968253,0.222150219132111,0.23841579066724,0.97267922259356,0.176035561474305,0.760295276480166,0.0963380958384521,0.804926986757862,0.837097597533154,0.0227551465132061
"Gene3",0.0222496232218147,0.573699256009688,0.398575813751726,0.417710223857824,0.284501733503508,0.313434638280865,0.514861646824678,0.160783047364045,0.0395500332270486,0.718562315775269,0.471085480420725,0.3172177219648
"Gene4",0.21905517120765,0.851940749411652,0.00953434481860199,0.631767523140256,0.958984467655762,0.260258168121035,0.808696709878182,0.693437609818557,0.314324447051749,0.394356917854275,0.16878109544558,0.239681704192602
"Gene5",0.79822528683739,0.649533585129142,0.739068999827012,0.568811872826304,0.523953591683369,0.46492156183602,0.880330409847722,0.0187638497921441,0.488361860438495,0.132011345737409,0.655322322272357,0.0347136941691672
"Gene6",0.876732079445381,0.992819025002604,0.7001539120761,0.406120436776772,0.715906850353082,0.058817452364176,0.400170767711196,0.194610897985735,0.169152034742793,0.38599842485245,0.213604639407829,0.413524839348783
"Gene7",0.114808399825578,0.149290082896972,0.876914226985121,0.951177017092612,0.709454349815961,0.702748268817183,0.0950654206724155,0.941543345490222,0.981624318049635,0.909383304483414,0.0552515629980141,0.798433688492536
"Gene8",0.276341366070518,0.26452991046227,0.907891191939107,0.101863917218437,0.388371484697842,0.165370369979265,0.892865020638842,0.45655972924449,0.370291349674009,0.293501077730011,0.878837173113184,0.67508243223528
"Gene9",0.208809433632283,0.0917044326687998,0.367549112729282,0.529928568075702,0.422895411923461,0.882445671005877,0.908219466326558,0.8777402300921,0.593451968377982,0.0963616232262044,0.179604440914,0.279783471971631
"Gene10",0.475440927453571,0.962827344015345,0.792375777043209,0.170085184350809,0.351285761800365,0.625936993642243,0.457542137010776,0.830057702781156,0.9312717580289,0.350198583665479,0.688287174699128,0.243662089890366
"Gene11",0.971389587737897,0.833656088558905,0.599056846985661,0.357231999644498,0.474106765358728,0.104567534892921,0.541772080474739,0.651213644143785,0.905900037566907,0.818683808000339,0.657597958458479,0.618442924620942
