"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.987308662949885,0.579700002137494,0.193447278990911,0.300574570492324,0.821819297265188,0.521027203582793,0.0288642267460064,0.945263725945473,0.28874573062748,0.370961382333847,0.627729873414883,0.64676052484545
"Gene2",0.877098551346947,0.551197299883768,0.0819453994129991,0.00482108872448889,0.596445481766454,0.510972688267255,0.295552036361315,0.898080898308992,0.446270517387642,0.913999906721847,0.602920851839255,0.733456352137656
"Gene3",0.374443907383588,0.498142119385295,0.44602375223356,0.138296036007985,0.965029401254463,0.88415923449463,0.513431734146081,0.0774639139258313,0.0709263525466343,0.238104940685275,0.183439117161794,0.319158414448793
"Gene4",0.250044360279804,0.527455458945084,0.00549901359563214,0.626906228999693,0.487861784887386,0.833472714892311,0.736107751375329,0.0737281257380915,0.033082607119652,0.125742868581088,0.421256356526916,0.441635057473737
"Gene5",0.568618691689987,0.153982527833388,0.477465960671553,0.955467250647245,0.953090287079568,0.0883495732571636,0.337414083128564,0.222538716983565,0.926941731949737,0.711123479812514,0.117200186134887,0.272490866397242
"Gene6",0.341056102009112,0.56440133101545,0.320969308959976,0.933091617562846,0.684756379643706,0.781062074924549,0.808670371501097,0.885835800996714,0.846267322369778,0.666499354499944,0.155195269285308,0.0647494384889957
"Gene7",0.0671156269651434,0.975783188409526,0.224556401582796,0.705043349118235,0.024633004359197,0.143050846002802,0.273191129437262,0.735933394814939,0.366474444399714,0.483031501186917,0.683382448161957,0.0385204908022536
"Gene8",0.25907958482214,0.218475605436307,0.110295357286747,0.651937153142881,0.158463134954022,0.0400818864232661,0.343564588068329,0.785513960118943,0.794336837457855,0.0503553297436585,0.61217045098884,0.183627604061924
"Gene9",0.293114965532931,0.260829853087191,0.637735692137746,0.96368082149038,0.524372121467705,0.881169601288179,0.617054317589477,0.893145909808696,0.371708052554573,0.0871921649383066,0.404544839187037,0.20963691899872
"Gene10",0.143351147722899,0.568223329087236,0.509522402106862,0.370748806537389,0.398539902094026,0.970445608734709,0.0121732197058854,0.238132677113728,0.0690678982730152,0.98143041014826,0.0880069429115674,0.623217494337994
"Gene11",0.663653350680263,0.28143894899498,0.0351491489571141,0.731772186164615,0.543733283576821,0.709623314856935,0.0113041347982058,0.768383361791896,0.0968869008433754,0.163999188270959,0.56302556075275,0.677261375487552
"Gene12",0.739949746956766,0.77990911609772,0.852013298926098,0.532943516859712,0.817163401507882,0.187618874109893,0.194356926864552,0.106846847223238,0.897958463860967,0.369976093342723,0.889695411590231,0.906172634795465
"Gene13",0.56834843063222,0.70202466193938,0.978040071580927,0.712278745533118,0.924714262059984,0.811725654678176,0.0875846754815624,0.866786355587819,0.328647248980416,0.638387140375013,0.201908368117069,0.518908764148631
"Gene14",0.195714476205772,0.1484261876416,0.923221779022038,0.396877383616818,0.829614026861925,0.19169067894351,0.333730159061342,0.237957153228439,0.507458633941358,0.814085517385797,0.611915805189039,0.905330705545024
"Gene15",0.847138667944917,0.147399483099728,0.976165088504188,0.236210576892287,0.532436036257321,0.819832543181542,0.129468951940172,0.837561955961085,0.46898371130372,0.775199968749332,0.350076363407268,0.940804020273275
"Gene16",0.722284581574085,0.0368019506947082,0.334440255830195,0.511204883377954,0.0387518583041856,0.0677510394495073,0.101380443387055,0.583639451656227,0.977432787539961,0.619378325449436,0.0187440005994774,0.941194973574788
"Gene17",0.659182700167777,0.862856098411589,0.113581060003189,0.883355120736097,0.638933846460186,0.80187965447123,0.770858989464538,0.729695087781482,0.168570296590617,0.194024159508371,0.878230673206389,0.0823246015342199
"Gene18",0.0591359181996344,0.00795149827033725,0.249184001639568,0.947274582686345,0.368149472709476,0.450165791128976,0.884399963460126,0.0863221918307957,0.826249506244751,0.166148820039518,0.14296404836423,0.54056860523589
"Gene19",0.32080751132779,0.357640495649042,0.92742623732493,0.74638658251368,0.74538856877173,0.804895283559542,0.964811315767589,0.142847132058652,0.0287685355017389,0.292008174207313,0.438221988159297,0.363098178586514
"Gene20",0.448983121918537,0.282251229998447,0.942846997681841,0.810741912102596,0.574268798197746,0.283429009768412,0.0252638078386576,0.00129661356469808,0.882904623335233,0.804763896693297,0.539146808922894,0.607937669063206
"Gene21",0.358393212757389,0.730943241715941,0.79721497092291,0.694167950047713,0.298970150215665,0.598865868129351,0.386693053133223,0.913377520613726,0.789697622535805,0.654692447119418,0.942469703802578,0.809353254204536
"Gene22",0.205931985147809,0.495717385320919,0.622176218241401,0.769615256833993,0.183753498234359,0.64853645157226,0.337403346981564,0.970624257793107,0.516303573306767,0.872474845623047,0.0576351913589573,0.314762393703843
"Gene23",0.865421067303288,0.3475784240791,0.204827701584484,0.235904306300544,0.101089601357498,0.193201570472831,0.368290129309914,0.542663219237559,0.358066551819575,0.0924710008060187,0.262283506838546,0.641548278753905
"Gene24",0.681477795389045,0.225443592505784,0.707096310401388,0.461362241423554,0.912249494547071,0.668787558639282,0.241594095366875,0.810613858735777,0.488865252890021,0.748558468962607,0.873385893045483,0.251746546127951
"Gene25",0.0384501840090637,0.0531388235458346,0.406290823070301,0.425905549630549,0.608519004616636,0.736275932265142,0.213565694715797,0.871997887894437,0.716575364072827,0.78215438870429,0.759115275956995,0.841707760003579
"Gene26",0.170701170515356,0.111309012434145,0.158491144459583,0.791692196630315,0.832308880037557,0.374051553966869,0.0985057309302509,0.684783674748883,0.529811533518822,0.860547886938876,0.846924222359471,0.321063463278377
"Gene27",0.556990617744147,0.743651206992573,0.868260063857619,0.992021648801156,0.873549722788472,0.414364833400938,0.799528530777482,0.47422520724921,0.101370548247187,0.602155491954391,0.969036342257994,0.128687653008448
"Gene28",0.292074234043165,0.0329883655403748,0.537954450331446,0.336217158814237,0.0476264394277058,0.169282934515165,0.978879806621137,0.776770967441839,0.32189172269516,0.703260418198014,0.312746096488965,0.0186631939137986
"Gene29",0.627179981764173,0.00726026484480078,0.223130605465781,0.968240638509038,0.326197478530657,0.119336160247469,0.709952274957352,0.527414864831171,0.780554590418744,0.95318987134883,0.543439447262718,0.231146793960116
"Gene30",0.200668004146141,0.267390004674268,0.958385452433893,0.170263712118671,0.268877610827403,0.74914959169276,0.797464012818185,0.527847032446911,0.863991675304288,0.0695310075419598,0.000955131605110251,0.187410291015858
"Gene31",0.838485507657198,0.00615358885410395,0.025067495270787,0.908446727673565,0.207509471318817,0.0147431096578227,0.742489266892398,0.913588779040996,0.791662237298699,0.818173322693184,0.705874618191286,0.27332911485268
"Gene32",0.576392628110941,0.71751033773282,0.694705478501797,0.849800724247206,0.936450431817227,0.630384451300181,0.472118336848696,0.311291586895211,0.39725370224208,0.773486399367505,0.532466683883902,0.369403205136173
"Gene33",0.814057699288968,0.967161008244258,0.604545166571534,0.654063858752345,0.706584206932074,0.37485029156202,0.11802780208664,0.263197352276349,0.625095173024981,0.812436735728685,0.2638962513083,0.58582012548
"Gene34",0.0315223994026263,0.657208774317277,0.410302784778482,0.0664795051573263,0.103460276236209,0.011727844040379,0.394772813035269,0.723859505686196,0.445470827630399,0.054453108350127,0.152171484126543,0.553403940733241
