"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.608628706139759,0.551651396364677,0.606944252039088,0.000896222352883561,0.653684687230567,0.906258075803921,0.579954654165937,0.61134801581528,0.777679751536283,0.528636822462706,0.879084630816353,0.881373751258282
"Gene2",0.0356179025699089,0.663968242866668,0.345143495915928,0.126219338574947,0.887213883688165,0.197622462061293,0.560767081712281,0.287551953160889,0.755170129622194,0.636339577816232,0.0917472612209488,0.429941429526836
"Gene3",0.483872858459826,0.826771073103261,0.430068113553863,0.894674628133428,0.891704700666239,0.691110736474054,0.343365490478909,0.0116654554111859,0.595336003479785,0.372604643882211,0.59337563029529,0.695777622056532
"Gene4",0.870034823134051,0.574516689546106,0.126012415758418,0.0218099325657399,0.998173126144394,0.128107951752019,0.717481680645535,0.573206104308523,0.727945667663054,0.839762420215376,0.61719211699752,0.795246973267882
"Gene5",0.898934058975167,0.691534305230869,0.0949707640789733,0.711597381157944,0.709639969543209,0.000645472581684747,0.684647458033129,0.826620536740743,0.901004740288597,0.298607762290931,0.686246018618417,0.010817972259996
"Gene6",0.499678792024893,0.773310735101142,0.01092764398192,0.491209973260398,0.462691808584707,0.42547558607225,0.100224221276163,0.785477788528646,0.318694205830825,0.370283224939817,0.647547566571976,0.765946277233716
"Gene7",0.0880009608240058,0.0695448367492616,0.576838240572625,0.202008753761497,0.996128434580129,0.362895509637655,0.891116059047604,0.606430634402113,0.440181487378187,0.528066117914032,0.241971289360318,0.413239217240776
"Gene8",0.302553963255749,0.115619110145703,0.741763829851659,0.962923095363923,0.594734846629071,0.770174178318203,0.231415996678701,0.720918657503004,0.136369919696821,0.200890038377367,0.384790113400547,0.809271433734495
"Gene9",0.24017823733692,0.473969900103805,0.549555979249807,0.639395962887972,0.317748006596968,0.121154318249533,0.556504570959508,0.429571018594614,0.366915563098001,0.0670749738523608,0.517878145668827,0.771787496092885
"Gene10",0.763849717908171,0.649173238006862,0.316600536391316,0.46207196845987,0.623554909714805,0.620411214164745,0.250884635550361,0.5442121828575,0.340819990479845,0.938456987053977,0.739709753700768,0.0500253048605182
"Gene11",0.974717033350085,0.498210612713377,0.127794258446615,0.534874720194908,0.198199427185666,0.364415800659705,0.411726144896997,0.766842544314929,0.309557378219964,0.874936322124784,0.96644363098219,0.106788649565678
"Gene12",0.77272257126418,0.544278738280499,0.265139946957057,0.67889415016899,0.943454282669653,0.0222073166428437,0.939920045160217,0.779265871458712,0.889079100240742,0.226565245041744,0.880987513136175,0.487363316886188
"Gene13",0.200107244506529,0.303705280808872,0.200834516332179,0.0528316693342318,0.317765764483391,0.928277033318195,0.385858581809431,0.348669847283871,0.015890409234231,0.630905280187063,0.638697116569726,0.812793747073923
"Gene14",0.760479975608993,0.62078927366381,0.0476971205286103,0.295371743117094,0.911527108306914,0.719569065970274,0.311222169856135,0.993901641410634,0.822790634883716,0.548555856259591,0.113959339351506,0.454861683293721
"Gene15",0.487023821887567,0.0209958361263284,0.900093909240121,0.0271006141575615,0.42938790419485,0.0707717645660303,0.887336325894162,0.939721680547318,0.838359014518752,0.470657852429681,0.959365761616803,0.0814006882762355
"Gene16",0.494635008494631,0.0658412987852807,0.959331427623521,0.233539755004805,0.720746270895838,0.0464430967971999,0.238093154669962,0.444324189972093,0.862722116677772,0.592539976622389,0.973576837965698,0.743413701656705
"Gene17",0.518306296967136,0.457871518116736,0.86360072330353,0.296424879308319,0.955106625458339,0.13583144059875,0.404610106061927,0.371879289456368,0.868943145589756,0.607853507480682,0.975920581062396,0.760850878077541
"Gene18",0.378515123259186,0.759723003080498,0.254713845018976,0.764209294853299,0.190071163132073,0.918392627960697,0.412929871058878,0.951054392366521,0.145938150989761,0.390483245509537,0.162558995528802,0.548340460805978
"Gene19",0.110078580246,0.980551754671644,0.838679603797981,0.79366700393923,0.911911748707569,0.670930929621325,0.875704343258339,0.0602866962837241,0.295771699901654,0.210330125351478,0.291630000432947,0.915548174922092
"Gene20",0.211690102026347,0.443567523533677,0.789410394072921,0.0859814699200091,0.955037865740271,0.137078238258942,0.11671939957105,0.424815711126699,0.814681295464236,0.707772271291916,0.45915828250061,0.962714464158118
"Gene21",0.0669479868275042,0.928919778813892,0.0011468309622437,0.877088620438661,0.134002344884253,0.00287852053191947,0.401537230048345,0.702542612647993,0.989455147491261,0.727210782357352,0.853363674160932,0.474648388320235
"Gene22",0.729526303362609,0.3296061662461,0.876402205375358,0.337674858647259,0.644075293382946,0.858468938274716,0.958527727774541,0.345083491525263,0.562552810541574,0.795244721921025,0.14144665045914,0.536143289114437
"Gene23",0.131180986016578,0.802734431925103,0.87198762407122,0.759797506691783,0.837575189276077,0.94443275555275,0.180190782519123,0.270681478117377,0.492480708486275,0.616556843680639,0.5694303855411,0.214758680863651
"Gene24",0.215706573806773,0.290270048937615,0.683552703181529,0.388532863427836,0.866108310772033,0.425061699330236,0.810141831583419,0.096637222221881,0.0768901909661125,0.361556472381877,0.375750586261351,0.337972011970424
"Gene25",0.659745092283216,0.496256060891849,0.0143977714851225,0.755274277515137,0.583989694913477,0.984869817868862,0.000502591243842652,0.181776267512938,0.659215083151746,0.895708308216124,0.0669169847159496,0.0157072095679233
"Gene26",0.0137933479539967,0.946811118834457,0.155825501587546,0.749061541074867,0.669873068818873,0.309574503478707,0.0960579677354191,0.607525266357668,0.958105932641681,0.65146854482605,0.260719785160721,0.68191472792556
"Gene27",0.263673858318268,0.828286259305922,0.55726827095901,0.00912930089595087,0.600443729163556,0.149832358627484,0.525883677590913,0.124767587453596,0.239647460655452,0.919511291817347,0.94533682963627,0.863760468583349
"Gene28",0.779424125829767,0.748074499544478,0.596006914208293,0.145875139527033,0.263984948186187,0.319185946257748,0.75792551114907,0.275313565163776,0.0227758629295006,0.377155215125476,0.309077369317992,0.894703500136454
"Gene29",0.119404745098575,0.823466948224083,0.704091641598487,0.159765420132078,0.193742778111025,0.317992526350583,0.666893219567762,0.455836803248344,0.13092415353632,0.273724269022322,0.678142965603628,0.560054529965938
"Gene30",0.865582910395721,0.0448643395187632,0.659504473601468,0.356722932819398,0.651351145418624,0.593360449911871,0.353064009003812,0.453983175996897,0.22658966982461,0.836066049067211,0.155117344745749,0.308689493268664
"Gene31",0.770199255513834,0.879899027792211,0.152403777809539,0.259374832545603,0.733713155862504,0.996443410058747,0.983585618464599,0.939588906307048,0.000133432675455094,0.0735346022553646,0.0370255060175301,0.624787765111633
"Gene32",0.551377527380894,0.984573393173872,0.707821354513175,0.290042464476414,0.457659467097665,0.399691399380338,0.690150894619762,0.690060799334454,0.253575948300857,0.183563466501844,0.736848945188596,0.711341685025746
"Gene33",0.131553167375213,0.28449189920697,0.272269892934198,0.747480045503974,0.62259122751637,0.1919993003232,0.777323253601011,0.0559859988517405,0.627861558179763,0.767471640276083,0.174922148122366,0.878916555728514
"Gene34",0.943199588908064,0.173791552721963,0.127913450639057,0.486660938168708,0.336742652712834,0.524400858508425,0.003436432118366,0.0119968665190378,0.216664898598747,0.368317267259081,0.0275698288283377,0.46386525709888
"Gene35",0.00885901749087893,0.561417202439529,0.961657584997961,0.708803038176878,0.317268154599118,0.692143980491378,0.610601013259531,0.0668644418263453,0.000499723880826765,0.153899787925336,0.672164584401894,0.938062799954218
"Gene36",0.208586046904298,0.0385174060877765,0.209800192850409,0.750202237490303,0.572363041999814,0.452667872104833,0.100928270883846,0.707986990653606,0.234108688942755,0.764639616289586,0.609389821004905,0.341318582086013
"Gene37",0.806497240558717,0.111784002893536,0.244278110203356,0.361735177056665,0.176777860093479,0.914163053783065,0.590137291391957,0.407385117888734,0.730193579546797,0.371913211040276,0.901961761960134,0.167229250395287
"Gene38",0.923041599172711,0.986432497921941,0.778819850744747,0.843545967402837,0.202743843029905,0.522049951144598,0.170064339191121,0.0189620982389011,0.174286858117735,0.51532365973213,0.325543244273742,0.726194179181977
"Gene39",0.256572040061687,0.0153905849707621,0.710450547270611,0.458012256273646,0.377532960678586,0.112986548569101,0.139054709134517,0.706446227931847,0.117977994004025,0.712343307251154,0.396898726168812,0.506275746938861
"Gene40",0.0688252201419139,0.0618407438910817,0.823225786353606,0.593658697280378,0.192038567769155,0.489910523916668,0.702078392306071,0.805241276440889,0.580233777617873,0.593778125732581,0.799250562278224,0.39720984243292
"Gene41",0.0807405469295396,0.495989871604533,0.468247627782684,0.0292557292223842,0.639653415173366,0.54087507714084,0.908023716073739,0.337973748792317,0.281542991087197,0.161351788146039,0.853894617172352,0.13516590385665
"Gene42",0.329095384543516,0.729541419180744,0.0601388062058244,0.807165852850172,0.01392279288423,0.798099943183993,0.988687516047374,0.762198385094345,0.605006108733464,0.0729455003393256,0.718442656385358,0.449552450903904
"Gene43",0.142228461730846,0.980183146398459,0.890198172835908,0.640296401918068,0.910637723190199,0.361950018431657,0.18392134910069,0.487456480485842,0.712515291423529,0.549600469472461,0.839504479960733,0.668863084862363
"Gene44",0.929632040518626,0.321504496839742,0.314566896930879,0.84720658413844,0.555904062793004,0.734157600973105,0.896660449114043,0.759307458759594,0.673946443407323,0.0868367418951589,0.741550374300719,0.0472500375738671
"Gene45",0.130190765911444,0.0565355985638504,0.279045032888768,0.179771421139254,0.511237183553389,0.480297191988874,0.724766452224751,0.184400877102854,0.403403953512458,0.855032481971858,0.579341019140972,0.58017207545933
"Gene46",0.38028490264473,0.442668292698199,0.726391685747642,0.594158236360084,0.309946260418961,0.706022709723813,0.883539701772171,0.897960388174793,0.84891354759395,0.934382077068949,0.524599459445553,0.535704218276429
"Gene47",0.800970136005877,0.18164033697592,0.477516563396174,0.992247668675077,0.663995515514781,0.00560349915306015,0.425680907040154,0.814984976874663,0.849785205266279,0.0775320595881019,0.706433525569079,0.87560284076031
"Gene48",0.669228479847456,0.46737277885817,0.420287294237721,0.258040707517198,0.482363223914454,0.140585022765848,0.338533119879127,0.854230196261401,0.204419146961411,0.8794358576492,0.890917594333131,0.892878435916249
"Gene49",0.712492360839569,0.055574266094776,0.285386838192654,0.288845699757923,0.329762154016911,0.191921512945856,0.241800442292363,0.445588800014138,0.338730996425537,0.559359533565376,0.762111604294655,0.237772049201978
"Gene50",0.537693358473415,0.889127778361749,0.873743553447223,0.630964390953604,0.96558624242641,0.259093636761687,0.129247460340253,0.36257552308782,0.403645039502965,0.474502558238914,0.342187546506672,0.252374879701805
"Gene51",0.363562915518257,0.877647162965739,0.323989822219584,0.71143617700737,0.329911528988297,0.617324686430812,0.242865466594332,0.58601669661143,0.96296357547185,0.891216899607759,0.324143241541841,0.0955801393104527
"Gene52",0.946880058885443,0.551268784445786,0.384404314162324,0.601628493146908,0.730197890903147,0.465809608985193,0.809191469328447,0.418322510618861,0.555234519168641,0.575144472857842,0.842418840834573,0.223090922309269
"Gene53",0.202686319500901,0.123887129055815,0.674460210992578,0.677165775579011,0.636204656138383,0.850686932747851,0.145053755376877,0.745100195159876,0.529050917252162,0.35099303291686,0.366068742066172,0.0581166897701206
"Gene54",0.332101564946051,0.387988651662035,0.507862326189807,0.323623474828998,0.873891340232965,0.732537600891483,0.397764742527385,0.711715858222934,0.945085074722299,0.400933381370039,0.360213279142028,0.449208204556484
"Gene55",0.376264575377424,0.903681381201076,0.9399217287323,0.763514828879988,0.0383755774093501,0.0323206949845327,0.349715208793357,0.286349066068336,0.262955821018772,0.161682884775804,0.827089992993017,0.538690055989392
"Gene56",0.0921853166244659,0.121098207593243,0.567286624741278,0.913712991129484,0.733062073528583,0.64663644368949,0.587541115730715,0.716365433159484,0.749901783752826,0.0566703218711128,0.192647918673691,0.924549665974684
"Gene57",0.287416684559681,0.260739456637662,0.304839339603186,0.69134172152657,0.718798534231234,0.339151185626332,0.82578532119895,0.832674831615162,0.330492522324829,0.613854699442092,0.0402801366515394,0.376417841974338
"Gene58",0.99986807670892,0.567100562030864,0.755790346281418,0.542461915213717,0.569607409472556,0.794707929356423,0.0247269712030442,0.0315379573255685,0.222006254517333,0.655954609413753,0.251316286445831,0.175331252496862
"Gene59",0.318488112789622,0.428693990273899,0.502713171086975,0.929876551308044,0.317805564149817,0.30812271504983,0.308689299622189,0.0459159944322365,0.912124211585955,0.362511135484453,0.946046396961319,0.470183592963898
"Gene60",0.384528518737497,0.100452506984981,0.24591133873391,0.689884033499053,0.0292122230166369,0.643462795171368,0.766890208196119,0.950926752050182,0.439193074562861,0.241679718896843,0.993140367307239,0.815485018469725
"Gene61",0.678064475826313,0.198672499201215,0.379320141511605,0.782863326493808,0.390402993282302,0.696972222720068,0.497970696926747,0.344623485301681,0.026491496926321,0.626696793596513,0.00936812910668017,0.136488547184835
"Gene62",0.382612147616768,0.612728739290188,0.128514849587096,0.889820110616809,0.0579072568812089,0.680895084246517,0.0480708287019117,0.34359412410307,0.469988667217277,0.59355030742678,0.36999427176211,0.161264556228984
"Gene63",0.102489480561057,0.511429590894264,0.846653841202031,0.361439969234121,0.0942736728902552,0.116690747829069,0.727102077918865,0.0235194279616286,0.0894492397881925,0.452939278476471,0.327925288264242,0.359022976475152
"Gene64",0.788717132942525,0.441039295487613,0.626883340606024,0.443457919167662,0.23612386714123,0.971764085561627,0.936655499322162,0.468062897402849,0.491057575099232,0.198613436457591,0.957844135152911,0.904396202772817
"Gene65",0.135969120143838,0.410238024678881,0.264075832529775,0.193332379163587,0.37735787869091,0.666901430618896,0.743100682502628,0.874015514912614,0.138019830909088,0.782790991540551,0.172799456615728,0.27057843402151
"Gene66",0.226380347094632,0.132036856922194,0.152315633335489,0.984119506490533,0.692971039430737,0.292631613090561,0.0260664834850995,0.000255009500926968,0.0480050710512419,0.84720144463828,0.747186390361561,0.137061533859253
