"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.831268253472549,0.386518348489469,0.805801516588263,0.993151185572188,0.734957892945935,0.533995887473459,0.725228370639253,0.282675670318982,0.152392147949309,0.782753007226615,0.734272407398391,0.751151170714928
"Gene2",0.563161223362774,0.936409812571783,0.975917813423243,0.349659761778442,0.368661994248783,0.46816758047917,0.170944915768122,0.345060956774315,0.222323677194175,0.104959543140425,0.917576541829575,0.872955070075138
"Gene3",0.146297426258833,0.2981815516314,0.375583515852531,0.676117518573286,0.344820488614121,0.977302182687754,0.0305498587391144,0.266809461642115,0.233814259167225,0.942443199481404,0.352885863023683,0.13002390349688
"Gene4",0.688159206993505,0.644126593138128,0.970381871180086,0.0809133303204146,0.527360179987718,0.202799846829235,0.807998721175315,0.965628079871204,0.773859697325111,0.301870213717591,0.629548059514776,0.872493149626073
"Gene5",0.351454076118727,0.92504550150107,0.0920783199043658,0.833411519897171,0.114013376686728,0.00288257470296744,0.777220380077556,0.32118963888414,0.83523934504411,0.00302440853795212,0.549789233818926,0.0408322461293213
"Gene6",0.443259242049359,0.946386871815896,0.00813767736852204,0.0342547056360212,0.4235365117995,0.566842381749548,0.450957279951923,0.129556881652699,0.110617838642451,0.953076852665714,0.174418421751813,0.823586022733623
"Gene7",0.0223546592631061,0.664787837820016,0.269344213024953,0.839208936765618,0.791874315982847,0.539903330799118,0.377984065575538,0.921896796070395,0.343909807391722,0.774423192630896,0.366766081012715,0.443229090460956
"Gene8",0.843747270328027,0.40547803789267,0.0769297350452412,0.586087224289356,0.844542171397121,0.951038447733023,0.52775388478863,0.791366214849919,0.710553856668766,0.255713080635858,0.482774183932701,0.0256459588452568
"Gene9",0.463328488118449,0.165334126977893,0.0411788846272443,0.00528615048040398,0.258503844634174,0.612747550903213,0.141188763589405,0.262734217657901,0.668232221586948,0.843691332985187,0.204971763612179,0.325029985862617
"Gene10",0.122195690557778,0.0268133266168228,0.154924908876575,0.570376844372675,0.531049049833846,0.0603521429506831,0.527698883293024,0.201764335298797,0.208316597161309,0.88465434277674,0.803586966455401,0.219209461225756
"Gene11",0.681418328916924,0.712753812762182,0.458748266326294,0.485149786580103,0.238123460988935,0.207186142925987,0.109551445071653,0.359858335418878,0.248009073205563,0.14091240179377,0.553868468932239,0.17323251978122
"Gene12",0.656600089815875,0.888517194503793,0.341102056102986,0.364274758247119,0.675163156011702,0.0533833892466385,0.0544237415150213,0.460266430941575,0.449562057136858,0.00473916605762582,0.299154731922668,0.148948784401027
"Gene13",0.484088040841686,0.420163384262365,0.284675290274338,0.378316729220051,0.228222363567988,0.275801569379939,0.990759494213814,0.339411107682233,0.997451804669308,0.294310428763117,0.471613877973964,0.615694983183148
"Gene14",0.838061399989253,0.052529754156822,0.374456376391341,0.158802752940315,0.273194279144993,0.151786436815957,0.798684673870977,0.966453049087028,0.496435215487626,0.18374254802,0.983507741850934,0.350677034467373
