"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.00354676249432786,0.114759006186925,0.157119679995699,0.293852497512241,0.0644054180404252,0.0740491021843751,0.504766391662476,0.304096347405631,0.286237576777529,0.412451989268391,0.610860393122787,0.566154635078856
"Gene2",0.0146427608945447,0.0338034823035004,0.500438858700456,0.578154476081863,0.0932326331727253,0.0292864450390558,0.908598249774284,0.644844241786293,0.539387987186769,0.736525238156571,0.151880823813046,0.140525314378245
"Gene3",0.832200325211036,0.0288838801470525,0.164766247256336,0.679055355237145,0.0846837576690095,0.967876887029642,0.857545202908356,0.263564508400916,0.983643627135576,0.808542239692328,0.121610338835885,0.0404413591680597
"Gene4",0.778538733603771,0.478445842994958,0.4163095982575,0.179416237902738,0.82086800153111,0.0146887213682321,0.232096380335355,0.1233971454553,0.949352161734204,0.493968881559881,0.670419128600481,0.616545147127372
"Gene5",0.184633590270947,0.526069804286352,0.353369951501826,0.44627120802713,0.526601446689236,0.901726587145307,0.873619503834188,0.922802598343586,0.523096744453149,0.762984203438263,0.273227583236489,0.344030996221522
"Gene6",0.0515513869529097,0.24620251006883,0.844654997390427,0.827656810998394,0.748923291022793,0.647408496118025,0.428178262347518,0.382592165323676,0.191355381840985,0.219047330152541,0.354460356424454,0.94929594231373
"Gene7",0.299943103308993,0.0352761748213069,0.389245425025609,0.487891112489782,0.77463528487451,0.894814707166702,0.603354213990043,0.636507559648838,0.263707656568985,0.568321254905313,0.566618349785123,0.884569145393896
"Gene8",0.427181439231182,0.548649722772598,0.336959752834476,0.522595608533087,0.554187826771523,0.553046492462616,0.056745785136968,0.886105380891185,0.126985123561572,0.45831782502194,0.782234186671048,0.718315151738032
"Gene9",0.383086653893846,0.42450398984695,0.945813541861178,0.888569813581564,0.857174970137766,0.758532388976682,0.567419823782405,0.533849924021031,0.771996912010176,0.21641102867758,0.665815499752919,0.611652983810118
"Gene10",0.260088476019473,0.519963254136336,0.886457284884355,0.27794506480532,0.316929645730858,0.390815302132541,0.510696335660762,0.124191901371202,0.768836801004293,0.883972393127338,0.921735633257341,0.32919987302636
"Gene11",0.39803770273872,0.846923783848349,0.0583879369091052,0.420561892290227,0.137266823372422,0.224872904804622,0.190222143765384,0.825913899188055,0.590705366200093,0.480159097264458,0.55020691317925,0.547547349802459
"Gene12",0.796135217598375,0.704349178369895,0.0177679851472101,0.759929498219787,0.40034674052487,0.874696135632567,0.831953342144317,0.94221274898262,0.990448349535676,0.387128665601095,0.188337596460292,0.735354028815668
"Gene13",0.510475897519141,0.12438220170558,0.449517972093548,0.980957158728849,0.804874059312642,0.200170121926132,0.357967238710345,0.288881003778453,0.152283377755502,0.883917044259658,0.013456913884205,0.423053299836521
"Gene14",0.739769284684424,0.094670937050971,0.0768989173369385,0.938724092610608,0.809212038594113,0.999692557032681,0.819541157543825,0.35519903185689,0.931373557648201,0.673854965830284,0.443626178861677,0.481827260334441
"Gene15",0.466779882374681,0.224672971477205,0.0204776870854078,0.259423217013393,0.421269621922754,0.543263253428709,0.634968653996706,0.876913026777333,0.852165781131329,0.870791916931918,0.240511088042443,0.0330451217614607
"Gene16",0.000779857614449127,0.00491524576026311,0.13589912337518,0.499130314862606,0.719318581643621,0.807360207474835,0.393212617314231,0.741993218945803,0.779681814416908,0.410171395647563,0.689985330623478,0.195635670870328
"Gene17",0.0734229619028117,0.607174456812274,0.675175103579839,0.313899687266272,0.30956008112534,0.0160914671615298,0.930155119406332,0.10641338904647,0.135664305129099,0.201102909137195,0.912583810138756,0.813224014645909
"Gene18",0.0422478053742957,0.33577513845445,0.742231833757584,0.9967510791776,0.297700229330311,0.581005843677431,0.84285746342858,0.777423549185898,0.577032374589715,0.7828060681389,0.551822574003185,0.942941749947135
"Gene19",0.54466478276183,0.819229260719369,0.185407167215106,0.568110903752918,0.905873655208204,0.850280830397164,0.93692084215319,0.63338164126826,0.230220499653128,0.467001728306521,0.306713923076257,0.712248541626672
"Gene20",0.798322398408887,0.988114961085116,0.157056124788276,0.622325086296503,0.0198862284656103,0.212739802887559,0.851534994501524,0.373490267210463,0.211419288131829,0.908826511345258,0.28759340419142,0.513251733271455
"Gene21",0.621831033768741,0.389964127833865,0.453155135061314,0.61992185293789,0.265198170004154,0.120174280245447,0.879627303008185,0.784329010533749,0.420971533024354,0.327286089342451,0.391930092786588,0.871748520093151
"Gene22",0.144542051070004,0.113093878906337,0.843762481663275,0.0159128259203571,0.578244507925687,0.482526566522404,0.15842809700375,0.0275730107176604,0.493434943532849,0.550981262269923,0.306231871267734,0.431046584346329
"Gene23",0.055262880163139,0.0206620042647578,0.712551110812836,0.757657850832555,0.073316477073669,0.199989554929465,0.327769616524718,0.832791520480058,0.331929588931017,0.456862330855478,0.943396385627427,0.117833442683049
"Gene24",0.0146148463668786,0.533407567722739,0.575688030933748,0.0129462181334293,0.942451722127605,0.0564898852854717,0.920204356371907,0.809806308773588,0.695592934711495,0.953181037096727,0.0131284540929139,0.0124786416277432
"Gene25",0.627164389301947,0.62777552476513,0.400292443359846,0.600415028748631,0.130739741422443,0.27161112601203,0.343515012360867,0.856578985295402,0.0914513882161512,0.577459048339402,0.388704306332109,0.559283999606113
"Gene26",0.863832986926816,0.276400543251574,0.72095689751358,0.49253638820781,0.46022925085887,0.49820498957052,0.460538422961518,0.455472508290286,0.42645209731378,0.494442150216768,0.823730412884129,0.450577088116097
"Gene27",0.0356022855322157,0.140746465615732,0.290504929347475,0.585305642237553,0.707125995650856,0.416964111320548,0.31348392265459,0.0936231822639464,0.546149701030951,0.941258057081303,0.67027277545767,0.624486052720416
"Gene28",0.366248900253345,0.50152629985017,0.744181764291501,0.904564573802287,0.40948711946629,0.808779008514458,0.881688150710054,0.486102960830532,0.0237993346621898,0.00897794475887447,0.678490997089235,0.59478440929898
"Gene29",0.737520335236153,0.27904264840406,0.787949863530289,0.927279707266563,0.0905623698227696,0.434438087118013,0.820621985924213,0.802636741112845,0.777739029867747,0.183162400036115,0.323302208748091,0.105515067516567
"Gene30",0.496678728214365,0.987521659509825,0.153155379512734,0.0440999317583585,0.615709737846282,0.593129122357901,0.239396199237928,0.843586986233666,0.0167003529829926,0.35908557660036,0.486742278669559,0.808915583075169
"Gene31",0.48621795974549,0.112708984866688,0.595806159716576,0.818804911380224,0.0944659082832092,0.0181721023273523,0.027169519952929,0.0969128219276442,0.563126077436336,0.98557316100832,0.00524553019096103,0.0284696156662467
"Gene32",0.00172483969710817,0.0269822539457259,0.856951453551921,0.725985399818656,0.123193915727943,0.183982710664799,0.585711544956363,0.158390107490648,0.0735512468540776,0.998747055595025,0.802877929624916,0.539543654736753
"Gene33",0.601870342351282,0.425122522606606,0.615723941354735,0.816182757309102,0.209930112304851,0.00847018723722961,0.69474376332505,0.136269387300468,0.932133676197053,0.177315843670384,0.326454933510709,0.0719879592823492
"Gene34",0.375120818850644,0.140063150865965,0.963265780290962,0.40385678360753,0.443728049064637,0.606102179496979,0.440807602431556,0.0601392537805382,0.267299720717053,0.771818963036369,0.795502805738156,0.584092824614324
"Gene35",0.694323828037171,0.465221190531445,0.987470933005335,0.702377045995712,0.744304995278208,0.936663159050575,0.908759968549513,0.126888555354976,0.783667900562691,0.143774921388762,0.308613949463992,0.240347531004824
"Gene36",0.131846269389698,0.476355874307828,0.279410010472291,0.286725983754287,0.44700986317304,0.765469985823343,0.562045215794978,0.0182531950875277,0.208591541788291,0.453182126039422,0.090055038535652,0.705135210080486
"Gene37",0.146497657577728,0.157139194508139,0.59554761178586,0.57749891934106,0.503819843591218,0.765410556792069,0.36160645481911,0.0602702839750862,0.160258810388473,0.913632812133965,0.0604781768856453,0.351050009395494
"Gene38",0.0420418040440114,0.521139970848806,0.873948158379834,0.617867480964178,0.728924523950478,0.238964146458708,0.414924994662591,0.987296741705663,0.140228663142501,0.566582274081289,0.715565512288992,0.669406132218125
"Gene39",0.174651602606197,0.0459306450441478,0.56322376018929,0.912650880026204,0.0657465927006247,0.960697814318886,0.302110492401193,0.729865336424842,0.620348565028641,0.0595716846145627,0.169301960090932,0.130476409875573
"Gene40",0.401725235367088,0.815799187408638,0.321995754110668,0.18239198348547,0.98943457797968,0.141595830598475,0.0219261574970573,0.204429133492765,0.24745254659595,0.64405984347716,0.905784443154195,0.314566561216303
"Gene41",0.650521267939789,0.871840913098694,0.148861796914431,0.5967261345315,0.694065257072892,0.644170418464979,0.573760760494337,0.294725909287481,0.7946247686775,0.607212836405882,0.294738551508944,0.624890270453127
"Gene42",0.0577563108707487,0.19653571850254,0.872653338003735,0.100474836209138,0.758149412531202,0.757153617790818,0.2775030453013,0.663822109843739,0.340791328462126,0.581303021176357,0.272173537048526,0.22448914608855
"Gene43",0.414300253129739,0.0310736930630787,0.506497500557633,0.370973446181846,0.342417013591487,0.33497969133302,0.520144278633121,0.390272207136268,0.939670665197664,0.495499760119175,0.618176962361698,0.693864627247363
"Gene44",0.002075865584811,0.245185871600289,0.32774860340567,0.763273691403179,0.92096889377641,0.806028511041083,0.0166001149506184,0.127717998312619,0.980070492748907,0.487731910650964,0.547511014710866,0.640583170438031
"Gene45",0.0559904847179885,0.759422708342266,0.99689084779427,0.660607625150321,0.0288828408412156,0.476579172945278,0.958369301211501,0.768654111826272,0.996108363601749,0.302094364919125,0.24439757068615,0.391211302479592
"Gene46",0.512281826762391,0.586968912218712,0.721134558907759,0.00934341614778054,0.194478797755193,0.751746495390135,0.691437108795878,0.0157600341572099,0.434745058926403,0.508259536064039,0.776493434688785,0.417345324089131
"Gene47",0.0721259731457429,0.446480576772789,0.0196447352698955,0.281259735328168,0.0421554652905662,0.0628725900860542,0.466887987151283,0.858256893490068,0.581033695961647,0.849400286997126,0.805381537672265,0.182657503946325
"Gene48",0.717395438547968,0.756617732248608,0.83077457533818,0.84342907958271,0.987370745815878,0.811536810194929,0.0367136518938708,0.399497836536976,0.598377624203438,0.207725752075237,0.117961294909984,0.749966129735027
"Gene49",0.872127763101552,0.107222880990431,0.137161576344678,0.470832703682262,0.824974643764741,0.114350002789263,0.210492812183504,0.255343601071254,0.82937925082046,0.800359542540922,0.97936560051715,0.698874765018416
"Gene50",0.263283376602175,0.319095878277484,0.117519819070913,0.220469761928812,0.142225702142061,0.181923789637319,0.171966001838588,0.184935035509878,0.830136146563669,0.695297309024557,0.600818243575575,0.527003742406939
"Gene51",0.211549821025878,0.253325025556599,0.740338969384857,0.000888801801766832,0.0409926442410903,0.166658122496721,0.521763114136211,0.0775840950698409,0.0750752246421431,0.428892583622148,0.579100853456148,0.206741045933514
"Gene52",0.0117913518271814,0.69910055410111,0.35719120384353,0.36411074069937,0.956313598992217,0.873795017338482,0.878067964254839,0.818301996497952,0.0776466418171387,0.327582713804018,0.703912320411747,0.156780675295008
"Gene53",0.32434321390505,0.106232371522612,0.765629813665766,0.107563934617603,0.279316465312955,0.191373286759695,0.721465563093362,0.221033552163849,0.774114650253269,0.629223556327188,0.434417574849201,0.275376883127397
"Gene54",0.569738063362056,0.362098626130354,0.0599373853747856,0.0885876767584524,0.184694421457045,0.472949820353785,0.423604773729982,0.0625742274478542,0.243580904534547,0.812604871367691,0.928807851405858,0.751239496467007
"Gene55",0.0707609214890231,0.0235641586823263,0.929737072480628,0.903138568226605,0.0747464622744641,0.0968152635029201,0.897529587114245,0.407674497417363,0.359128239728354,0.096498322113724,0.452356626854501,0.450069168104564
"Gene56",0.664532634163213,0.321804434892363,0.183883960127726,0.519928194838779,0.060395955629654,0.279559070498535,0.837066481888269,0.6458051703564,0.362263109176254,0.750070025468833,0.763962470210143,0.664613899450717
"Gene57",0.616158040255524,0.682849042245061,0.570204795581125,0.501380843194497,0.45872355855303,0.556671315931186,0.94623757393172,0.241868584688218,0.0595896610695911,0.0934395220563081,0.435683481217691,0.213171694864316
"Gene58",0.71679213575093,0.355273214463114,0.694102566959991,0.230869811140765,0.711021091141997,0.848311290299711,0.998440337451786,0.189370352041329,0.976285021451705,0.147914375627291,0.0433193606861469,0.621133362865048
"Gene59",0.839841511049275,0.775538163522802,0.722252130079307,0.176370453785019,0.756850524789481,0.140728069511262,0.0911812625621678,0.766373109599383,0.135424319510492,0.29184444847858,0.113920501922863,0.806534868240889
"Gene60",0.624523643011696,0.878334566061241,0.0668687559551493,0.269697720745999,0.542161742680286,0.46873162280256,0.38416146817612,0.178822913041476,0.373224298688751,0.780192287229383,0.982353316698205,0.495183404513181
"Gene61",0.0389737582197121,0.640120924235133,0.0194809129241996,0.56192145998851,0.824660832971701,0.503312904251831,0.6639340445141,0.491510813979164,0.727075411805399,0.139022688814117,0.00165815891103364,0.0393814459554228
"Gene62",0.818142257195467,0.027909196221212,0.626526414007494,0.505996853970328,0.913956892021254,0.93080703500756,0.439086004811494,0.11135773322473,0.170701834769318,0.548218095479118,0.610483349891987,0.116300826632792
"Gene63",0.0883459546506225,0.158498089969093,0.216642659394946,0.0373238589580258,0.743394846734334,0.98106389192735,0.151834429199779,0.724397354897518,0.768432870313369,0.613638820672801,0.0715041875422452,0.314238919689073
"Gene64",0.278082679314237,0.84861798360213,0.930566403793209,0.331398333495693,0.332996432446676,0.355294598226211,0.974832335207529,0.429468374115179,0.0962724576353357,0.832978235923275,0.0902407259885093,0.432506448102783
"Gene65",0.238271070209323,0.756638196100882,0.283408421052629,0.169004650303743,0.73449040531881,0.801385627489989,0.522168425955045,0.406472699748054,0.24679924436825,0.826435353483417,0.0645143534301957,0.0566491416879129
"Gene66",0.364181579975268,0.368102944796833,0.279448814555502,0.359560276183892,0.710106896585863,0.824290757385515,0.721349442192374,0.0361115044553892,0.0476954038194399,0.913950106059422,0.508805073923059,0.440298177838896
"Gene67",0.605035789719909,0.671719720261707,0.96743864894619,0.518213234994213,0.993118111286073,0.166258062167702,0.696450721815244,0.741486311958833,0.368495608389675,0.583101264372392,0.687291468026825,0.824481574781624
"Gene68",0.658872139489735,0.810400158933484,0.306610462004616,0.440940215884305,0.536147420681888,0.888242442595301,0.748748526502728,0.519998935158951,0.927066855099118,0.940624761540138,0.918181901021032,0.891994249141219
"Gene69",0.248385359109156,0.110082757523675,0.813673145643764,0.585986514485948,0.818358618159931,0.593073939451292,0.830795183229727,0.128360729564817,0.796186716536843,0.730908764521901,0.543214657545426,0.661419092137015
"Gene70",0.808196368811841,0.487067908777196,0.72535817084519,0.718429550480102,0.602878253185262,0.917194271670477,0.80755132108374,0.624500773715868,0.570005835906308,0.438849203962107,0.789838930515649,0.225519838422577
"Gene71",0.862778897687838,0.301173158107542,0.70113203151467,0.169698630043219,0.989959781727461,0.25406922892079,0.0563910301758481,0.0559544595223965,0.351599180328288,0.150609456571158,0.685036201536522,0.140916100064289
"Gene72",0.207917307559149,0.0950741688497232,0.892102284804335,0.305052380496911,0.890562553869341,0.994775867258928,0.878521437034617,0.571971384223934,0.671994363622565,0.20755714757509,0.528498736088529,0.269698171933739
"Gene73",0.0488382242487398,0.766390919979484,0.0774576648349554,0.0408264423194247,0.0613470720053341,0.812940549028886,0.465838937366894,0.88238442438385,0.806879734467391,0.906230035580712,0.611713072932033,0.47160466775732
"Gene74",0.550086127115184,0.528640747301954,0.435620505106652,0.709043360721017,0.0902658229513778,0.710029720104168,0.139585089884525,0.845142903436171,0.382564743090842,0.901456801608099,0.893504675848717,0.234328509599393
"Gene75",0.605182334791091,0.344029174898369,0.116119775899525,0.0300980507433565,0.498970541109668,0.332875959956977,0.588291689605916,0.954653187187743,0.707062009884183,0.913895560792025,0.716449884430423,0.421590540196647
"Gene76",0.929208098606392,0.592711614657836,0.564389654240701,0.993201813366211,0.123350993326965,0.293189688865049,0.200432001047931,0.0504934936322817,0.696638535830983,0.92484451369277,0.169613048445843,0.537760507619783
"Gene77",0.484017736689094,0.0460089329704625,0.275543391818329,0.577428010656107,0.860233161654704,0.187349725926579,0.0159896965291126,0.0808578024641509,0.596832168113741,0.00618198650708801,0.13397583647838,0.734581446391404
"Gene78",0.497883614948137,0.589370498392202,0.10883050615253,0.316948952577791,0.143549745210286,0.288664494166914,0.883676064256073,0.931077961872153,0.185878831202797,0.833518665085001,0.158525569290134,0.853148824480953
"Gene79",0.0719469218785375,0.438934389363966,0.970631226807718,0.766119312070067,0.617402388632384,0.581590365294177,0.228794572434676,0.414342885434061,0.481443850441239,0.348899909910946,0.925162664174663,0.832089672424015
"Gene80",0.485029630984598,0.757764114566892,0.458879274759656,0.750919661050426,0.336646678494935,0.946792505859541,0.674450674627536,0.0580127255152431,0.146490588710669,0.452833627382052,0.417303416011439,0.709316677819708
