"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.333626932914877,0.8383757325308,0.297599691144234,0.92351174807905,0.124669710694243,0.0922859007396401,0.0365453653236254,0.607534109632997,0.726215758104507,0.590224675746417,0.265762204200061,0.217322970502392
"Gene2",0.18907666913241,0.406009276837179,0.349467875190416,0.0621466216364364,0.995511777293451,0.29819613935982,0.577947231568826,0.866632298439447,0.296820969950322,0.220335244717064,0.355550450550959,0.0442016786822126
"Gene3",0.0211635432644383,0.732746108654029,0.105422350575181,0.713678750474791,0.369199559957017,0.410568949205558,0.00509209117932029,0.00463694409616818,0.967180491067889,0.415854094208895,0.335721961669217,0.0386774202556457
"Gene4",0.826799954106286,0.709737144375971,0.00144248873422221,0.929639969630087,0.673930823602392,0.0157832836069632,0.0889621252731928,0.109685419415633,0.724298610668938,0.42817343133786,0.603041438083534,0.807488207465288
"Gene5",0.532908842695321,0.399291275284853,0.034127529253493,0.228501907558749,0.679779628424171,0.780494723829148,0.679902276648825,0.0271013069316167,0.860818438245101,0.278103398874475,0.544558054726232,0.187701861329932
"Gene6",0.444344993492025,0.130615330580238,0.731927382895573,0.631103744970502,0.485886987989714,0.19893706830788,0.391616794714244,0.623888325544805,0.660255867807505,0.533133550153467,0.297736847672444,0.877900383913924
"Gene7",0.173658187852781,0.594915103909683,0.162162559314721,0.569187126172314,0.457690574169037,0.692920985710939,0.978589634496183,0.949438714066614,0.313635075899737,0.0715720750311286,0.429361591160718,0.924748628157616
"Gene8",0.579234806225566,0.960957343135377,0.476817351575158,0.146693192037116,0.918353924994533,0.406995365005338,0.0124932508089217,0.389813293816334,0.52787102743018,0.697416322896627,0.0102440283235581,0.757241267990194
"Gene9",0.785375331819779,0.570330198023478,0.796123004096673,0.974769345934545,0.399676429416112,0.738497220205204,0.541431501713459,0.245039559715499,0.489539492866154,0.733277318542816,0.811414060803935,0.929232857176582
"Gene10",0.950565987803595,0.986296682728742,0.442864337010281,0.177533967980793,0.408431698166542,0.454760420121422,0.251336189959383,0.0536426973245264,0.301026028712173,0.800346897777105,0.543058789388028,0.423016000570449
"Gene11",0.498070214724878,0.638298736689574,0.229248085299308,0.427833824120156,0.427986949580943,0.511995912755419,0.556197368125524,0.585916704142905,0.244650672466452,0.757110271223394,0.519744772388212,0.258755735859763
"Gene12",0.397868747406308,0.987082712033294,0.976655317721471,0.184881405083745,0.909086616492862,0.764643047367221,0.818605015517312,0.0884451136998886,0.186282566123736,0.178007706716701,0.476766506384545,0.394582838925021
"Gene13",0.673285199658441,0.100983531595724,0.18816512569785,0.844240309457397,0.102259150062794,0.196725914322243,0.230002874802282,0.542866315509097,0.840091189435445,0.419298304701453,0.375628435574789,0.0343359711650805
"Gene14",0.892866620487302,0.0813312246910307,0.616659949956943,0.0672105923447665,0.460777784378042,0.335186776574916,0.159062943959414,0.389289362997757,0.782323458616609,0.487955327214571,0.149828232255232,0.644187972420092
"Gene15",0.600257614025233,0.185664795719235,0.871671395459311,0.467511391040072,0.461867558105652,0.761329257595504,0.776494901125865,0.859229628606855,0.0904115186612608,0.894117236869962,0.208659294788279,0.910090026608825
"Gene16",0.253988467934146,0.368911745608527,0.535379353702044,0.817543953287356,0.75363004608027,0.176255808040115,0.0236219440607656,0.227148872160272,0.943473282175811,0.691827927651343,0.848413375242892,0.694177242577354
"Gene17",0.627234404210797,0.559082231940726,0.873461851218436,0.174068024689261,0.171010772599127,0.909868107386241,0.377104168595154,0.377743417765623,0.374888121823302,0.657259858734054,0.353869913369628,0.334981909458947
"Gene18",0.829182451270709,0.528475330657654,0.60923626973546,0.426913070041349,0.77956616792372,0.0824812302658996,0.877620803156228,0.409371581355956,0.627133083126653,0.675776538423447,0.592708789809308,0.175602887363078
"Gene19",0.874922351486746,0.846661653224227,0.891355095445954,0.104883748581261,0.0406760159450966,0.387926261168481,0.700448300908473,0.94043586305735,0.834334919930189,0.0219798024901634,0.0321342357853416,0.642688218504438
"Gene20",0.841341219980834,0.982779271324314,0.39641306375473,0.3180857878698,0.499101442325295,0.292854367488293,0.204071784240222,0.394753706601478,0.928834721632375,0.704357284538599,0.66633924147131,0.79424269963783
"Gene21",0.684107297592216,0.83670336351232,0.263136897181273,0.404394643568604,0.810803563723963,0.715687616347678,0.436737898836983,0.948722588236277,0.47736975567996,0.634675456644251,0.721794404922442,0.884510960037552
"Gene22",0.0454368903723001,0.981610129027181,0.919226828523554,0.00427549025600432,0.508786069896503,0.0632620237192859,0.0125223371307008,0.240620606975451,0.685085297168364,0.0095162797040239,0.973779192920987,0.548925732043247
"Gene23",0.348178739229553,0.567316882787959,0.935626737052601,0.695356447655052,0.822630537283083,0.573598891947055,0.504858711800438,0.36413444699536,0.626044772826364,0.503862417968194,0.879188206419262,0.260085524319194
"Gene24",0.919626188374674,0.0853091236690923,0.0803780304937305,0.0217012828631487,0.147144078047142,0.21305795977068,0.78989672641221,0.524766233938999,0.189042765265516,0.07811585557127,0.789455809430951,0.33680869746949
"Gene25",0.560904764277034,0.907618572971693,0.478551613272938,0.800436281510399,0.482863864317896,0.712648158661853,0.00441779980827209,0.0258787933565153,0.17308450401356,0.550570564305157,0.787925286954979,0.257966804078178
"Gene26",0.740924585379729,0.358883729717418,0.69573721101414,0.809419057588923,0.958332294120014,0.45981188837926,0.0889420035644448,0.0960000105795305,0.930867993393417,0.949004833186486,0.670843004258286,0.878303737931675
"Gene27",0.929712772081296,0.0378521032167265,0.00777909366107525,0.914695113295061,0.627047195952662,0.517921333820575,0.0049999699672834,0.0741174957101146,0.396473041640387,0.706092535057659,0.201977673339448,0.885629435159842
"Gene28",0.0966174724171421,0.64257240926925,0.824191158225896,0.850294151393781,0.490686123192943,0.488465566495621,0.210262737471431,0.415362004789178,0.304459179312409,0.665635835949334,0.593617101706109,0.352359737601281
"Gene29",0.620268217559542,0.370207628345391,0.421861121341004,0.698951876307627,0.388971330385749,0.294050732134488,0.131616525874969,0.829375122632854,0.150607521544234,0.524049635640344,0.452116883919303,0.948560537480599
"Gene30",0.14264101811029,0.168138458967624,0.569684523907239,0.296959162597713,0.687133764861698,0.627586239322319,0.95132090650979,0.717324469350844,0.980832282333764,0.0105478939845302,0.341945325651965,0.16171102651807
"Gene31",0.0136100183530027,0.218119924754282,0.382553998378474,0.145173142861005,0.717398983572555,0.211200966788014,0.61668593242044,0.961480033057735,0.788254963062878,0.254759185861921,0.140289051064863,0.571481761001628
"Gene32",0.496843823339378,0.591664467900597,0.082418857646037,0.145894072029513,0.684267992517754,0.898191629078935,0.646975855187021,0.635896859872949,0.59853552232082,0.461475709174642,0.290420818540209,0.578193786497905
"Gene33",0.635090848142227,0.480169680206216,0.300397613893325,0.907941578661795,0.694997889710788,0.684177827345908,0.495992224061397,0.877387438878885,0.0860377095486783,0.890352879306814,0.877598926459161,0.90429084694294
"Gene34",0.944367860473258,0.907520214060714,0.363590186376607,0.488894925340317,0.143106554143352,0.835068518693059,0.445836486475808,0.580303608610044,0.433607816943668,0.136605513880672,0.414626538082473,0.459809863090519
"Gene35",0.130001315744081,0.8653924347022,0.9172442510692,0.750517230137172,0.367829263520929,0.623756662966288,0.139008411619226,0.0836898361515317,0.0332203316484005,0.722994409613636,0.343382834638489,0.91533237182851
"Gene36",0.196287833190504,0.436886030426042,0.456421190830511,0.310018126961352,0.405455948982971,0.521426970796502,0.576903625729998,0.702701877283077,0.363172297861159,0.150317521413519,0.098478124170128,0.557512077760555
"Gene37",0.208026740097547,0.277805806293178,0.0862821715088592,0.434535100968211,0.000696364632498853,0.868710349555377,0.0591999549651899,0.10720872752176,0.134186101012788,0.506444590382645,0.335434435693977,0.0796238805539148
"Gene38",0.281251299174539,0.441780270324328,0.220104008316287,0.130405207879403,0.54465789758979,0.665389997694578,0.439102465985411,0.144687391274994,0.40287968504746,0.806909926753712,0.0419668276180119,0.299709642690676
"Gene39",0.616015031017344,0.301107063546196,0.942684838124634,0.468893911019682,0.837113379476147,0.0160644866638349,0.363091834937103,0.654734577985663,0.312551218215464,0.115993875572382,0.559629738584298,0.688311772961214
"Gene40",0.0443074746793413,0.262451420596775,0.975287995599969,0.062797004082984,0.159998494060671,0.040564951586982,0.551622975503374,0.551438573785994,0.671799276880231,0.200750686826668,0.964601549809703,0.322935050491574
"Gene41",0.211352488298696,0.272459652022668,0.727667776815505,0.342282185310039,0.245379734948053,0.177164452842741,0.152201393334941,0.0836438844729092,0.0771087329353522,0.856632165485399,0.0262482734981192,0.484053291363823
