"","ct1","ct2","ct3","ct4","ct5","ct6","ct7","ct8","ct9","ct10","ct11","ct12"
"Gene1",0.718771545218508,0.0287687988766305,0.323133416253327,0.213742813961328,0.861266617196144,0.133670117078539,0.85322657914814,0.284045661396803,0.742154323288487,0.84434759272709,0.225321064520131,0.599849914953801
"Gene2",0.399481965666864,0.584846861617299,0.734608912178581,0.441548019656817,0.796052168530156,0.650210828708231,0.481106871112926,0.635135322809267,0.212596441444261,0.183997546283593,0.206025149047181,0.514526590156811
"Gene3",0.581172079060843,0.0294952696511684,0.350416560755687,0.944980717740706,0.926100565412824,0.557051738280464,0.759598775502136,0.326560884331322,0.906473816947337,0.582628392169777,0.378993454545321,0.417158471690528
"Gene4",0.762567331748711,0.0392615731889701,0.168552070592176,0.6989183243857,0.992059284956289,0.226658663169738,0.364355148954465,0.298953188616845,0.29317837582646,0.150235028092963,0.20463522800653,0.452405626525914
"Gene5",0.479117863021524,0.121600167801843,0.293041333720647,0.062622749940318,0.598001506312245,0.334090038615945,0.30870047207695,0.797193980901405,0.164098869046936,0.715359836261108,0.55165543765245,0.0346959366294417
"Gene6",0.182180067857476,0.54065359506046,0.341828385287513,0.420164124791403,0.964030621166766,0.409754590344991,0.226249939426337,0.217055478764013,0.676785253191368,0.997271474293824,0.319730672883101,0.779092436118958
"Gene7",0.134284301227981,0.916249592850763,0.562500318751696,0.0658223610320108,0.98410773849904,0.892001451945205,0.127650257224757,0.0192500140454338,0.422143121953988,0.135465125995898,0.932286809603368,0.330639769079127
"Gene8",0.0687402821715866,0.013871696063115,0.331455737219878,0.815187142142145,0.204804666803216,0.773116622346169,0.219547591486032,0.410807645204904,0.525499254032266,0.852059958984568,0.510799421357178,0.744675816772654
"Gene9",0.695906531684808,0.18515429704757,0.551525741165164,0.675359651211165,0.551158314632725,0.809571701131389,0.679755297875763,0.643878486271811,0.409818043318628,0.449582093745404,0.925201202729701,0.758397021424511
"Gene10",0.50364651168187,0.682423842865697,0.504999079297798,0.815990920606305,0.00828027849671845,0.170753419482173,0.702558939742436,0.832284611915385,0.233451662720473,0.35880641143344,0.800420218159032,0.817514675504174
