"","l","BF","PPI","pval","time"
"Gene1",0.00416995634040517,0.506138525413394,0.14,0.314357945471528,13.3916091
"Gene2",0,0.0330682247535492,0,0.797047480917621,13.3916091
"Gene3",0,0,0,0.99,13.3916091
"Gene4",0,0,0,0.99,13.3916091
"Gene5",0,0,0,0.99,13.3916091
"Gene6",0,0,0,0.99,13.3916091
"Gene7",0,0,0,0.99,13.3916091
"Gene8",0,0,0,0.99,13.3916091
"Gene9",0,0.164639998652592,0,0.566083359614604,13.3916091
"Gene10",0,0,0,0.99,13.3916091
"Gene11",0,0.0863438009118681,0,0.677734213579839,13.3916091
"Gene12",0,0,0,0.99,13.3916091
"Gene13",0,0.136421005281602,0,0.601431667743202,13.3916091
"Gene14",0,0.00274417607308806,0,0.940944013151604,13.3916091
"Gene15",0,0.0249505042047588,0,0.8232356160526,13.3916091
"Gene16",0,0.031601203861544,0,0.801504179324231,13.3916091
"Gene17",0,0,0,0.99,13.3916091
"Gene18",0,0.0550731796029311,0,0.739977569445442,13.3916091
"Gene19",0,0,0,0.99,13.3916091
"Gene20",0,0,0,0.99,13.3916091
"Gene21",0,0,0,0.99,13.3916091
"Gene22",0,0,0,0.99,13.3916091
"Gene23",0,0,0,0.99,13.3916091
"Gene24",0,0.542695620195207,0,0.297494621670838,13.3916091
"Gene25",0,0.332755207833793,0,0.414621273334807,13.3916091
"Gene26",0,0.328506815796681,0,0.417616227552807,13.3916091
"Gene27",0,0.146943465871425,0,0.58774039240048,13.3916091
"Gene28",0,0.204097817092918,0,0.522886753756831,13.3916091
"Gene29",0.0431505879779945,0.478791929911392,0.1,0.327796374202449,13.3916091
"Gene30",0,0,0,0.99,13.3916091
"Gene31",0,0.22609918783553,0,0.50129282543724,13.3916091
"Gene32",0,0,0,0.99,13.3916091
"Gene33",0,0.0477559688883048,0,0.757283449295755,13.3916091
"Gene34",0,0,0,0.99,13.3916091
"Gene35",0,0.0134700769869994,0,0.869625215341125,13.3916091
"Gene36",0,0,0,0.99,13.3916091
"Gene37",0,0.227383906189067,0,0.500079449343616,13.3916091
"Gene38",0,0,0,0.99,13.3916091
"Gene39",0,0.000458374627413605,0,0.975845447728127,13.3916091
"Gene40",0,0.401510707239436,0,0.370191548809148,13.3916091
"Gene41",0,0,0,0.99,13.3916091
"Gene42",0,0.0667284429324127,0,0.714874406430585,13.3916091
"Gene43",0,0.170649980992056,0,0.559079818653588,13.3916091
"Gene44",0,0.335411790199203,0,0.412764616740865,13.3916091
"Gene45",0,0.273920471637564,0,0.459201227888891,13.3916091
"Gene46",0,0,0,0.99,13.3916091
"Gene47",0,0.167052754701882,0,0.563251557317386,13.3916091
"Gene48",0,0.0905733247072533,0,0.670389674462678,13.3916091
"Gene49",0,0.0801549233067135,0,0.688871408696628,13.3916091
"Gene50",0,0,0,0.99,13.3916091
"Gene51",0,0,0,0.99,13.3916091
"Gene52",0,0.270649303744801,0,0.461895039180292,13.3916091
"Gene53",0,0.140768653912636,0,0.595695376621949,13.3916091
"Gene54",0,0,0,0.99,13.3916091
"Gene55",0,0,0,0.99,13.3916091
"Gene56",0,0,0,0.99,13.3916091
"Gene57",0,0.312205189215183,0,0.42941306784844,13.3916091
"Gene58",0,0,0,0.99,13.3916091
"Gene59",0,0,0,0.99,13.3916091
"Gene60",0,0,0,0.99,13.3916091
"Gene61",0,0.101214986522916,0,0.652766549976154,13.3916091
"Gene62",0,0,0,0.99,13.3916091
"Gene63",0,0,0,0.99,13.3916091
"Gene64",0,0,0,0.99,13.3916091
"Gene65",0,0.198442361617316,0,0.528702516931214,13.3916091
"Gene66",0,0,0,0.99,13.3916091
"Gene67",0,0.485429390598512,0,0.324466094717147,13.3916091
"Gene68",0,0,0,0.99,13.3916091
"Gene69",0,0,0,0.99,13.3916091
"Gene70",0,0,0,0.99,13.3916091
"Gene71",0.0202059678047107,0.473391837473599,0.04,0.330539338614468,13.3916091
"Gene72",0,0.0252120871603154,0,0.822326815922397,13.3916091
"Gene73",0,0,0,0.99,13.3916091
"Gene74",0,0,0,0.99,13.3916091
"Gene75",0,0.856644843330281,0,0.190559106188872,13.3916091
"Gene76",0,0,0,0.99,13.3916091
"Gene77",0,0,0,0.99,13.3916091
"Gene78",0,0.282721155518954,0,0.452075726030179,13.3916091
"Gene79",0,0.0344827835090257,0,0.792848909574176,13.3916091
"Gene80",0,0.201030147150573,0,0.52602714881804,13.3916091
"Gene81",0,0,0,0.99,13.3916091
"Gene82",0,0,0,0.99,13.3916091
"Gene83",0,0,0,0.99,13.3916091
"Gene84",0,0.150487258503517,0,0.583272130207535,13.3916091
"Gene85",0,0,0,0.99,13.3916091
"Gene86",0,0,0,0.99,13.3916091
"Gene87",0,0.0519161451890341,0,0.747278320738159,13.3916091
"Gene88",0,0,0,0.99,13.3916091
"Gene89",0,0,0,0.99,13.3916091
"Gene90",0,0,0,0.99,13.3916091
"Gene91",0,0,0,0.99,13.3916091
"Gene92",0,0,0,0.99,13.3916091
"Gene93",0,0.313722980959443,0,0.428293702347287,13.3916091
"Gene94",0,0,0,0.99,13.3916091
"Gene95",0,0.0793099093441526,0,0.690430407697134,13.3916091
"Gene96",0,0,0,0.99,13.3916091
"Gene97",0,0,0,0.99,13.3916091
"Gene98",0,0.106413117658178,0,0.644561190962857,13.3916091
"Gene99",0,0.341334989224902,0,0.408668840123993,13.3916091
"Gene100",0,0,0,0.99,13.3916091
"Gene101",0,0.0700501649714056,0,0.708181291131262,13.3916091
"Gene102",0,0,0,0.99,13.3916091
"Gene103",0.0315566100166846,0.731830762794857,0.04,0.22634843114503,13.3916091
"Gene104",0,0,0,0.99,13.3916091
"Gene105",0,0,0,0.99,13.3916091
"Gene106",0,0,0,0.99,13.3916091
"Gene107",0,0,0,0.99,13.3916091
"Gene108",0,0,0,0.99,13.3916091
"Gene109",0,0,0,0.99,13.3916091
"Gene110",0,0.0104880844750596,0,0.884843895878769,13.3916091
"Gene111",0,0.111437334267544,0,0.636858240759385,13.3916091
"Gene112",0,0.905061890471904,0,0.178493381909104,13.3916091
"Gene113",0,0.338181768739901,0,0.410841746449962,13.3916091
"Gene114",0.0144040550243894,1.19672593890435,0.06,0.121844318225762,13.3916091
"Gene115",0.0542725878020315,0.733539768788472,0.02,0.225807042738522,13.3916091
"Gene116",0,0.345573107114018,0,0.405774784214176,13.3916091
"Gene117",0,0.155250161406815,0,0.577373329466904,13.3916091
