"","l","BF","PPI","pval","time"
"Gene1",0,0,0,0.99,13.372066
"Gene2",0,0,0,0.99,13.372066
"Gene3",0,0.138493701280618,0,0.598682612652146,13.372066
"Gene4",0,0,0,0.99,13.372066
"Gene5",0,0,0,0.99,13.372066
"Gene6",0,0,0,0.99,13.372066
"Gene7",0,0.237304280413093,0,0.490874620121091,13.372066
"Gene8",0,0,0,0.99,13.372066
"Gene9",0,0,0,0.99,13.372066
"Gene10",0,0.114643543728079,0,0.632052946925925,13.372066
"Gene11",0,0,0,0.99,13.372066
"Gene12",0,0.0335184998778971,0,0.79570079083224,13.372066
"Gene13",0,0.366418560807784,0,0.391965109926555,13.372066
"Gene14",0.0643651860479988,0.266020292645038,0.02,0.465750216312146,13.372066
"Gene15",0,0.125945432724194,0,0.61574679678583,13.372066
"Gene16",0,0,0,0.99,13.372066
"Gene17",0,0.0264403207965699,0,0.818124474146658,13.372066
"Gene18",0,0.144614408516168,0,0.590715146729591,13.372066
"Gene19",0,0,0,0.99,13.372066
"Gene20",0,0,0,0.99,13.372066
"Gene21",0,0,0,0.99,13.372066
"Gene22",0,0.492373067513785,0,0.32102986417952,13.372066
"Gene23",0,0.0778223507759151,0,0.693198407374235,13.372066
"Gene24",0,0,0,0.99,13.372066
"Gene25",0,0.110016432326177,0,0.639014878298599,13.372066
"Gene26",0,0,0,0.99,13.372066
"Gene27",0,0.0682926040217978,0,0.711699657818771,13.372066
"Gene28",0,0,0,0.99,13.372066
"Gene29",0.029381207047569,1.35097190058032,0.08,0.100225983951405,13.372066
"Gene30",0,0.271277434306478,0,0.461375830545009,13.372066
"Gene31",0,0,0,0.99,13.372066
"Gene32",0,0.267366689744966,0,0.464623618215977,13.372066
"Gene33",0,0,0,0.99,13.372066
"Gene34",0,0,0,0.99,13.372066
"Gene35",0,0.40928153071971,0,0.365600628104118,13.372066
"Gene36",0,0.0184475825392724,0,0.84767864643262,13.372066
"Gene37",0,0.237794179315796,0,0.490427433833887,13.372066
"Gene38",0,0.0880159287829542,0,0.67480581394931,13.372066
"Gene39",0,0.24114216548042,0,0.487389426518574,13.372066
"Gene40",0,0,0,0.99,13.372066
"Gene41",0,0.240892840336392,0,0.487614588104897,13.372066
"Gene42",0,0,0,0.99,13.372066
"Gene43",0,0,0,0.99,13.372066
"Gene44",0,0.0900373256515763,0.08,0.671309094245936,13.372066
"Gene45",0,0,0,0.99,13.372066
"Gene46",0.0657700877657107,0.992446943299308,0.02,0.158875793958634,13.372066
"Gene47",0,0,0,0.99,13.372066
"Gene48",0,0,0,0.99,13.372066
"Gene49",0,0.252885655163351,0,0.476975175723426,13.372066
"Gene50",0,0.331739127076884,0,0.415334667802388,13.372066
"Gene51",0,0.737860949590691,0,0.224445072314759,13.372066
"Gene52",0,0.0371542837407276,0,0.785163803619749,13.372066
"Gene53",0,0,0,0.99,13.372066
"Gene54",0,0.282913093529834,0,0.451922261754154,13.372066
"Gene55",0,0,0,0.99,13.372066
"Gene56",0,0,0,0.99,13.372066
"Gene57",0,0,0,0.99,13.372066
"Gene58",0,0.143249713307534,0,0.592472562610426,13.372066
"Gene59",0,0.32231505425944,0,0.422039124091135,13.372066
