"","l","BF","PPI","pval","time"
"Gene1",0,0,0,0.99,13.3257493
"Gene2",0,0.0678537583014815,0,0.712586172066236,13.3257493
"Gene3",0,0.15618006015406,0,0.576235519500584,13.3257493
"Gene4",0,0.0342902277177359,0,0.793414958802122,13.3257493
"Gene5",0,0,0,0.99,13.3257493
"Gene6",0,0.0626989869168028,0,0.723252129113215,13.3257493
"Gene7",0,0,0,0.99,13.3257493
"Gene8",0,0,0,0.99,13.3257493
"Gene9",0,0,0,0.99,13.3257493
"Gene10",0,0,0,0.99,13.3257493
"Gene11",0,0,0,0.99,13.3257493
"Gene12",0,0,0,0.99,13.3257493
"Gene13",0,0.0968594679585578,0,0.659839236978024,13.3257493
"Gene14",0,0,0,0.99,13.3257493
"Gene15",0,0,0,0.99,13.3257493
"Gene16",0,0,0,0.99,13.3257493
"Gene17",0,0.0167354005709797,0,0.854837039048141,13.3257493
"Gene18",0,0.213650865001659,0,0.513315927057887,13.3257493
"Gene19",0,0,0,0.99,13.3257493
"Gene20",0,0.131763582769673,0,0.607707234336413,13.3257493
"Gene21",0,0,0,0.99,13.3257493
"Gene22",0,0,0,0.99,13.3257493
"Gene23",0,0,0,0.99,13.3257493
"Gene24",0,0.308308383132936,0,0.43230730227151,13.3257493
"Gene25",0,0.122057054343389,0,0.621250352075087,13.3257493
"Gene26",0,0.263885866116459,0,0.467545178904006,13.3257493
"Gene27",0,0,0,0.99,13.3257493
"Gene28",0,0,0,0.99,13.3257493
"Gene29",0,0.326116125422908,0,0.419315720480682,13.3257493
"Gene30",0,1.31952704380872,0,0.104265606794244,13.3257493
"Gene31",0,0,0,0.99,13.3257493
"Gene32",0.0311007954922324,0.874793812112989,0.08,0.185928582140767,13.3257493
"Gene33",0,0.465308090618754,0,0.334702861946097,13.3257493
"Gene34",0,0.586886383706985,0,0.278627392331639,13.3257493
"Gene35",0,0.2186915168236,0,0.508388265554618,13.3257493
"Gene36",0,0.343623284299292,0,0.407102506729044,13.3257493
"Gene37",0,0,0,0.99,13.3257493
"Gene38",0,0.402596391288944,0,0.369545333702554,13.3257493
"Gene39",0.0364681920645795,2.19749326319275,0.18,0.0360447445082204,13.3257493
"Gene40",0,0.0499370867905782,0,0.751980682929448,13.3257493
