"","combined_pvalue","adjusted_pvalue"
"Gene1",0.554897290638772,1
"Gene2",0.1936533235546,1
"Gene3",0.769274060958159,1
"Gene4",0.822599307912243,1
"Gene5",0.389282852191818,1
"Gene6",0.87745784107976,1
"Gene7",0.408787517313393,1
"Gene8",0.34110896757575,1
"Gene9",0.54152882206303,1
"Gene10",0.492529660756037,1
"Gene11",0.214890393174619,1
"Gene12",0.3744485197377,1
"Gene13",0.257063832000619,1
"Gene14",0.858102641027148,1
"Gene15",0.545989995700153,1
"Gene16",0.0286643306207836,1
"Gene17",0.796510286020193,1
"Gene18",0.53091514680235,1
"Gene19",0.24588786315243,1
"Gene20",0.260720733887896,1
"Gene21",0.685566108700557,1
"Gene22",0.75518952093502,1
"Gene23",0.89611832063591,1
"Gene24",0.00329031587142703,1
"Gene25",0.8623099210699,1
"Gene26",0.166870470631108,1
"Gene27",0.514225008748948,1
"Gene28",0.201898373902627,1
"Gene29",0.156359917498652,1
"Gene30",0.333006260858639,1
"Gene31",0.433740566671401,1
"Gene32",0.336040616964257,1
"Gene33",0.277894030437034,1
"Gene34",0.415619003003806,1
"Gene35",0.902315759867059,1
"Gene36",0.198997004012432,1
"Gene37",0.902968418342678,1
"Gene38",0.141957114857046,1
"Gene39",0.218303333781772,1
"Gene40",0.376935876164178,1
"Gene41",0.448249579776025,1
"Gene42",0.494825070211151,1
"Gene43",0.507362044929081,1
"Gene44",0.593704670688435,1
"Gene45",0.748286167981795,1
"Gene46",0.701780122788642,1
"Gene47",0.35393116648876,1
"Gene48",0.638124091031014,1
"Gene49",0.454398222785735,1
"Gene50",0.11794463941959,1
"Gene51",0.414052159001504,1
"Gene52",0.230228258336969,1
"Gene53",0.625252217718214,1
"Gene54",0.860582754015195,1
"Gene55",0.170032839633771,1
"Gene56",0.231581638941132,1
"Gene57",0.439733105484762,1
"Gene58",0.809439192949306,1
"Gene59",0.277519274262593,1
"Gene60",0.972369831993347,1
"Gene61",0.696649099531972,1
"Gene62",0.23465549155782,1
"Gene63",0.293461233167636,1
"Gene64",0.217783405312946,1
"Gene65",0.534071317333216,1
"Gene66",0.0296711876333505,1
"Gene67",0.128959247584374,1
"Gene68",0.803144032777446,1
"Gene69",0.852292843060907,1
"Gene70",0.638514959924615,1
"Gene71",0.487918691363304,1
"Gene72",0.00136890254060151,1
"Gene73",0.195916039518601,1
"Gene74",0.827193112073261,1
"Gene75",0.148965702556758,1
"Gene76",0.863405478657684,1
"Gene77",0.416363376904126,1
"Gene78",0.433049541650315,1
"Gene79",0.276102003492526,1
"Gene80",0.0367922380242782,1
"Gene81",0.271622317938729,1
"Gene82",0.928526480817397,1
"Gene83",0.380689477420136,1
"Gene84",0.159520390035511,1
"Gene85",0.0319216675783465,1
"Gene86",0.338360276026284,1
"Gene87",0.389201477436623,1
