"","combined_pvalue","adjusted_pvalue"
"Gene1",0.516918402583771,1
"Gene2",0.171397368044245,1
"Gene3",0.924260737076514,1
"Gene4",0.87677225810479,1
"Gene5",0.385673014777926,1
"Gene6",0.805760093096404,1
"Gene7",0.760145228599966,1
"Gene8",0.317192206764551,1
"Gene9",0.677987053427656,1
"Gene10",0.50998484550049,1
"Gene11",0.248111024932873,1
"Gene12",0.28712856142072,1
"Gene13",0.328935560848457,1
"Gene14",0.327315520846178,1
"Gene15",0.541417415001955,1
"Gene16",0.0406915906349415,1
"Gene17",0.537805732282311,1
"Gene18",0.589971635799893,1
"Gene19",0.187234452235382,1
"Gene20",0.414758474990264,1
"Gene21",0.428345734992056,1
"Gene22",0.505216187482753,1
"Gene23",0.91943132653651,1
"Gene24",0.00219759594153102,1
"Gene25",0.84763897702666,1
"Gene26",0.151265541488742,1
"Gene27",0.49061497275819,1
"Gene28",0.34258603345911,1
"Gene29",0.0300136675349956,1
"Gene30",0.61960398290896,1
"Gene31",0.310508847906693,1
"Gene32",0.344813057695538,1
"Gene33",0.345460831443687,1
"Gene34",0.628154844074757,1
"Gene35",0.902586617510511,1
"Gene36",0.0924080070076055,1
"Gene37",0.763293138006191,1
"Gene38",0.0729805209067784,1
"Gene39",0.266479456154128,1
"Gene40",0.467138358593894,1
"Gene41",0.418544641182211,1
"Gene42",0.484953298913434,1
"Gene43",0.428497912618026,1
"Gene44",0.578743347386136,1
"Gene45",0.759980348145701,1
"Gene46",0.698213881982069,1
"Gene47",0.557091084091092,1
"Gene48",0.432580026984341,1
"Gene49",0.492821022205968,1
"Gene50",0.202151348557968,1
"Gene51",0.38344395077053,1
"Gene52",0.196808508286588,1
"Gene53",0.541862663689485,1
"Gene54",0.88864604568603,1
"Gene55",0.217038208398697,1
"Gene56",0.13925711920861,1
"Gene57",0.30224160110901,1
"Gene58",0.902219936393433,1
"Gene59",0.306429714919387,1
"Gene60",0.839652201919881,1
"Gene61",0.686947831176691,1
"Gene62",0.110890263794084,1
"Gene63",0.420440487585027,1
"Gene64",0.167306369571542,1
"Gene65",0.63589243765653,1
"Gene66",0.0215509833970982,1
"Gene67",0.159872947455284,1
"Gene68",0.762502495173277,1
"Gene69",0.763188553478025,1
"Gene70",0.607379099658401,1
"Gene71",0.508945545417238,1
"Gene72",0.0156177028711122,1
"Gene73",0.370667524590374,1
"Gene74",0.697423159118955,1
"Gene75",0.264345238320464,1
"Gene76",0.853342145534501,1
"Gene77",0.239900091273498,1
"Gene78",0.420729084312933,1
"Gene79",0.123678151150134,1
"Gene80",0.0546985842107708,1
"Gene81",0.327866105398035,1
"Gene82",0.951187403220853,1
"Gene83",0.62263429150856,1
"Gene84",0.198395342351849,1
"Gene85",0.049823919946713,1
"Gene86",0.361201687579418,1
"Gene87",0.381814214085944,1
"Gene88",0.84403355551328,1
"Gene89",0.618369216480375,1
"Gene90",0.918252074920535,1
"Gene91",0.669949359480574,1
"Gene92",0.359472709776385,1
"Gene93",0.763746042180042,1
"Gene94",0.722645063963348,1
"Gene95",0.842166774628895,1
"Gene96",0.62455569583724,1
"Gene97",0.629747232544898,1
"Gene98",0.714437770836807,1
"Gene99",0.524180506710057,1
"Gene100",0.0997781147579526,1
"Gene101",0.653839500680352,1
"Gene102",0.502717006494486,1
"Gene103",0.0189759752064622,1
"Gene104",0.942470277554617,1
"Gene105",0.539639708288047,1
"Gene106",0.320763060274278,1
"Gene107",0.987175831122615,1
"Gene108",0.72111723184333,1
"Gene109",0.682628348161592,1
"Gene110",0.032146534425688,1
"Gene111",0.917498731139721,1
"Gene112",0.54970598889617,1
"Gene113",0.192041694821435,1
"Gene114",0.334720255855581,1
"Gene115",0.271211557803363,1
"Gene116",0.603417679427644,1
"Gene117",0.856626637002542,1
"Gene118",0.302913114000324,1
"Gene119",0.137670352668644,1
"Gene120",0.0115935174365205,1
"Gene121",0.290825971761131,1
"Gene122",0.210672518535852,1
"Gene123",0.769700523746051,1
"Gene124",0.426648002678013,1
"Gene125",0.0578471272622159,1
"Gene126",0.330815041848858,1
"Gene127",0.398949165951865,1
"Gene128",0.449318114635111,1
"Gene129",0.0278129567533723,1
"Gene130",0.75245910290106,1
"Gene131",0.00489660743391562,1
"Gene132",0.00409070527943922,1
"Gene133",0.966106980639836,1
"Gene134",0.163075227872994,1
"Gene135",0.609098961316757,1
"Gene136",0.905482548167755,1
"Gene137",0.0758953216836232,1
"Gene138",0.0569409089289694,1
"Gene139",0.820442294884609,1
"Gene140",0.463230695615631,1
"Gene141",0.640928350204552,1
"Gene142",0.0569868343156097,1
"Gene143",0.331435801800059,1
"Gene144",0.312698395672192,1
"Gene145",0.448261768060479,1
"Gene146",0.0605806571433057,1
"Gene147",0.39513879034794,1
"Gene148",0.0413529263240311,1
"Gene149",0.0235495104108313,1
"Gene150",0.954088552531871,1
"Gene151",0.280778645735499,1
"Gene152",0.857854407843958,1
"Gene153",0.317173269592504,1
"Gene154",0.588972814536833,1
"Gene155",0.913573738805275,1
"Gene156",0.338953437099863,1
"Gene157",0.791260299498184,1
"Gene158",0.500763021437498,1
"Gene159",0.329893778796004,1
"Gene160",0.536080018885792,1
"Gene161",0.605935152185998,1
"Gene162",0.549107512568039,1
"Gene163",0.0299013551793432,1
"Gene164",0.440329422960071,1
"Gene165",0.281659473975976,1
"Gene166",0.48295642691506,1
"Gene167",0.0113161046051498,1
"Gene168",0.186123475690398,1
"Gene169",0.596764866579034,1
"Gene170",0.49687343894932,1
"Gene171",0.918675317046634,1
"Gene172",0.0670025098671794,1
"Gene173",0.828463595636237,1
"Gene174",0.138229790759369,1
"Gene175",0.0291236751702055,1
"Gene176",0.448476677129569,1
"Gene177",0.793517446053626,1
"Gene178",0.003902715067857,1
"Gene179",0.129097712821496,1
"Gene180",0.156000723871595,1
"Gene181",0.0756737790580945,1
"Gene182",0.0511862300780618,1
"Gene183",0.939199072807059,1
"Gene184",0.186447979076468,1
"Gene185",0.0072337334338286,1
"Gene186",0.26491547646231,1
"Gene187",0.0254846932895545,1
"Gene188",0.106877262114194,1
"Gene189",0.275581935083399,1
"Gene190",0.201550916491605,1
"Gene191",0.241303895423774,1
