"","combined_pvalue","adjusted_pvalue"
"Gene1",0.536014354256863,1
"Gene2",0.130711198157043,1
"Gene3",0.818076353277823,1
"Gene4",0.939182421324135,1
"Gene5",0.337059994275672,1
"Gene6",0.714736234434897,1
"Gene7",0.578408003056147,1
"Gene8",0.365554048734304,1
"Gene9",0.652963705889276,1
"Gene10",0.403477300758036,1
"Gene11",0.471327989497722,1
"Gene12",0.142497188920385,1
"Gene13",0.208131215387563,1
"Gene14",0.630015104591428,1
"Gene15",0.519434593475305,1
"Gene16",0.150845104467184,1
"Gene17",0.39468351956513,1
"Gene18",0.664422108986566,1
"Gene19",0.128611279972982,1
"Gene20",0.305168366254479,1
"Gene21",0.647368388229495,1
"Gene22",0.220346582913832,1
"Gene23",0.808334171887012,1
"Gene24",0.0138111666652956,1
"Gene25",0.733172392458625,1
"Gene26",0.118557594027884,1
"Gene27",0.619440619798116,1
"Gene28",0.313111458317441,1
"Gene29",0.145784139048602,1
"Gene30",0.868757343656414,1
"Gene31",0.156344022218775,1
"Gene32",0.139301031164576,1
"Gene33",0.24174649972976,1
"Gene34",0.283331751609762,1
"Gene35",0.884296142856907,1
"Gene36",0.310167636410694,1
"Gene37",0.874822219164268,1
"Gene38",0.0680147438187065,1
"Gene39",0.236626117094158,1
"Gene40",0.415741993137805,1
"Gene41",0.154239459315075,1
"Gene42",0.314460857677587,1
"Gene43",0.58131143533661,1
"Gene44",0.710082861315683,1
"Gene45",0.783478222965216,1
"Gene46",0.780564450392906,1
"Gene47",0.307442064204927,1
"Gene48",0.670929983317427,1
"Gene49",0.445601590798328,1
"Gene50",0.165330410669787,1
"Gene51",0.163792603431735,1
"Gene52",0.234737925184515,1
"Gene53",0.602060772254032,1
"Gene54",0.715075202950948,1
"Gene55",0.274059236925756,1
"Gene56",0.310119192463486,1
"Gene57",0.716314135490947,1
"Gene58",0.598426384840916,1
"Gene59",0.264724236617621,1
"Gene60",0.886786532220564,1
"Gene61",0.656152755210812,1
"Gene62",0.214203617712572,1
"Gene63",0.364758892363432,1
"Gene64",0.0672351016781451,1
"Gene65",0.472393192961344,1
"Gene66",0.00984310459978888,1
"Gene67",0.18808691414447,1
"Gene68",0.8925267508489,1
"Gene69",0.746086970039637,1
"Gene70",0.417723795518171,1
"Gene71",0.422809809551625,1
"Gene72",0.00213948168028311,0.541095705631662
"Gene73",0.448167220881618,1
"Gene74",0.795851310348943,1
"Gene75",0.113615356606462,1
"Gene76",0.635192572852934,1
"Gene77",0.16565844699438,1
"Gene78",0.385064875158734,1
"Gene79",0.111623063057221,1
"Gene80",0.161616766145166,1
"Gene81",0.328649988963983,1
"Gene82",0.950950302709787,1
"Gene83",0.270175488434555,1
"Gene84",0.128375737560348,1
"Gene85",0.0273764548570815,1
"Gene86",0.418234109074462,1
"Gene87",0.438175199556572,1
"Gene88",0.851829867163075,1
"Gene89",0.664325513594081,1
"Gene90",0.91977805508326,1
"Gene91",0.560897898896388,1
"Gene92",0.323229938671455,1
"Gene93",0.93072140167016,1
"Gene94",0.833993706330473,1
"Gene95",0.723356290577023,1
"Gene96",0.378861139904849,1
"Gene97",0.393325994380562,1
"Gene98",0.8106575582061,1
"Gene99",0.901250685983813,1
"Gene100",0.46290775878171,1
"Gene101",0.0579979736742977,1
"Gene102",0.0331595011634116,1
"Gene103",0.343445786545474,1
"Gene104",0.945697522470204,1
"Gene105",0.562395957006296,1
"Gene106",0.216062315770503,1
"Gene107",0.0801198258998136,1
"Gene108",0.0167675734027295,1
"Gene109",0.537191381886811,1
"Gene110",0.421449950901853,1
"Gene111",0.154304672213157,1
"Gene112",0.190861414406254,1
"Gene113",0.00150598518382261,0.424783564131862
"Gene114",0.913880255225945,1
"Gene115",0.234295121198587,1
"Gene116",0.482361664389807,1
"Gene117",0.203473933036834,1
"Gene118",0.126065089460656,1
"Gene119",0.0679317116878784,1
"Gene120",0.00175533457626331,0.478566108465521
"Gene121",0.956037914939784,1
"Gene122",0.0086456842228626,1
"Gene123",0.863281993698545,1
"Gene124",0.568950965184176,1
"Gene125",0.84291722262841,1
"Gene126",0.390865495612603,1
"Gene127",0.246045984484945,1
"Gene128",0.00206895483500547,0.530107718099547
"Gene129",0.338822702974992,1
"Gene130",0.0473964974969107,1
"Gene131",0.369736794031956,1
"Gene132",0.0654324492217719,1
"Gene133",0.0115151043449555,1
"Gene134",0.0251765669137778,1
"Gene135",0.00132156675768302,0.382691561376745
"Gene136",0.0846408198835362,1
"Gene137",0.0981670294995809,1
"Gene138",0.181359283409506,1
"Gene139",0.190089329728148,1
"Gene140",0.0894292665597676,1
"Gene141",0.537323440992284,1
"Gene142",0.0157738766111091,1
"Gene143",0.372837049571046,1
"Gene144",0.0251559103664718,1
"Gene145",0.104695225769447,1
"Gene146",0.173198031820148,1
"Gene147",0.377558159881844,1
"Gene148",0.0808160786289368,1
"Gene149",0.387228763695293,1
"Gene150",0.909581138017145,1
"Gene151",0.000741933873159129,0.249544895370381
"Gene152",0.298642431292743,1
"Gene153",0.0522705961280348,1
"Gene154",0.50734739065608,1
"Gene155",0.394016504425211,1
"Gene156",5.00025963119377e-05,0.0278071428113984
"Gene157",0.00940037463312415,1
"Gene158",0.280906143087498,1
"Gene159",0.0261823628035265,1
"Gene160",0.525092956150292,1
"Gene161",0.281142235483748,1
"Gene162",0.745164233025261,1
"Gene163",0.00494294234646875,1
"Gene164",0.0488730667263317,1
"Gene165",0.0167367217634703,1
"Gene166",0.487732520574128,1
"Gene167",0.00998214164233346,1
"Gene168",0.0247052727112992,1
"Gene169",0.0133008430120414,1
"Gene170",0.0197701080660897,1
"Gene171",0.0867822684471635,1
"Gene172",0.40440113816396,1
"Gene173",0.708534207657231,1
"Gene174",0.0473541221621609,1
"Gene175",0.165068380237183,1
"Gene176",0.407195793027412,1
"Gene177",0.941733971665994,1
"Gene178",0.367445311242457,1
"Gene179",0.0543907535921789,1
"Gene180",0.0849407000906668,1
"Gene181",0.0831841579068903,1
"Gene182",0.844974773271299,1
"Gene183",0.982963547145381,1
"Gene184",0.0624758341619636,1
"Gene185",0.0429518029867856,1
"Gene186",0.000487803145589938,0.178150187021549
"Gene187",0.000472714403165653,0.173286230177875
"Gene188",0.0665625477687444,1
"Gene189",0.090648925833386,1
"Gene190",0.405890561396143,1
"Gene191",0.00799597496497984,1
"Gene192",0.191874427340804,1
"Gene193",0.0785428995374416,1
"Gene194",0.221007340753563,1
"Gene195",0.00652828992943255,1
"Gene196",0.580051578378906,1
"Gene197",0.712968008527964,1
"Gene198",0.243433959438473,1
"Gene199",0.683344628058373,1
"Gene200",0.0455182847659288,1
"Gene201",0.0037224747937854,0.861326637368252
"Gene202",2.57053267560536e-10,1.79709722368603e-06
"Gene203",7.69030195080234e-09,3.27259329533377e-05
"Gene204",1.40212033608034e-05,0.0108058279249453
"Gene205",0.000560391077800926,0.200178361154371
"Gene206",7.21796926228535e-07,0.00114706078268532
"Gene207",0.000353863246006947,0.13801155269646
"Gene208",6.02817995596361e-05,0.0324183794084347
"Gene209",0.0563449298817468,1
"Gene210",0.107005274545319,1
"Gene211",0.000816455976006436,0.265486692323093
"Gene212",0.144580991130975,1
"Gene213",0.0377472261400045,1
"Gene214",2.99917424229079e-09,1.46773679584971e-05
"Gene215",8.65282329232109e-06,0.00762976806168895
"Gene216",2.26145212667284e-06,0.0027289435897781
"Gene217",9.25040213970441e-05,0.0457269150598024
"Gene218",4.62562751188944e-05,0.0260194366413
"Gene219",6.37237331790885e-08,0.000183441998677332
"Gene220",7.26728564504064e-06,0.00690576008204451
"Gene221",0.00590432757182446,1
"Gene222",0.000706486532511374,0.241776638111622
