"","combinedPval","adjustedPval"
"Gene1",0.089147344893038,1
"Gene2",0.429545026774737,1
"Gene3",0.111637489744998,1
"Gene4",0.25108781902006,1
"Gene5",0.098108889794954,1
"Gene6",0.508120786542087,1
"Gene7",0.848310975160305,1
"Gene8",0.651074870764392,1
"Gene9",0.999291228021834,1
"Gene10",0.300008886171293,1
"Gene11",0.635606310903486,1
"Gene12",0.656884876811708,1
"Gene13",0.635277757568248,1
"Gene14",0.819905997719571,1
"Gene15",0.903174304866154,1
"Gene16",0.162254098624348,1
"Gene17",0.846602831486318,1
"Gene18",0.671493440836005,1
"Gene19",0.10953438224876,1
"Gene20",0.828663898957431,1
"Gene21",0.457984416577991,1
"Gene22",0.135386231053465,1
"Gene23",0.851784522157532,1
"Gene24",0.129904717849584,1
"Gene25",0.575730956069623,1
"Gene26",0.763257848680996,1
"Gene27",0.729355378413944,1
"Gene28",0.490471035125139,1
"Gene29",0.186311279987943,1
"Gene30",0.984849967951951,1
"Gene31",0.684877315730198,1
"Gene32",0.468881329996808,1
"Gene33",0.973959693947131,1
"Gene34",0.433694418299044,1
"Gene35",0.797179339719347,1
"Gene36",0.683465577728141,1
"Gene37",0.704775465152484,1
"Gene38",0.0187424502099792,1
"Gene39",0.127726895507085,1
"Gene40",0.881861713735854,1
"Gene41",0.830183785075571,1
"Gene42",0.070456284098785,1
"Gene43",0.461742928573515,1
"Gene44",0.699432012122032,1
"Gene45",0.698948703186452,1
"Gene46",0.622860395282383,1
"Gene47",0.343768506978987,1
"Gene48",0.933381847971661,1
"Gene49",0.306872256947132,1
"Gene50",0.778080281417628,1
"Gene51",0.606890728779357,1
"Gene52",0.0277725049959365,1
"Gene53",0.478510942496906,1
"Gene54",0.510549704008514,1
"Gene55",0.963626992195979,1
"Gene56",0.788576537303021,1
"Gene57",0.71621815122149,1
"Gene58",0.552672639760055,1
"Gene59",0.156283601642777,1
"Gene60",0.912106937915712,1
"Gene61",0.498256804907075,1
"Gene62",0.461770800127703,1
"Gene63",0.211515617927091,1
"Gene64",0.15715612678436,1
"Gene65",0.974277664520864,1
"Gene66",0.0805300373827343,1
"Gene67",0.0765922144524822,1
"Gene68",0.913212821439045,1
"Gene69",0.861876557612439,1
"Gene70",0.165110410186612,1
"Gene71",0.634692530274721,1
"Gene72",0.428499341844291,1
"Gene73",0.195372522133924,1
"Gene74",0.249090099586429,1
"Gene75",0.184069977818074,1
"Gene76",0.958512434161635,1
"Gene77",0.330416463295992,1
"Gene78",0.655736353912011,1
"Gene79",0.578087633141268,1
"Gene80",0.164670271672905,1
"Gene81",0.233625811720904,1
"Gene82",0.0189936492342199,1
"Gene83",0.578500394085085,1
"Gene84",0.152863490687876,1
"Gene85",0.0534741157656944,1
"Gene86",0.6756412227714,1
"Gene87",0.881379891636835,1
"Gene88",0.541640847631718,1
"Gene89",0.843505754110268,1
"Gene90",0.794894052438384,1
"Gene91",0.640343570196386,1
"Gene92",0.808699284029171,1
"Gene93",0.28578445501159,1
"Gene94",0.623455364461591,1
"Gene95",0.860335884678904,1
"Gene96",0.640004337982389,1
"Gene97",0.626528518813305,1
"Gene98",0.519272054876895,1
"Gene99",0.553283458879301,1
"Gene100",0.845511347042818,1
"Gene101",0.0283011682061358,1
"Gene102",3.19094294309874e-06,0.000570963298181836
"Gene103",0.000787220980274839,0.118538597203674
"Gene104",0.00134209174036293,0.195765502517161
"Gene105",0.609390530307642,1
"Gene106",4.45767175949463e-07,8.18572889679816e-05
"Gene107",0.00982721008288956,1
"Gene108",2.07690951097295e-05,0.00364300574658007
"Gene109",0.00131926830515272,0.192723558607087
"Gene110",0.000306855530865069,0.048371133265921
"Gene111",2.88346027388364e-07,5.33500438210921e-05
"Gene112",0.0159727748301923,1
"Gene113",1.69233819220516e-05,0.0029791258102618
"Gene114",0.0091410287777739,1
"Gene115",1.08483398819637e-07,2.03019649923075e-05
"Gene116",0.00103907572052286,0.153858756340344
"Gene117",0.106887201680106,1
"Gene118",7.87724086943609e-05,0.0131344685316982
"Gene119",0.02072782511146,1
"Gene120",0.000853607710489701,0.127553831749665
"Gene121",2.01942882576134e-05,0.00354854107080497
"Gene122",2.40102382531582e-07,4.45080971313399e-05
"Gene123",4.6571527174688e-05,0.00796349511908579
"Gene124",0.000150014275514865,0.0243495958295542
"Gene125",0.00168754132857274,0.245059194267254
"Gene126",0.000117573142088934,0.0192434714914105
"Gene127",5.00672714398576e-08,9.55241185483474e-06
"Gene128",5.95872919286755e-05,0.0101077458951931
"Gene129",3.89312360127292e-10,7.82430391352888e-08
"Gene130",3.56687289320146e-05,0.006146328637201
"Gene131",2.7729981872282e-05,0.00482936188527667
"Gene132",1.52381460782891e-07,2.84085658159978e-05
"Gene133",0.00127443853047993,0.187012027788499
"Gene134",0.0320356569479781,1
"Gene135",3.53471570205821e-05,0.00610165868450896
"Gene136",2.24752437216758e-06,0.000405117552692159
"Gene137",0.00685162009830631,0.881003040468039
"Gene138",6.60579952749263e-05,0.0111474074703769
"Gene139",0.0416697612783603,1
"Gene140",0.0231249162613487,1
"Gene141",8.5921115697607e-05,0.0143020753507749
"Gene142",0.0048903128168547,0.652993932392801
"Gene143",6.94189448663396e-05,0.0116944110807163
"Gene144",1.50318972602648e-06,0.000273978190610366
"Gene145",1.65992004719229e-06,0.000301982220692385
"Gene146",0.00176985217019554,0.256251712779765
"Gene147",7.61363528919423e-05,0.0127383355064544
"Gene148",4.33649499762545e-05,0.00743325825114451
"Gene149",0.000292662573526448,0.0465010709605802
"Gene150",0.000135004103007041,0.0220595488060514
"Gene151",0.000322085156009955,0.0505199137353098
"Gene152",0.0514858090797272,1
"Gene153",0.00845947681345494,1
"Gene154",0.00527441572328979,0.701411727851611
"Gene155",0.0180232893761234,1
"Gene156",1.03227031533759e-06,0.000189203280322615
"Gene157",0.00208592345431757,0.298046671419054
"Gene158",0.000364328992604968,0.0566017245575611
"Gene159",3.67351908848734e-05,0.00631897321687223
"Gene160",9.07000250460754e-08,1.70390808562446e-05
"Gene161",0.00084589077744357,0.126727407067285
"Gene162",2.11909088265738e-06,0.000383379421700998
"Gene163",0.00106105921291588,0.156876579409909
"Gene164",2.9554076429239e-05,0.00513789799020492
"Gene165",0.412712119985042,1
"Gene166",5.21353295300786e-05,0.00887443593043061
"Gene167",0.000317599015143388,0.0499764314736202
"Gene168",0.0330854685649755,1
