"","combinedPval","adjustedPval"
"Gene1",0.015593100538978,1
"Gene2",0.324758509138612,1
"Gene3",0.194005551452698,1
"Gene4",0.460259028040151,1
"Gene5",0.492836059946371,1
"Gene6",0.299979255314216,1
"Gene7",0.386997346979941,1
"Gene8",0.936951176649202,1
"Gene9",0.988856049597315,1
"Gene10",0.88339711959708,1
"Gene11",0.327677672048101,1
"Gene12",0.897614265438406,1
"Gene13",0.313339953341936,1
"Gene14",0.597579694625658,1
"Gene15",0.659873546575873,1
"Gene16",0.97532922375326,1
"Gene17",0.475028123215051,1
"Gene18",0.364467042187697,1
"Gene19",0.411609307082735,1
"Gene20",0.942927423129757,1
"Gene21",0.0308126818809047,1
"Gene22",0.211002089602328,1
"Gene23",0.863643229925655,1
"Gene24",0.0809823766315763,1
"Gene25",0.0732170382975582,1
"Gene26",0.696011432379705,1
"Gene27",0.995132087820056,1
"Gene28",0.833328967841513,1
"Gene29",0.894355347047851,1
"Gene30",0.736733990633549,1
"Gene31",0.812971812966517,1
"Gene32",0.0739156265290348,1
"Gene33",0.131642434848056,1
"Gene34",0.170591524026757,1
"Gene35",0.661373315682575,1
"Gene36",0.528228833040339,1
"Gene37",0.828476396295412,1
"Gene38",0.0444177903781178,1
"Gene39",0.476390894708546,1
"Gene40",0.69288944324194,1
"Gene41",0.544950337074593,1
"Gene42",0.06911727430732,1
"Gene43",0.342347160640205,1
"Gene44",0.165290796614198,1
"Gene45",0.260641317202035,1
"Gene46",0.754414744405106,1
"Gene47",0.700047740371487,1
"Gene48",0.355865461197295,1
"Gene49",0.598075068138277,1
"Gene50",0.373844522766654,1
"Gene51",0.867815775368023,1
"Gene52",0.556417457160933,1
"Gene53",0.7679230212554,1
"Gene54",0.917377975343696,1
"Gene55",0.354777651608754,1
"Gene56",0.630355962645797,1
"Gene57",0.819012376067852,1
"Gene58",0.705253369753126,1
"Gene59",0.766622814823066,1
"Gene60",0.813531380526306,1
"Gene61",0.594975689158772,1
"Gene62",0.575630597875165,1
"Gene63",0.614302709579772,1
"Gene64",0.78903915502829,1
"Gene65",0.392879246480129,1
"Gene66",0.725832594371365,1
"Gene67",0.159410926059862,1
"Gene68",0.752084772454778,1
"Gene69",0.611946294996108,1
"Gene70",0.648279624819537,1
"Gene71",0.728773890745543,1
"Gene72",0.117394209701034,1
"Gene73",0.890884823622151,1
"Gene74",0.440898344203598,1
"Gene75",0.00681148197629633,1
"Gene76",0.725604541344991,1
"Gene77",0.98431158364498,1
"Gene78",0.775155132376097,1
"Gene79",0.301547407529111,1
"Gene80",0.263672073405999,1
"Gene81",0.922771849929059,1
"Gene82",0.613438672898829,1
"Gene83",0.993032463054049,1
"Gene84",0.343888295033029,1
"Gene85",0.0788928098448307,1
"Gene86",0.625692313332517,1
"Gene87",0.249532404704826,1
"Gene88",0.293492273733275,1
"Gene89",0.904752392826751,1
"Gene90",0.422195862067336,1
"Gene91",0.616993734438852,1
"Gene92",0.963578954615262,1
"Gene93",0.233139163042488,1
"Gene94",0.454562582825884,1
"Gene95",0.334770421947981,1
"Gene96",0.00207637206360345,1
"Gene97",0.400844781346783,1
"Gene98",0.680253021466397,1
"Gene99",0.678133465398529,1
"Gene100",0.770048276933445,1
"Gene101",0.388898256505064,1
"Gene102",0.366468149657325,1
"Gene103",0.954602912001069,1
"Gene104",0.672688237923061,1
"Gene105",0.315392573176943,1
"Gene106",0.404449652021544,1
"Gene107",0.0069372045863203,1
"Gene108",0.701033408982855,1
"Gene109",0.273980317777288,1
"Gene110",0.280285907107073,1
"Gene111",0.305561392354897,1
"Gene112",0.868881140783099,1
"Gene113",0.949110700928177,1
"Gene114",0.0839973727076601,1
"Gene115",0.558636456830642,1
"Gene116",0.86893635762559,1
"Gene117",0.357073492029608,1
"Gene118",0.150117568489037,1
"Gene119",0.362082458833773,1
"Gene120",0.40353905335774,1
"Gene121",0.202300534524831,1
"Gene122",0.483716449030923,1
"Gene123",0.869127653979118,1
"Gene124",0.063219980415717,1
"Gene125",0.624885616329334,1
"Gene126",0.228724322455339,1
"Gene127",0.781901612164952,1
"Gene128",0.440727864148616,1
"Gene129",0.979601465809122,1
"Gene130",0.965769263155406,1
"Gene131",0.539607432957903,1
"Gene132",0.169613935003985,1
"Gene133",0.958008748805216,1
"Gene134",0.853791388294384,1
"Gene135",0.0730880114460862,1
"Gene136",0.0438307376760981,1
"Gene137",0.944327837069979,1
"Gene138",0.918749963877584,1
"Gene139",0.773037749364183,1
"Gene140",0.365283636024867,1
