"","combinedPval","adjustedPval"
"Gene1",0.343885955080833,1
"Gene2",0.946303472588483,1
"Gene3",0.337602356269946,1
"Gene4",0.465989869790044,1
"Gene5",0.0854603106034958,1
"Gene6",0.19907746078301,1
"Gene7",0.655929246371308,1
"Gene8",0.0219105904995425,1
"Gene9",0.0367249602643802,1
"Gene10",0.614256702821876,1
"Gene11",0.964894271285158,1
"Gene12",0.658684048217012,1
"Gene13",0.660179273730395,1
"Gene14",0.902259064430326,1
"Gene15",0.645346803606377,1
"Gene16",0.268493834617792,1
"Gene17",0.0865923377420814,1
"Gene18",0.488350905375215,1
"Gene19",0.059956321575073,1
"Gene20",0.269758308074932,1
"Gene21",0.627608040848378,1
"Gene22",0.0258915548562916,1
"Gene23",0.870121543422222,1
"Gene24",0.119996725992708,1
"Gene25",0.424775009151105,1
"Gene26",0.873908769780307,1
"Gene27",0.604180183970735,1
"Gene28",0.467188455642068,1
"Gene29",0.195946927996414,1
"Gene30",0.842754173298994,1
"Gene31",0.0562973746452626,1
"Gene32",0.0518638997216393,1
"Gene33",0.664866637034356,1
"Gene34",0.989299208072393,1
"Gene35",0.737583854613361,1
"Gene36",0.981689697183596,1
"Gene37",0.708643547186377,1
"Gene38",0.00419919446575856,0.687898450130518
"Gene39",0.13989069336202,1
"Gene40",0.860247264519188,1
"Gene41",0.225612785978104,1
"Gene42",0.176381304494252,1
"Gene43",0.0391706081778822,1
"Gene44",0.890402201590618,1
"Gene45",0.501531430554055,1
"Gene46",0.631293626575869,1
"Gene47",0.141457265600552,1
"Gene48",0.863944834502368,1
"Gene49",0.715431371377745,1
"Gene50",0.620576496483867,1
"Gene51",0.849548496145968,1
"Gene52",0.129557492041554,1
"Gene53",0.316872472578235,1
"Gene54",0.355797853237241,1
"Gene55",0.431687557876084,1
"Gene56",0.258882547129544,1
"Gene57",0.241235517174869,1
"Gene58",0.564689834689367,1
"Gene59",0.943696179009128,1
"Gene60",0.400668009560848,1
"Gene61",0.182883186368712,1
"Gene62",0.191630320989802,1
"Gene63",0.0822897045953797,1
"Gene64",0.0229846041428641,1
"Gene65",0.952665157886976,1
"Gene66",0.0229661489730616,1
"Gene67",0.228040086072605,1
"Gene68",0.783812112815393,1
"Gene69",0.622583448601366,1
"Gene70",0.87340997258953,1
"Gene71",0.290109823300339,1
"Gene72",0.0884898190634551,1
"Gene73",0.316919939111913,1
"Gene74",0.732222890528988,1
"Gene75",0.157449673891834,1
"Gene76",0.507993962028527,1
"Gene77",0.293892296988696,1
"Gene78",0.484932342833058,1
"Gene79",0.0363597508658553,1
"Gene80",0.350087783961436,1
"Gene81",0.618837608219097,1
"Gene82",0.00819048509754527,1
"Gene83",0.647194053430313,1
"Gene84",0.0879553577877901,1
"Gene85",0.106187226882795,1
"Gene86",0.410359609931992,1
"Gene87",0.891580098585799,1
"Gene88",0.887501617403787,1
"Gene89",0.728652630229782,1
"Gene90",0.737155499170988,1
"Gene91",0.719063016033038,1
"Gene92",0.784165551213279,1
"Gene93",0.0195605104895178,1
"Gene94",0.0996720046562873,1
"Gene95",0.425168407815348,1
"Gene96",0.843182957643795,1
"Gene97",0.491657452507264,1
"Gene98",0.516403734683888,1
"Gene99",0.434324370477308,1
"Gene100",0.882240573760932,1
"Gene101",0.130571374133482,1
"Gene102",0.175747702152723,1
"Gene103",0.141244054950349,1
"Gene104",0.000234385746140431,0.0617571269703156
"Gene105",0.344959924030198,1
"Gene106",4.14398148079753e-05,0.0164876659165488
"Gene107",0.409049201770145,1
"Gene108",0.0741898095638387,1
"Gene109",0.000772042711119525,0.168295097983019
"Gene110",7.43901404176572e-06,0.00512747455897219
"Gene111",0.759952572828967,1
"Gene112",0.00805342046352142,1
"Gene113",0.00431431926881698,0.699120154253239
"Gene114",0.000224280522943765,0.0607646370725852
"Gene115",1.77735512714161e-05,0.0087417345580933
"Gene116",0.00480818598818966,0.760268662365576
"Gene117",0.725420360470001,1
"Gene118",0.000140826787200732,0.0409425155828821
"Gene119",0.0181794355893041,1
"Gene120",0.000541282144343458,0.123940642993818
"Gene121",4.87863532239174e-07,0.000555234424756986
"Gene122",0.0411384691510266,1
"Gene123",0.0941152136748982,1
"Gene124",0.000361741606587973,0.0878655656543702
"Gene125",0.00455637699500511,0.727504453161595
"Gene126",0.000584534978221529,0.131521794968278
"Gene127",0.00139193785325642,0.273569062938377
"Gene128",0.0550663393193258,1
"Gene129",2.86649376982639e-05,0.0125812160196576
"Gene130",0.00289533006006382,0.509682553457219
"Gene131",0.000390069649178537,0.0935942061682421
"Gene132",0.00208991091112187,0.377710542510871
"Gene133",0.0119034663200294,1
"Gene134",0.759912472102188,1
"Gene135",0.054764157129797,1
"Gene136",0.0150105224315882,1
"Gene137",0.00353615808992913,0.597763769695985
"Gene138",0.0621150882942252,1
"Gene139",0.0123459275922725,1
"Gene140",0.00103627707510112,0.213529931689982
"Gene141",0.0122708364367509,1
"Gene142",0.0865473707859514,1
"Gene143",0.165732539518712,1
"Gene144",0.0920404897835498,1
"Gene145",0.0358527932525965,1
"Gene146",0.0253299764722776,1
"Gene147",0.151168444003674,1
"Gene148",0.0312574899680311,1
"Gene149",0.0226326719866508,1
"Gene150",0.00209202628670568,0.377710542510871
"Gene151",0.0970086621149346,1
"Gene152",0.99480544572247,1
"Gene153",0.748462537821913,1
"Gene154",0.000552131243424347,0.12567542071695
"Gene155",0.128724534552699,1
"Gene156",0.104460766757639,1
"Gene157",0.21524538343878,1
"Gene158",0.0565852402297693,1
"Gene159",0.0112056935816669,1
"Gene160",0.0300475129191815,1
"Gene161",0.0618891992557733,1
"Gene162",0.87702590144124,1
"Gene163",0.00131254477166109,0.260581564496727
"Gene164",0.159610958798681,1
"Gene165",0.414097961377498,1
"Gene166",0.00521548366114577,0.811559608310353
"Gene167",6.98172644242323e-05,0.0244051385249544
"Gene168",0.00162086006688433,0.309246389361021
"Gene169",7.5931153218356e-06,0.00516100148308189
"Gene170",0.676631775556345,1
"Gene171",0.389176223993801,1
"Gene172",2.0625450241063e-06,0.00178649363960674
"Gene173",0.0328567886613168,1
"Gene174",3.60625642570334e-05,0.0150840244272384
"Gene175",0.0966631243096084,1
"Gene176",0.000563489392406913,0.127666948573354
"Gene177",0.141732949737685,1
"Gene178",5.93659517020839e-05,0.0216003920897708
"Gene179",0.00150166547738317,0.289895662535602
"Gene180",1.79882371585949e-05,0.00876681051015615
"Gene181",0.106856473289237,1
"Gene182",0.00293805909703604,0.514428711134258
"Gene183",0.00151057607774319,0.29058399245705
"Gene184",0.00204102191281508,0.370909417893826
"Gene185",2.45034025820878e-05,0.011206993038134
"Gene186",0.0901300769447717,1
"Gene187",0.0764004507930878,1
"Gene188",0.019608942493461,1
"Gene189",0.00328641559951892,0.563329967754848
"Gene190",0.0111321739325111,1
"Gene191",0.608918968808101,1
"Gene192",0.000909203522367452,0.193454910511228
"Gene193",0.000636122941327866,0.141181876195168
"Gene194",0.053869568171953,1
"Gene195",0.0596763322431577,1
"Gene196",0.130445250355686,1
"Gene197",0.0634128561760309,1
"Gene198",0.00477653755905028,0.756486534698271
"Gene199",0.00462376962187672,0.735863991225353
"Gene200",0.164847398438629,1
"Gene201",1.80443581188072e-08,5.69713124000594e-05
