"","combinedPval","adjustedPval"
"Gene1",0.781224102058453,1
"Gene2",0.219080052032563,1
"Gene3",0.557967287145645,1
"Gene4",0.19307647806308,1
"Gene5",0.607124867477351,1
"Gene6",0.264780660645845,1
"Gene7",0.338313192857032,1
"Gene8",0.70779686697238,1
"Gene9",0.155235487712499,1
"Gene10",0.783016953851429,1
"Gene11",0.791344832292722,1
"Gene12",0.372725660236799,1
"Gene13",0.643320330992457,1
"Gene14",0.956956659513693,1
"Gene15",0.600748992890428,1
"Gene16",0.115452923619172,1
"Gene17",0.959553399303472,1
"Gene18",0.777398810400267,1
"Gene19",0.867644791964944,1
"Gene20",0.19688793831436,1
"Gene21",0.109506222242062,1
"Gene22",0.110136780772984,1
"Gene23",0.0740584722049356,1
"Gene24",0.845489187878477,1
"Gene25",0.437669404123042,1
"Gene26",0.61263547558756,1
"Gene27",0.713380460369836,1
"Gene28",0.734558862992209,1
"Gene29",0.338497725306109,1
"Gene30",0.177057670467306,1
"Gene31",0.804285442195289,1
"Gene32",0.949392596556816,1
"Gene33",0.868307132589678,1
"Gene34",0.210726707850142,1
"Gene35",0.223001753360422,1
"Gene36",0.0699993098717722,1
"Gene37",0.75463924809939,1
"Gene38",0.124902268357689,1
"Gene39",0.31212144297466,1
"Gene40",0.289481902223006,1
"Gene41",0.312602747451557,1
"Gene42",0.949678638159436,1
"Gene43",0.708831535889658,1
"Gene44",0.971585006962314,1
"Gene45",0.59933304572339,1
"Gene46",0.462876050713397,1
"Gene47",0.204533522357539,1
"Gene48",0.659712725593209,1
"Gene49",0.24131486245641,1
"Gene50",0.65990394044145,1
"Gene51",0.332117413021679,1
"Gene52",0.22221090687544,1
"Gene53",0.251987738092732,1
"Gene54",0.548996738261273,1
"Gene55",0.305921488983943,1
"Gene56",0.349795504844775,1
"Gene57",0.0557126442089435,1
"Gene58",0.317684653208038,1
"Gene59",0.543961185480891,1
"Gene60",0.80277461134749,1
"Gene61",0.807492045939445,1
"Gene62",0.492020843490423,1
"Gene63",0.404128519458839,1
"Gene64",0.376640604230718,1
"Gene65",0.0459389072129737,1
"Gene66",0.194311172622939,1
"Gene67",0.0643138160150138,1
"Gene68",0.207859676707032,1
"Gene69",0.225745383291489,1
"Gene70",0.498646899603823,1
"Gene71",0.460811760812267,1
"Gene72",0.61848055937993,1
"Gene73",0.588740039297756,1
"Gene74",0.396519935546007,1
"Gene75",0.706729282406727,1
"Gene76",0.869585396109157,1
"Gene77",0.177943777791927,1
"Gene78",0.0824415117344032,1
"Gene79",0.873321555716271,1
"Gene80",0.671163639945315,1
"Gene81",0.582774839242834,1
"Gene82",0.447171680139628,1
"Gene83",0.885029444319057,1
"Gene84",0.305779141930976,1
"Gene85",0.333234234127972,1
"Gene86",0.653978989061937,1
"Gene87",0.830397372188775,1
"Gene88",0.991401213143877,1
"Gene89",0.0257022005085552,1
"Gene90",0.316849987634932,1
"Gene91",0.0663956549947775,1
"Gene92",0.805992235733989,1
"Gene93",0.0975486029686233,1
"Gene94",0.503279297500115,1
"Gene95",0.321001146194069,1
"Gene96",0.0218903481469759,1
"Gene97",0.44909695764274,1
"Gene98",0.364240643675772,1
"Gene99",0.628197651962162,1
"Gene100",0.710826792699181,1
"Gene101",0.61933353712013,1
"Gene102",0.718947891071344,1
"Gene103",0.231177719008955,1
"Gene104",0.306138211724752,1
"Gene105",0.967648612246191,1
"Gene106",0.00590816009669293,1
"Gene107",0.412144583398237,1
"Gene108",0.664392178301878,1
