"","pval","qval"
"Gene1",0.545846152528671,0.98370575071985
"Gene797",0.0935853676748677,0.98370575071985
"Gene799",0.98370522013354,0.98370575071985
"Gene819",0.983705161365095,0.98370575071985
"Gene867",0.983705340304237,0.98370575071985
"Gene942",0.983705319585241,0.98370575071985
"Gene1037",0.983705295256218,0.98370575071985
"Gene1068",0.98370529679704,0.98370575071985
"Gene1085",0.983705228485914,0.98370575071985
"Gene1100",0.98370536570347,0.98370575071985
"Gene1136",0.98370533496685,0.98370575071985
"Gene1156",0.983705110371929,0.98370575071985
"Gene1250",0.98370530564678,0.98370575071985
"Gene1402",0.983705234178497,0.98370575071985
"Gene1446",0.98370528908405,0.98370575071985
"Gene1464",0.983705394512998,0.98370575071985
"Gene785",0.162456656042396,0.98370575071985
"Gene685",0.983705235737075,0.98370575071985
"Gene660",0.0518816112099337,0.98370575071985
"Gene599",0.983705304194765,0.98370575071985
"Gene161",0.983705276317882,0.98370575071985
"Gene189",0.983705259906155,0.98370575071985
"Gene198",0.983705270083555,0.98370575071985
"Gene216",0.0871645104893595,0.98370575071985
"Gene262",0.983705192301204,0.98370575071985
"Gene305",0.0204868965061641,0.98370575071985
"Gene338",0.983705261509139,0.98370575071985
"Gene1481",0.983705332657832,0.98370575071985
"Gene369",0.983705339549365,0.98370575071985
"Gene403",0.983705339256297,0.98370575071985
"Gene406",0.983705173194253,0.98370575071985
"Gene416",0.983705248734112,0.98370575071985
"Gene475",0.98370526207307,0.98370575071985
"Gene528",0.983705127471761,0.98370575071985
"Gene537",0.983704974146716,0.98370575071985
"Gene540",0.983705270598642,0.98370575071985
"Gene391",0.98370517904667,0.98370575071985
"Gene152",0.983705304265812,0.98370575071985
"Gene1482",0.983705238601129,0.98370575071985
"Gene1525",0.983705222216083,0.98370575071985
"Gene2348",0.983705300287203,0.98370575071985
"Gene2360",0.983705258387538,0.98370575071985
"Gene2363",0.983705243432279,0.98370575071985
"Gene2444",0.98370538432664,0.98370575071985
"Gene2528",0.983705192820729,0.98370575071985
"Gene2580",0.983705098249752,0.98370575071985
"Gene2612",0.983705177057381,0.98370575071985
"Gene2627",0.983705278316064,0.98370575071985
"Gene2717",0.015162574732835,0.98370575071985
"Gene2736",0.983705159624468,0.98370575071985
"Gene2820",0.983705226154709,0.98370575071985
"Gene2844",0.983705229871316,0.98370575071985
"Gene2998",0.983705203131299,0.98370575071985
"Gene3006",0.983705351431938,0.98370575071985
"Gene3026",0.983705287907342,0.98370575071985
"Gene2270",0.983705171187203,0.98370575071985
"Gene2239",0.0457887155343242,0.98370575071985
"Gene2199",0.983705309505499,0.98370575071985
"Gene2154",0.983705020410498,0.98370575071985
"Gene1570",0.983705290580467,0.98370575071985
"Gene1591",0.983705329300875,0.98370575071985
"Gene1601",0.983705077761963,0.98370575071985
"Gene1746",0.983705227207082,0.98370575071985
"Gene1832",0.983705365072929,0.98370575071985
"Gene1866",0.983705367950327,0.98370575071985
"Gene1883",0.98370530424805,0.98370575071985
"Gene1485",0.983705194996516,0.98370575071985
"Gene1896",0.0373710502753183,0.98370575071985
"Gene1990",0.983705051199808,0.98370575071985
"Gene1995",0.983705212678128,0.98370575071985
"Gene2002",0.983705290012095,0.98370575071985
"Gene2039",0.983705274293057,0.98370575071985
"Gene2129",0.983705096953169,0.98370575071985
"Gene2144",0.983705117849496,0.98370575071985
"Gene2145",0.983705119661163,0.98370575071985
"Gene1947",0.98370535968225,0.98370575071985
"Gene3066",0.983705306370567,0.98370575071985
"Gene142",0.0604348190114772,0.98370575071985
"Gene94",0.98370512745844,0.98370575071985
"Gene9926",0.983705553521375,0.98370575071985
"Gene9928",0.983705337098252,0.98370575071985
"Gene9929",0.54970039996389,0.98370575071985
"Gene9933",0.131038886556233,0.98370575071985
"Gene9935",0.983705391844296,0.98370575071985
"Gene9936",0.983705647948458,0.98370575071985
"Gene9937",0.983705451195272,0.98370575071985
"Gene9940",0.59409140990198,0.98370575071985
"Gene9941",0.609619761208991,0.98370575071985
"Gene9942",0.837597731231762,0.98370575071985
"Gene9944",0.983705558072868,0.98370575071985
"Gene9945",0.983705555208757,0.98370575071985
"Gene9946",0.983705378358698,0.98370575071985
"Gene9948",0.322595569723158,0.98370575071985
"Gene9952",0.824975193559576,0.98370575071985
"Gene9925",0.423803580554601,0.98370575071985
"Gene9924",0.983705319265531,0.98370575071985
"Gene9922",0.983705432940584,0.98370575071985
"Gene9921",0.983705348039454,0.98370575071985
"Gene9898",0.983705415320899,0.98370575071985
"Gene9899",0.513471568701688,0.98370575071985
"Gene9900",0.632173923177327,0.98370575071985
"Gene9904",0.428594565232444,0.98370575071985
"Gene9905",0.983705383633932,0.98370575071985
"Gene9906",0.299132752907873,0.98370575071985
"Gene9909",0.780410984012622,0.98370575071985
"Gene9953",0.98370545646609,0.98370575071985
"Gene9911",0.98370535427381,0.98370575071985
"Gene9914",0.883707630538381,0.98370575071985
"Gene9915",0.983705404921386,0.98370575071985
"Gene9916",0.98370544359766,0.98370575071985
"Gene9917",0.983705437811755,0.98370575071985
"Gene9918",0.239711914311213,0.98370575071985
"Gene9919",0.983705426972624,0.98370575071985
"Gene9920",0.983705462478465,0.98370575071985
"Gene9913",0.983705341636363,0.98370575071985
"Gene136",0.983705338483664,0.98370575071985
"Gene9954",0.0735997392526339,0.98370575071985
"Gene9956",0.651179779243382,0.98370575071985
"Gene9987",0.599934314169684,0.98370575071985
"Gene9988",0.583878303965792,0.98370575071985
"Gene9989",0.693981073969126,0.98370575071985
"Gene9990",0.983705457007825,0.98370575071985
"Gene9991",0.200984657836034,0.98370575071985
"Gene9992",0.983705399863726,0.98370575071985
"Gene9994",0.282090900822781,0.98370575071985
"Gene9995",0.921739670154836,0.98370575071985
"Gene9996",0.488721304776974,0.98370575071985
"Gene9998",0.98370535989539,0.98370575071985
"Gene9999",0.817516891742351,0.98370575071985
"Gene10000",0.591452271424827,0.98370575071985
"Gene12",0.983705288022792,0.98370575071985
"Gene14",0.983705282605496,0.98370575071985
"Gene82",0.983705135424455,0.98370575071985
"Gene9986",0.205446652609383,0.98370575071985
"Gene9985",0.983705375223753,0.98370575071985
"Gene9982",0.983705529227526,0.98370575071985
"Gene9981",0.983705607997276,0.98370575071985
"Gene9957",0.983705328679216,0.98370575071985
"Gene9958",0.411543285282965,0.98370575071985
"Gene9959",0.732326470063387,0.98370575071985
"Gene9960",0.983705455329334,0.98370575071985
"Gene9963",0.673773122881222,0.98370575071985
"Gene9965",0.983705303155709,0.98370575071985
"Gene9966",0.0628147939810606,0.98370575071985
"Gene9955",0.983705515195636,0.98370575071985
"Gene9967",0.753302783504123,0.98370575071985
"Gene9971",0.528629561236259,0.98370575071985
"Gene9972",0.983705331387872,0.98370575071985
"Gene9973",0.31544265206319,0.98370575071985
"Gene9974",0.983705534156453,0.98370575071985
"Gene9977",0.559835803599111,0.98370575071985
"Gene9978",0.173578976837908,0.98370575071985
"Gene9980",0.676320883266347,0.98370575071985
"Gene9969",0.983705341361057,0.98370575071985
"Gene9897",0.98370557608347,0.98370575071985
"Gene3095",0.983705318044417,0.98370575071985
"Gene3308",0.983705203344437,0.98370575071985
"Gene6931",0.983705333537035,0.98370575071985
"Gene6946",0.983705237428865,0.98370575071985
"Gene6952",0.983705384912777,0.98370575071985
"Gene6989",0.983705253218914,0.98370575071985
"Gene6999",0.983705150024386,0.98370575071985
"Gene7066",0.983705267206174,0.98370575071985
"Gene7074",0.983705327706764,0.98370575071985
"Gene7084",0.983705252375238,0.98370575071985
"Gene7130",0.983705234240663,0.98370575071985
"Gene7148",0.0844893063529135,0.98370575071985
"Gene7168",0.983705316556877,0.98370575071985
"Gene7236",0.983705194161724,0.98370575071985
"Gene7265",0.983705207793703,0.98370575071985
"Gene7279",0.98370536103214,0.98370575071985
"Gene7423",0.983705201017676,0.98370575071985
"Gene6889",0.983705269346448,0.98370575071985
"Gene6879",0.983705190023288,0.98370575071985
"Gene6873",0.0756237462442667,0.98370575071985
"Gene6861",0.983705260985172,0.98370575071985
"Gene6311",0.983705299674426,0.98370575071985
"Gene6375",0.983705223841265,0.98370575071985
"Gene6404",0.983705317498245,0.98370575071985
"Gene6416",0.983705190049931,0.98370575071985
"Gene6423",0.983705165139412,0.98370575071985
"Gene6515",0.983705292862837,0.98370575071985
"Gene6559",0.98370505135078,0.98370575071985
"Gene7425",0.983705098009973,0.98370575071985
"Gene6602",0.983705311894442,0.98370575071985
"Gene6626",0.983705209627582,0.98370575071985
"Gene6673",0.983705320864081,0.98370575071985
"Gene6740",0.983705229169735,0.98370575071985
"Gene6790",0.983705154882151,0.98370575071985
"Gene6805",0.983705213317544,0.98370575071985
"Gene6812",0.983705328803548,0.98370575071985
"Gene6820",0.983705270651926,0.98370575071985
"Gene6624",0.983705377781441,0.98370575071985
"Gene6309",0.983704991335212,0.98370575071985
"Gene7548",0.983705287121389,0.98370575071985
"Gene7689",0.983705363394447,0.98370575071985
"Gene8381",0.983705114838931,0.98370575071985
"Gene8383",0.983705272854366,0.98370575071985
"Gene8627",0.983705176524536,0.98370575071985
"Gene8646",0.983705301059835,0.98370575071985
"Gene8661",0.983705266158239,0.98370575071985
"Gene8732",0.983705307995758,0.98370575071985
"Gene8834",0.983705296770398,0.98370575071985
"Gene8874",0.983705254080351,0.98370575071985
"Gene9043",0.983705081056703,0.98370575071985
"Gene9127",0.983705264746192,0.98370575071985
"Gene9159",0.983705133896969,0.98370575071985
"Gene9315",0.983705135086987,0.98370575071985
"Gene9322",0.0769581797487496,0.98370575071985
"Gene9324",0.983705214241145,0.98370575071985
"Gene9326",0.983705178771367,0.98370575071985
"Gene8344",0.983705207358545,0.98370575071985
"Gene8249",0.983705221829769,0.98370575071985
"Gene8245",0.983705026316144,0.98370575071985
"Gene8203",0.983705242988239,0.98370575071985
"Gene7730",0.983705274950237,0.98370575071985
"Gene7759",0.983705204232514,0.98370575071985
"Gene7760",0.983705094919486,0.98370575071985
"Gene7793",0.983705246389583,0.98370575071985
"Gene7796",0.983705290926819,0.98370575071985
"Gene7814",0.983705254240205,0.98370575071985
"Gene7837",0.983705309225753,0.98370575071985
"Gene7615",0.0829535259147718,0.98370575071985
"Gene7887",0.983704988613292,0.98370575071985
"Gene7979",0.983705300891099,0.98370575071985
"Gene8015",0.983705307214246,0.98370575071985
"Gene8024",0.983705348146024,0.98370575071985
"Gene8056",0.983705190138738,0.98370575071985
"Gene8076",0.983705289998774,0.98370575071985
"Gene8131",0.983705252961371,0.98370575071985
"Gene8148",0.983705280713883,0.98370575071985
"Gene7938",0.983705285749304,0.98370575071985
"Gene3182",0.98370521544893,0.98370575071985
"Gene6306",0.983705174020163,0.98370575071985
"Gene6283",0.983705350286308,0.98370575071985
"Gene4288",0.983705401280226,0.98370575071985
"Gene4348",0.983705119226008,0.98370575071985
"Gene4388",0.983705371573718,0.98370575071985
"Gene4432",0.983705329283113,0.98370575071985
"Gene4524",0.983705354491391,0.98370575071985
"Gene4545",0.983705256171779,0.98370575071985
"Gene4591",0.98370531454981,0.98370575071985
"Gene4599",0.983705305193858,0.98370575071985
"Gene4681",0.983705249422374,0.98370575071985
"Gene4685",0.983705295851233,0.98370575071985
"Gene4697",0.983705189197378,0.98370575071985
"Gene4848",0.0403095133059205,0.98370575071985
"Gene4879",0.983705237295653,0.98370575071985
"Gene4885",0.983705199294807,0.98370575071985
"Gene4895",0.0204519448257883,0.98370575071985
