"","pval","qval"
"Gene1",0.70974341632603,0.983705822123792
"Gene9591",0.983705462807059,0.983705822123792
"Gene9592",0.983705364096035,0.983705822123792
"Gene9593",0.983705316805541,0.983705822123792
"Gene9594",0.983705353838649,0.983705822123792
"Gene9595",0.9837054034516,0.983705822123792
"Gene9596",0.98370546865958,0.983705822123792
"Gene9597",0.983705508836885,0.983705822123792
"Gene9598",0.0100179875350019,0.983705822123792
"Gene9599",0.579122156803514,0.983705822123792
"Gene9600",0.983705458091296,0.983705822123792
"Gene9601",0.728161417426971,0.983705822123792
"Gene9606",0.784507327290616,0.983705822123792
"Gene9607",0.983705457651691,0.983705822123792
"Gene9608",0.578005850174757,0.983705822123792
"Gene9609",0.983705525515291,0.983705822123792
"Gene9590",0.514491924341074,0.983705822123792
"Gene9589",0.683966841028258,0.983705822123792
"Gene9587",0.983705367390833,0.983705822123792
"Gene9586",0.983705444956438,0.983705822123792
"Gene9559",0.122768056146812,0.983705822123792
"Gene9561",0.501462478554193,0.983705822123792
"Gene9563",0.983705584338336,0.983705822123792
"Gene9564",0.557651013387469,0.983705822123792
"Gene9565",0.746394296132213,0.983705822123792
"Gene9569",0.600145766061865,0.983705822123792
"Gene9571",0.983705397354878,0.983705822123792
"Gene9611",0.724505582759488,0.983705822123792
"Gene9572",0.601715612698828,0.983705822123792
"Gene9574",0.362127069794998,0.983705822123792
"Gene9577",0.7077240737629,0.983705822123792
"Gene9578",0.536775355212926,0.983705822123792
"Gene9580",0.722145577338676,0.983705822123792
"Gene9581",0.983705365170619,0.983705822123792
"Gene9582",0.983705475142649,0.983705822123792
"Gene9584",0.983705368527583,0.983705822123792
"Gene9573",0.983705433855316,0.983705822123792
"Gene9557",0.983705429108478,0.983705822123792
"Gene9613",0.983705490413394,0.983705822123792
"Gene9617",0.983705640497291,0.983705822123792
"Gene9646",0.983705387923392,0.983705822123792
"Gene9647",0.983705396893073,0.983705822123792
"Gene9648",0.983705371760216,0.983705822123792
"Gene9651",0.983705456110854,0.983705822123792
"Gene9652",0.983705396324697,0.983705822123792
"Gene9654",0.983705300491462,0.983705822123792
"Gene9655",0.983705504511869,0.983705822123792
"Gene9658",0.983705371325054,0.983705822123792
"Gene9659",0.195583734704672,0.983705822123792
"Gene9660",0.502029471976217,0.983705822123792
"Gene9661",0.983705318777085,0.983705822123792
"Gene9662",0.598513205828078,0.983705822123792
"Gene9665",0.388316560510975,0.983705822123792
"Gene9666",0.983705433118201,0.983705822123792
"Gene9668",0.983705313865986,0.983705822123792
"Gene9645",0.905880823915147,0.983705822123792
"Gene9644",0.983705441803719,0.983705822123792
"Gene9642",0.983705653095005,0.983705822123792
"Gene9641",0.983705369344622,0.983705822123792
"Gene9620",0.983705464823026,0.983705822123792
"Gene9622",0.983705393633792,0.983705822123792
"Gene9623",0.983705376715738,0.983705822123792
"Gene9625",0.983705336831827,0.983705822123792
"Gene9626",0.579736168111475,0.983705822123792
"Gene9629",0.983705530497502,0.983705822123792
"Gene9630",0.983705565026663,0.983705822123792
"Gene9616",0.173650575361736,0.983705822123792
"Gene9631",0.983705443224663,0.983705822123792
"Gene9634",0.983705513676995,0.983705822123792
"Gene9635",0.983705489867217,0.983705822123792
"Gene9636",0.983705368936103,0.983705822123792
"Gene9637",0.983705361369612,0.983705822123792
"Gene9638",0.983705635355189,0.983705822123792
"Gene9639",0.983705366671484,0.983705822123792
"Gene9640",0.983705399868166,0.983705822123792
"Gene9632",0.340241954077954,0.983705822123792
"Gene9669",0.98370544458344,0.983705822123792
"Gene9556",0.629765106022447,0.983705822123792
"Gene9554",0.983705360250624,0.983705822123792
"Gene9485",0.304751021835124,0.983705822123792
"Gene9486",0.983705358829688,0.983705822123792
"Gene9487",0.983705317258463,0.983705822123792
"Gene9488",0.98370547118176,0.983705822123792
"Gene9489",0.340859059597501,0.983705822123792
"Gene9490",0.788167857880703,0.983705822123792
"Gene9491",0.494483858163815,0.983705822123792
"Gene9492",0.983705327276044,0.983705822123792
"Gene9493",0.321786931730708,0.983705822123792
"Gene9494",0.419662665662011,0.983705822123792
"Gene9495",0.983705487202939,0.983705822123792
"Gene9496",0.833643223389789,0.983705822123792
"Gene9497",0.983705444658928,0.983705822123792
"Gene9500",0.983705453881746,0.983705822123792
"Gene9501",0.303284933926874,0.983705822123792
"Gene9483",0.983705448806309,0.983705822123792
"Gene9482",0.29995050624099,0.983705822123792
"Gene9481",0.98370547447658,0.983705822123792
"Gene9478",0.98370538892693,0.983705822123792
"Gene9454",0.900313606932375,0.983705822123792
"Gene9455",0.568343780131651,0.983705822123792
"Gene9456",0.983705353785363,0.983705822123792
"Gene9457",0.983705368243396,0.983705822123792
"Gene9459",0.98370550204297,0.983705822123792
"Gene9462",0.674923881996272,0.983705822123792
"Gene9463",0.798528157167754,0.983705822123792
"Gene9502",0.610580731048788,0.983705822123792
"Gene9464",0.983705423917597,0.983705822123792
"Gene9467",0.731655178327856,0.983705822123792
"Gene9468",0.983705307143199,0.983705822123792
"Gene9469",0.983705433233653,0.983705822123792
"Gene9471",0.590415791071444,0.983705822123792
"Gene9472",0.862439252470459,0.983705822123792
"Gene9473",0.205969982213619,0.983705822123792
"Gene9475",0.539406870198778,0.983705822123792
"Gene9466",0.983705409752585,0.983705822123792
"Gene9555",0.690390760703115,0.983705822123792
"Gene9503",0.544482190762944,0.983705822123792
"Gene9506",0.983705501270329,0.983705822123792
"Gene9538",0.983705479734084,0.983705822123792
"Gene9539",0.983705402177194,0.983705822123792
"Gene9540",0.983705504431941,0.983705822123792
"Gene9541",0.531982946413377,0.983705822123792
"Gene9542",0.983705424317237,0.983705822123792
"Gene9543",0.983705426781684,0.983705822123792
"Gene9544",0.628317464878846,0.983705822123792
"Gene9545",0.983705459920763,0.983705822123792
"Gene9546",0.7982556212577,0.983705822123792
"Gene9547",0.851145559606565,0.983705822123792
"Gene9548",0.983705323981254,0.983705822123792
"Gene9549",0.501566366589454,0.983705822123792
"Gene9550",0.98370540476153,0.983705822123792
"Gene9552",0.983705397044048,0.983705822123792
"Gene9553",0.983705554391709,0.983705822123792
"Gene9535",0.983705412714359,0.983705822123792
"Gene9533",0.527236834060198,0.983705822123792
"Gene9531",0.65336438910105,0.983705822123792
"Gene9530",0.772592843831393,0.983705822123792
"Gene9507",0.983705461128567,0.983705822123792
"Gene9508",0.98370552146558,0.983705822123792
"Gene9510",0.597646283864793,0.983705822123792
"Gene9511",0.418891501208354,0.983705822123792
"Gene9513",0.983705392026354,0.983705822123792
"Gene9514",0.983705438242478,0.983705822123792
"Gene9515",0.983705379664185,0.983705822123792
"Gene9504",0.376324726171803,0.983705822123792
"Gene9517",0.607599216111869,0.983705822123792
"Gene9521",0.983705334522808,0.983705822123792
"Gene9522",0.983705347733064,0.983705822123792
"Gene9523",0.983705311725706,0.983705822123792
"Gene9524",0.827554347207013,0.983705822123792
"Gene9525",0.98370549105282,0.983705822123792
"Gene9527",0.983705353931898,0.983705822123792
"Gene9529",0.98370541814502,0.983705822123792
"Gene9520",0.983705489458694,0.983705822123792
"Gene9453",0.983705415791585,0.983705822123792
"Gene9672",0.983705352000312,0.983705822123792
"Gene9674",0.983705420618347,0.983705822123792
"Gene9807",0.465494547236447,0.983705822123792
"Gene9809",0.983705572193604,0.983705822123792
"Gene9810",0.276115494404258,0.983705822123792
"Gene9811",0.98370557544404,0.983705822123792
"Gene9812",0.983705452420837,0.983705822123792
"Gene9813",0.57976071388984,0.983705822123792
"Gene9814",0.983705519183178,0.983705822123792
"Gene9815",0.920590628334978,0.983705822123792
"Gene9819",0.983705333670248,0.983705822123792
"Gene9821",0.814986671202138,0.983705822123792
"Gene9824",0.983705534067643,0.983705822123792
"Gene9826",0.983705362160008,0.983705822123792
"Gene9827",0.983705347275701,0.983705822123792
"Gene9828",0.454443366621358,0.983705822123792
"Gene9829",0.983705462478465,0.983705822123792
"Gene9806",0.728095853785053,0.983705822123792
"Gene9805",0.983705350055406,0.983705822123792
"Gene9804",0.98370544092451,0.983705822123792
"Gene9803",0.639159240192433,0.983705822123792
"Gene9778",0.983705575177611,0.983705822123792
"Gene9780",0.983705423597885,0.983705822123792
"Gene9782",0.42068634463924,0.983705822123792
"Gene9783",0.983705462753774,0.983705822123792
"Gene9784",0.983705424912257,0.983705822123792
"Gene9788",0.762832566860977,0.983705822123792
"Gene9789",0.983705608001716,0.983705822123792
"Gene9830",0.639969253874424,0.983705822123792
"Gene9790",0.983705400063545,0.983705822123792
"Gene9794",0.983705431226571,0.983705822123792
"Gene9795",0.983705616198872,0.983705822123792
"Gene9796",0.983705453792937,0.983705822123792
"Gene9797",0.194887449333178,0.983705822123792
"Gene9798",0.983705288822066,0.983705822123792
"Gene9799",0.286633802655932,0.983705822123792
"Gene9800",0.983705449769887,0.983705822123792
"Gene9791",0.808248498297844,0.983705822123792
"Gene9776",0.98370553777988,0.983705822123792
"Gene9832",0.758769838443887,0.983705822123792
"Gene9834",0.983705588845432,0.983705822123792
"Gene9863",0.98370539645791,0.983705822123792
"Gene9865",0.983705339549365,0.983705822123792
"Gene9866",0.983705385725376,0.983705822123792
"Gene9867",0.983705397408164,0.983705822123792
"Gene9868",0.749226463800692,0.983705822123792
"Gene9869",0.983705459352385,0.983705822123792
"Gene9870",0.52377505705593,0.983705822123792
"Gene9873",0.983705398367298,0.983705822123792
"Gene9874",0.595193069685898,0.983705822123792
"Gene9876",0.983705471838948,0.983705822123792
"Gene9877",0.504968729471994,0.983705822123792
"Gene9878",0.983705307418505,0.983705822123792
"Gene9879",0.983705310082753,0.983705822123792
"Gene9880",0.983705343163869,0.983705822123792
"Gene9882",0.983705623801005,0.983705822123792
"Gene9862",0.338462210505703,0.983705822123792
"Gene9861",0.98370544802923,0.983705822123792
"Gene9860",0.98370542024979,0.983705822123792
"Gene9859",0.804238479331244,0.983705822123792
"Gene9835",0.599551726120179,0.983705822123792
"Gene9836",0.983705322427108,0.983705822123792
"Gene9839",0.983705523872316,0.983705822123792
"Gene9840",0.410076477848882,0.983705822123792
"Gene9841",0.353297863284765,0.983705822123792
"Gene9842",0.894372614522675,0.983705822123792
"Gene9846",0.983705423917597,0.983705822123792
"Gene9833",0.983705396395744,0.983705822123792
"Gene9847",0.731504917484014,0.983705822123792
"Gene9849",0.814975853529282,0.983705822123792
"Gene9850",0.983705444663369,0.983705822123792
"Gene9851",0.273043607877009,0.983705822123792
"Gene9853",0.983705369362384,0.983705822123792
"Gene9854",0.856087808871992,0.983705822123792
"Gene9855",0.620797280388806,0.983705822123792
"Gene9858",0.983705473304299,0.983705822123792
"Gene9848",0.983705337968575,0.983705822123792
"Gene9673",0.983705554325102,0.983705822123792
"Gene9774",0.864831773821593,0.983705822123792
"Gene9770",0.682397230966134,0.983705822123792
"Gene9698",0.983705491150511,0.983705822123792
"Gene9699",0.983705556079092,0.983705822123792
"Gene9700",0.555025399444661,0.983705822123792
"Gene9701",0.952770871145276,0.983705822123792
"Gene9702",0.767987703632663,0.983705822123792
"Gene9703",0.808118159020327,0.983705822123792
"Gene9704",0.983705391431336,0.983705822123792
"Gene9706",0.876250806963113,0.983705822123792
"Gene9710",0.983705435773589,0.983705822123792
"Gene9712",0.502838886619563,0.983705822123792
"Gene9713",0.325510488329097,0.983705822123792
"Gene9715",0.983705544627096,0.983705822123792
"Gene9716",0.53788384586871,0.983705822123792
"Gene9717",0.983705399290909,0.983705822123792
"Gene9718",0.983705458695198,0.983705822123792
"Gene9697",0.242046610387637,0.983705822123792
"Gene9695",0.983705528184015,0.983705822123792
"Gene9694",0.983705339620412,0.983705822123792
"Gene9692",0.486688355803879,0.983705822123792
"Gene9675",0.983705493961324,0.983705822123792
"Gene9677",0.98370530467433,0.983705822123792
"Gene9678",0.983705373278844,0.983705822123792
"Gene9679",0.749809227900858,0.983705822123792
"Gene9680",0.983705443055926,0.983705822123792
"Gene9681",0.51681618732624,0.983705822123792
"Gene9682",0.983705326521173,0.983705822123792
"Gene9719",0.983705509627288,0.983705822123792
"Gene9683",0.255335520871494,0.983705822123792
"Gene9685",0.983705428411328,0.983705822123792
"Gene9686",0.983705453117988,0.983705822123792
"Gene9687",0.450662870281338,0.983705822123792
"Gene9688",0.748182179912241,0.983705822123792
"Gene9689",0.983705357444275,0.983705822123792
"Gene9690",0.147842889732784,0.983705822123792
"Gene9691",0.98370540567626,0.983705822123792
"Gene9684",0.756402209017212,0.983705822123792
"Gene9772",0.983705335792769,0.983705822123792
"Gene9720",0.521423598033041,0.983705822123792
"Gene9722",0.960845390507906,0.983705822123792
"Gene9750",0.983705580364099,0.983705822123792
"Gene9751",0.983705319123438,0.983705822123792
"Gene9752",0.983705654635862,0.983705822123792
"Gene9753",0.768114816399387,0.983705822123792
"Gene9756",0.532402781171366,0.983705822123792
"Gene9757",0.215451979462941,0.983705822123792
"Gene9758",0.5835485482769,0.983705822123792
"Gene9760",0.983705315775364,0.983705822123792
"Gene9761",0.983705292631936,0.983705822123792
"Gene9763",0.983705383567326,0.983705822123792
"Gene9765",0.983705368127945,0.983705822123792
"Gene9766",0.983705466963326,0.983705822123792
"Gene9767",0.659552792805691,0.983705822123792
"Gene9768",0.983705321565667,0.983705822123792
"Gene9769",0.527228623416225,0.983705822123792
"Gene9749",0.192154423944561,0.983705822123792
"Gene9746",0.983705299887566,0.983705822123792
"Gene9745",0.753437994856585,0.983705822123792
"Gene9744",0.415001482123228,0.983705822123792
"Gene9723",0.626835569207921,0.983705822123792
"Gene9724",0.983705461750231,0.983705822123792
"Gene9725",0.224227138896753,0.983705822123792
"Gene9726",0.983705376697976,0.983705822123792
"Gene9727",0.540771871445166,0.983705822123792
"Gene9728",0.983705438215836,0.983705822123792
"Gene9729",0.983705558987607,0.983705822123792
"Gene9721",0.983705400178997,0.983705822123792
"Gene9730",0.587321290849966,0.983705822123792
"Gene9733",0.983705352124644,0.983705822123792
"Gene9734",0.983705437629697,0.983705822123792
"Gene9735",0.851710562371393,0.983705822123792
"Gene9737",0.983705556012484,0.983705822123792
"Gene9738",0.983705515346612,0.983705822123792
"Gene9739",0.570639673830389,0.983705822123792
"Gene9742",0.680609864683132,0.983705822123792
"Gene9732",0.583887824238122,0.983705822123792
"Gene9451",0.983705535701738,0.983705822123792
"Gene9448",0.983705400845063,0.983705822123792
"Gene9447",0.297146899475672,0.983705822123792
"Gene9149",0.198031072868524,0.983705822123792
"Gene9150",0.983705340277594,0.983705822123792
"Gene9152",0.759105424030705,0.983705822123792
"Gene9153",0.491701524434074,0.983705822123792
"Gene9155",0.83120315747153,0.983705822123792
"Gene9158",0.907063635315833,0.983705822123792
"Gene9161",0.725907511715359,0.983705822123792
"Gene9162",0.983705590257508,0.983705822123792
"Gene9163",0.983705351107787,0.983705822123792
"Gene9164",0.98370548730951,0.983705822123792
"Gene9166",0.98370538974397,0.983705822123792
"Gene9167",0.709541082088734,0.983705822123792
"Gene9168",0.443312130657211,0.983705822123792
"Gene9169",0.983705469130269,0.983705822123792
"Gene9170",0.112627321063955,0.983705822123792
"Gene9146",0.765414587195376,0.983705822123792
"Gene9142",0.983705458695198,0.983705822123792
"Gene9140",0.983705358563262,0.983705822123792
"Gene9139",0.9837055572647,0.983705822123792
"Gene9117",0.983705450320503,0.983705822123792
"Gene9119",0.983705360286148,0.983705822123792
"Gene9120",0.983705573721131,0.983705822123792
"Gene9121",0.218795811261196,0.983705822123792
"Gene9123",0.27009357679123,0.983705822123792
"Gene9124",0.983705336738578,0.983705822123792
"Gene9125",0.27163440883103,0.983705822123792
"Gene9171",0.0593076235413883,0.983705822123792
"Gene9128",0.983705418384804,0.983705822123792
"Gene9130",0.983705456679232,0.983705822123792
"Gene9131",0.509677227752254,0.983705822123792
"Gene9132",0.254829075665339,0.983705822123792
"Gene9133",0.983705529698216,0.983705822123792
"Gene9135",0.175458814755061,0.983705822123792
"Gene9136",0.983705336920636,0.983705822123792
"Gene9138",0.983705365401521,0.983705822123792
"Gene9129",0.569267279424005,0.983705822123792
"Gene9116",0.617007229913242,0.983705822123792
"Gene9172",0.983705581092339,0.983705822123792
"Gene9175",0.983705413056273,0.983705822123792
"Gene9203",0.0993441617096962,0.983705822123792
"Gene9204",0.647752640492917,0.983705822123792
"Gene9209",0.983705365659066,0.983705822123792
"Gene9210",0.983705403908965,0.983705822123792
"Gene9211",0.983705374255739,0.983705822123792
"Gene9213",0.497422887128015,0.983705822123792
"Gene9214",0.983705294319292,0.983705822123792
