"","Emark","markcorr","markvario","Vmark"
"Gene1",0.524072391866396,0.493052884852429,0.495687518588282,0.511012315396801
"Gene2",0.561722015009212,0.493052884852429,0.421330561914526,0.601847672354127
"Gene3",0.666838139331066,0.413912995488348,0.4477728895904,0.909545681931875
"Gene4",0.524072391866396,0.493052884852429,0.421330561914526,0.511012315396801
"Gene5",0.524072391866396,0.413912995488348,0.421330561914526,0.527009222661397
"Gene6",0.524072391866396,0.413912995488348,0.421330561914526,0.527009222661397
"Gene7",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene8",0.524072391866396,0.561398255922752,0.421330561914526,0.511012315396801
"Gene9",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene10",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene11",0.524072391866396,0.413912995488348,0.495687518588282,0.558066856409398
"Gene12",0.524072391866396,0.728730187648023,0.4477728895904,0.511012315396801
"Gene13",0.539519827353655,0.413912995488348,0.421330561914526,0.511012315396801
"Gene14",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene15",0.539519827353655,0.493052884852429,0.4477728895904,0.558066856409398
"Gene16",0.607681088964511,0.413912995488348,0.421330561914526,0.511012315396801
"Gene17",0.524072391866396,0.442433828490526,0.421330561914526,0.527009222661397
"Gene18",0.607681088964511,0.413912995488348,0.421330561914526,0.601847672354127
"Gene19",0.524072391866396,0.413912995488348,0.421330561914526,0.601847672354127
"Gene20",0.561722015009212,0.413912995488348,0.421330561914526,0.737524315254769
"Gene21",0.666838139331066,0.442433828490526,0.421330561914526,0.558066856409398
"Gene22",0.561722015009212,0.413912995488348,0.421330561914526,0.558066856409398
"Gene23",0.607681088964511,0.413912995488348,0.4477728895904,0.601847672354127
"Gene24",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
"Gene25",0.524072391866396,0.413912995488348,0.495687518588282,0.511012315396801
"Gene26",0.666838139331066,0.413912995488348,0.4477728895904,0.737524315254769
"Gene27",0.524072391866396,0.493052884852429,0.4477728895904,0.664887301602378
"Gene28",0.561722015009212,0.413912995488348,0.421330561914526,0.558066856409398
"Gene29",0.524072391866396,0.413912995488348,0.421330561914526,0.511012315396801
